"VastDB.ID","gene","length","chrom","start","end","strand","neural.trend","ASD.trend","Ptbp1.dPSI","Ptbp1.signif","Srrm4.dPSI","Srrm4.signif","Srrm3.Srrm4.dPSI","Srrm3.Srrm4.signif","Srsf11.dPSI","Srsf11.signif","Rbfox2.dPSI","Rbfox2.signif","Srrm3.dPSI","Srrm3.signif","Rnps1.dPSI","Rnps1.signif","srrm3_srrm4_dPSI","srrm3_dPSI","srrm4_dPSI","srrm3_srrm4_signif","srrm3_signif","srrm4_signif","match_type","n_rmats_candidates","rmats_id","rmats_gene","rmats_chr","rmats_start","rmats_end","rmats_exon_size","rmats_dPSI","rmats_FDR","rmats_PValue"
"MmuEX0000007","",91,"chr9",61918421,61970291,"-",NA,NA,-1,"n.s.",8.1,"n.s.",3,"n.s.",-6,"n.s.",-3,"n.s.",0,"n.s.",2,"n.s.",0.03,0,0.081,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000010","0610007C21Rik",122,"chr5",31354907,31356333,"+",NA,NA,0,"n.s.",0.6,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,0,0.006,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000011","0610007C21Rik",98,"chr5",31355258,31356635,"+",NA,NA,0,"n.s.",0.2,"n.s.",0,"n.s.",1,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",0,0,0.002,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000012","0610007C21Rik",72,"chr5",31354642,31355135,"+",NA,NA,-2,"n.s.",-1.7,"n.s.",-2,"n.s.",-6,"n.s.",-3,"n.s.",3,"n.s.",3,"n.s.",-0.02,0.03,-0.017,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000013","0610007L01Rik",178,"chr5",130698443,130707624,"+",NA,NA,0,"n.s.",-0.2,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",0,0,-0.002,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000016","0610007L01Rik",286,"chr5",130705497,130712672,"+",NA,NA,0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",0,"n.s.",-1,"n.s.",0,0,0,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000018","0610007P08Rik",146,"chr13",63954331,63959538,"+",NA,NA,0,"n.s.",0.9,"n.s.",-1,"n.s.",0,"n.s.",-1,"n.s.",0,"n.s.",0,"n.s.",-0.01,0,0.009,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000019","0610007P08Rik",72,"chr13",63950169,63954935,"+",NA,NA,0,"n.s.",-0.3,"n.s.",-1,"n.s.",-1,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",-0.01,0,-0.003,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000020","0610007P08Rik",81,"chr13",63970487,63973103,"+","Neural-low",NA,0,"n.s.",0.7,"n.s.",0,"n.s.",0,"n.s.",1,"n.s.",0,"n.s.",0,"n.s.",0,0,0.007,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000021","0610007P08Rik",182,"chr13",63978842,63999841,"+",NA,NA,1,"n.s.",-1.4,"n.s.",-1,"n.s.",-1,"n.s.",-1,"n.s.",-2,"n.s.",0,"n.s.",-0.01,-0.02,-0.014,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
