"GeneID","geneSymbol","neg_n_sig","neg_event_types","neg_n_SE","neg_n_microexon","neg_n_inclusion","neg_n_exclusion","neg_mean_dPSI","neg_mean_abs_dPSI","pos_n_sig","pos_event_types","pos_n_SE","pos_n_microexon","pos_n_inclusion","pos_n_exclusion","pos_mean_dPSI","pos_mean_abs_dPSI"
"ENSMUSG00000041757","Plekha6",9,"MXE,SE",7,0,9,0,0.1793,0.1793,9,"MXE,SE",7,0,9,0,0.2033,0.2033
"ENSMUSG00000121504","Ppp4r1l-ps",13,"A3SS,A5SS,MXE,SE",7,0,3,10,-0.0625,0.1989,13,"A3SS,MXE,SE",8,0,3,10,-0.1365,0.191
"ENSMUSG00000045411","2410002F23Rik",8,"MXE,RI,SE",6,0,6,2,0.0609,0.1961,7,"MXE,RI,SE",5,0,4,3,-0.0094,0.176
"ENSMUSG00000057858","Fam204a",6,"SE",6,0,0,6,-0.1435,0.1435,6,"MXE,SE",5,0,0,6,-0.1738,0.1738
"ENSMUSG00000087177","E130307A14Rik",6,"SE",6,0,0,6,-0.2188,0.2188,6,"SE",6,0,0,6,-0.2508,0.2508
"ENSMUSG00000020166","Cnot2",5,"SE",5,0,0,5,-0.2236,0.2236,1,"SE",1,0,0,1,-0.144,0.144
"ENSMUSG00000025006","Sorbs1",7,"A3SS,MXE,SE",5,1,4,3,0.0384,0.1727,4,"A3SS,SE",3,0,2,2,0.0348,0.1683
"ENSMUSG00000037058","Paip2",5,"SE",5,0,1,4,-0.1462,0.3154,5,"SE",5,0,2,3,0.0014,0.277
"ENSMUSG00000050565","Tor1aip2",5,"SE",5,0,5,0,0.1968,0.1968,5,"SE",5,0,5,0,0.171,0.171
"ENSMUSG00000009995","Tafazzin",9,"A5SS,MXE,RI,SE",4,0,2,7,-0.1544,0.274,12,"A5SS,MXE,RI,SE",5,0,3,9,-0.2019,0.3254
"ENSMUSG00000018411","Mapt",7,"A3SS,MXE,SE",4,0,4,3,0.0103,0.1686,8,"A3SS,MXE,SE",6,0,5,3,0.0388,0.1622
"ENSMUSG00000044229","Nxpe4",4,"SE",4,0,4,0,0.1698,0.1698,6,"SE",6,0,5,1,0.0938,0.1635
"ENSMUSG00000051331","Cacna1c",4,"SE",4,0,4,0,0.1605,0.1605,2,"MXE,SE",1,0,2,0,0.116,0.116
"ENSMUSG00000051586","Mical3",4,"SE",4,0,3,1,0.081,0.164,4,"SE",4,0,3,1,0.072,0.191
"ENSMUSG00000053046","Brsk2",4,"SE",4,0,3,1,0.0862,0.1598,3,"SE",3,0,1,2,-0.0613,0.1327
"ENSMUSG00000069601","Ank3",5,"A3SS,SE",4,2,3,2,0.0746,0.1746,3,"A3SS,SE",2,0,0,3,-0.2227,0.2227
"ENSMUSG00000074758","Gm5535",4,"SE",4,0,4,0,0.2398,0.2398,2,"SE",2,0,1,1,0.0735,0.1875
"ENSMUSG00000086035","Gm12610",5,"MXE,SE",4,0,4,1,0.123,0.2274,12,"SE",12,0,6,6,-0.0024,0.1788
