"metric","value"
"group_name","group3_neg_all_sizes"
"group_label","All SE Sizes"
"total_genes","778"
"genes_with_sig_pos_events","483"
"genes_without_sig_pos_events","295"
"pct_genes_with_sig_pos","62.1"
"pos_total_sig_events","921"
"pos_sig_SE","733"
"pos_sig_A3SS","39"
"pos_sig_A5SS","29"
"pos_sig_MXE","76"
"pos_sig_RI","44"
"pos_sig_microexon","47"
"pos_sig_small","69"
"pos_sig_regular","617"
"pos_sig_inclusion","390"
"pos_sig_exclusion","531"
"neg_total_sig_events","1191"
"neg_sig_SE","1034"
"neg_sig_A3SS","25"
"neg_sig_A5SS","23"
"neg_sig_MXE","69"
"neg_sig_RI","40"
"neg_sig_microexon","110"
"neg_sig_small","119"
"neg_sig_regular","805"
"neg_sig_inclusion","651"
"neg_sig_exclusion","540"
