"GeneID","geneSymbol","n_selection_events","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000121504","Ppp4r1l-ps",5,"Regular (>50bp)","chr2:173431580-173431741; chr2:173431580-173432589; chr2:173442558-173442835; chr2:173446298-173446390; chr2:173448934-173449122",-0.04
"ENSMUSG00000020166","Cnot2",4,"Regular (>50bp)","chr10:116342945-116343093; chr10:116342945-116343093; chr10:116353221-116353288; chr10:116363731-116363854",-0.163
"ENSMUSG00000025006","Sorbs1",4,"Microexon (0-30bp); Regular (>50bp)","chr19:40329128-40329194; chr19:40332799-40332883; chr19:40365088-40365247; chr19:40371199-40371226",0.064
"ENSMUSG00000024330","Col11a2",3,"Regular (>50bp)","chr17:34264744-34264822; chr17:34266071-34266251; chr17:34266071-34266251",0.337
"ENSMUSG00000024921","Smarca2",3,"Regular (>50bp)","chr19:26727251-26727347; chr19:26727251-26727347; chr19:26737277-26737331",-0.037
"ENSMUSG00000028078","Dclk2",3,"Microexon (0-30bp); Small (30-50bp)","chr3:86695928-86695941; chr3:86695928-86695941; chr3:86738130-86738178",0.124
"ENSMUSG00000033287","Kctd17",3,"Regular (>50bp)","chr15:78321100-78321163; chr15:78321100-78321194; chr15:78321100-78321299",-0.109
"ENSMUSG00000039126","Prune2",3,"Small (30-50bp)","chr19:17189655-17189694; chr19:17189655-17189694; chr19:17193689-17193737",0.116
"ENSMUSG00000048029","Eno4",3,"Regular (>50bp)","chr19:58935083-58935274; chr19:58952809-58953005; chr19:58952870-58953005",-0.184
"ENSMUSG00000051331","Cacna1c",3,"Regular (>50bp)","chr6:118614690-118614774; chr6:118615387-118615471; chr6:118651515-118651575",0.169
"ENSMUSG00000056486","Chn1",3,"Microexon (0-30bp); Regular (>50bp)","chr2:73509958-73510247; chr2:73537262-73537376; chr2:73540798-73540826",-0.156
"ENSMUSG00000057858","Fam204a",3,"Regular (>50bp); Small (30-50bp)","chr19:60208761-60208792; chr19:60208921-60209009; chr19:60209485-60209736",-0.124
"ENSMUSG00000069601","Ank3",3,"Microexon (0-30bp); Small (30-50bp)","chr10:69765276-69765288; chr10:69789269-69789302; chr10:69816653-69816680",0.208
"ENSMUSG00000070047","Fat1",3,"Regular (>50bp)","chr8:45498769-45498822; chr8:45500686-45500746; chr8:45500686-45500746",0.254
"ENSMUSG00000074758","Gm5535",3,"Regular (>50bp)","chr2:144016446-144016664; chr2:144031060-144031153; chr2:144031060-144031153",0.234
"ENSMUSG00000097039","Pvt1",3,"Regular (>50bp)","chr15:62021087-62021201; chr15:62021087-62021201; chr15:62031845-62031977",-0.057
"ENSMUSG00000000386","Mx1",2,"Regular (>50bp)","chr16:97256688-97256843; chr16:97259879-97259932",-0.025
"ENSMUSG00000000631","Myo18a",2,"Regular (>50bp); Small (30-50bp)","chr11:77706681-77706717; chr11:77706681-77706825",0.177
