"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_selection_events","selection_mean_dPSI"
"ENSMUSG00000121504","Ppp4r1l-ps",121,13,5,"A3SS,A5SS,MXE,RI,SE",0,0.056,5,-0.04
"ENSMUSG00000020166","Cnot2",57,1,3,"A3SS,MXE,SE",0,0.02,4,-0.163
"ENSMUSG00000025006","Sorbs1",41,4,5,"A3SS,A5SS,MXE,RI,SE",2,0.055,4,0.064
"ENSMUSG00000024330","Col11a2",8,0,2,"MXE,SE",0,0.14,3,0.337
"ENSMUSG00000024921","Smarca2",21,0,3,"A5SS,MXE,SE",0,0.038,3,-0.037
"ENSMUSG00000028078","Dclk2",13,0,3,"A3SS,A5SS,SE",2,0.022,3,0.124
"ENSMUSG00000033287","Kctd17",18,0,3,"A5SS,MXE,SE",0,0.043,3,-0.109
"ENSMUSG00000039126","Prune2",28,1,2,"MXE,SE",0,0.028,3,0.116
"ENSMUSG00000048029","Eno4",4,0,2,"A3SS,SE",0,0.082,3,-0.184
"ENSMUSG00000051331","Cacna1c",33,2,3,"A5SS,MXE,SE",0,0.052,3,0.169
"ENSMUSG00000056486","Chn1",37,2,2,"MXE,SE",1,0.035,3,-0.156
"ENSMUSG00000057858","Fam204a",29,6,3,"A5SS,MXE,SE",0,0.06,3,-0.124
"ENSMUSG00000069601","Ank3",32,3,4,"A3SS,A5SS,MXE,SE",4,0.044,3,0.208
"ENSMUSG00000070047","Fat1",10,1,2,"MXE,SE",0,0.096,3,0.254
"ENSMUSG00000074758","Gm5535",10,2,1,"SE",0,0.079,3,0.234
"ENSMUSG00000097039","Pvt1",129,7,5,"A3SS,A5SS,MXE,RI,SE",0,0.052,3,-0.057
"ENSMUSG00000000386","Mx1",8,1,3,"A3SS,MXE,SE",0,0.078,2,-0.025
"ENSMUSG00000000631","Myo18a",23,2,3,"A5SS,MXE,SE",2,0.061,2,0.177
"ENSMUSG00000013523","Bcas1",11,0,2,"MXE,SE",0,0.028,2,0.145
"ENSMUSG00000020300","Cpeb4",10,0,2,"MXE,SE",2,0.036,2,0.134
"ENSMUSG00000020385","Clk4",24,2,3,"MXE,RI,SE",0,0.046,2,-0.218
"ENSMUSG00000021068","Nin",8,0,2,"A5SS,SE",0,0.074,2,0.294
"ENSMUSG00000021071","Trim9",15,3,4,"A3SS,A5SS,MXE,SE",4,0.135,2,0.162
"ENSMUSG00000021103","Mnat1",17,0,2,"MXE,SE",0,0.021,2,0.171
"ENSMUSG00000021268","Meg3",11,1,4,"A3SS,A5SS,MXE,SE",0,0.13,2,0.41
"ENSMUSG00000022139","Mbnl2",10,0,1,"SE",0,0.026,2,0.129
"ENSMUSG00000022607","Ptk2",76,2,2,"MXE,SE",3,0.03,2,-0.219
"ENSMUSG00000022708","Zbtb20",31,1,2,"MXE,SE",0,0.107,2,0.252
"ENSMUSG00000022770","Dlg1",41,1,4,"A3SS,A5SS,MXE,SE",1,0.026,2,0.018
"ENSMUSG00000022838","Eaf2",5,0,2,"MXE,SE",0,0.119,2,-0.22
"ENSMUSG00000022948","Setd4",22,2,5,"A3SS,A5SS,MXE,RI,SE",0,0.06,2,0.011
"ENSMUSG00000022973","Synj1",17,3,3,"A3SS,MXE,SE",3,0.087,2,0.211
"ENSMUSG00000024293","Esco1",24,0,3,"A5SS,MXE,SE",0,0.051,2,-0.115
"ENSMUSG00000024381","Bin1",16,1,2,"MXE,SE",2,0.033,2,0.149
"ENSMUSG00000024726","Carnmt1",8,0,1,"SE",0,0.057,2,0.016
"ENSMUSG00000024887","Asah2",6,0,2,"A3SS,SE",0,0.028,2,-0.18
"ENSMUSG00000025816","Sec61a2",17,1,3,"A5SS,MXE,SE",0,0.014,2,-0.019
"ENSMUSG00000028184","Adgrl2",45,3,4,"A3SS,A5SS,MXE,SE",6,0.051,2,0.018
"ENSMUSG00000028524","Sgip1",15,1,3,"A3SS,MXE,SE",5,0.036,2,0.314
"ENSMUSG00000029095","Ablim2",23,0,2,"MXE,SE",0,0.067,2,0.202
"ENSMUSG00000029462","Vps29",12,0,2,"A3SS,SE",2,0.03,2,0.138
"ENSMUSG00000030172","Erc1",22,0,3,"A5SS,MXE,SE",1,0.027,2,0.146
"ENSMUSG00000031256","Cstf2",13,4,3,"A3SS,RI,SE",0,0.075,2,0.155
"ENSMUSG00000031561","Tenm3",12,1,2,"MXE,SE",3,0.041,2,0.198
"ENSMUSG00000031865","Dctn1",22,1,2,"MXE,SE",8,0.043,2,0.062
"ENSMUSG00000032076","Cadm1",7,0,2,"MXE,SE",0,0.018,2,0.124
"ENSMUSG00000032413","Rasa2",13,0,5,"A3SS,A5SS,MXE,RI,SE",0,0.01,2,-0.168
"ENSMUSG00000032534","Cep63",14,3,2,"MXE,SE",1,0.108,2,0.092
"ENSMUSG00000032826","Ank2",21,1,2,"A3SS,SE",3,0.034,2,0.165
"ENSMUSG00000033102","Cdc14b",12,2,2,"MXE,SE",0,0.112,2,0.066
"ENSMUSG00000033419","Snap91",52,1,2,"MXE,SE",6,0.029,2,0.202
"ENSMUSG00000034842","Art3",7,0,2,"A5SS,SE",1,0.038,2,-0.124
"ENSMUSG00000034908","Sidt2",22,0,3,"MXE,RI,SE",1,0.033,2,0.136
"ENSMUSG00000035133","Arhgap5",7,0,2,"A3SS,SE",0,0.027,2,-0.136
"ENSMUSG00000035227","Spcs2",8,0,1,"SE",0,0.02,2,-0.009
"ENSMUSG00000035284","Vps13c",16,0,2,"MXE,SE",0,0.027,2,0.195
"ENSMUSG00000036644","Tbc1d9b",10,0,2,"MXE,SE",0,0.031,2,0.196
