ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000096768"	"Gm47283"	chrY	+	90827617	90827733	90827617	90827702	90827704	90827733
1	"ENSMUSG00000035299"	"Mid1"	chrX	+	168758254	168758989	168758254	168758302	168758922	168758989
2	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984
3	"ENSMUSG00000048573"	"Cypt3"	chrX	+	152341588	152341878	152341588	152341617	152341794	152341878
4	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150250794	150250852
5	"ENSMUSG00000025268"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148
6	"ENSMUSG00000025268"	"Maged2"	chrX	-	149594818	149595310	149594818	149594944	149595151	149595310
7	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619474	133619567
8	"ENSMUSG00000000223"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135
9	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026
10	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026
11	"ENSMUSG00000032894"	"1700031F05Rik"	chrX	-	101902791	101903363	101902791	101902856	101903270	101903363
12	"ENSMUSG00000046032"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470
13	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100123706	100123873	100124313	100124477
14	"ENSMUSG00000078122"	"F630028O10Rik"	chrX	+	95284643	95287252	95284643	95284727	95286376	95287252
15	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580479	93580962	93580479	93580594	93580899	93580962
16	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580899	93581190	93580899	93580962	93581147	93581190
17	"ENSMUSG00000025151"	"Maged1"	chrX	-	93581281	93581671	93581281	93581361	93581579	93581671
18	"ENSMUSG00000081044"	"AU015836"	chrX	+	93017582	93019076	93017582	93017811	93018329	93019076
19	"ENSMUSG00000032806"	"Slc10a3"	chrX	-	73412822	73414617	73412822	73414046	73414133	73414617
20	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73351735	73351867
21	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353568	73353740
22	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344183	73344964	73344183	73344377	73344929	73344964
23	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73326355	73327006	73326355	73326722	73326877	73327006
24	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332053	73332119
25	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332056	73332119
26	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332534	73332625
27	"ENSMUSG00000031387"	"Renbp"	chrX	-	72972721	72974123	72972721	72973868	72974013	72974123
28	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72830789	72832559	72830789	72830912	72832440	72832559
29	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030
30	"ENSMUSG00000002007"	"Srpk3"	chrX	+	72821710	72821952	72821710	72821780	72821859	72821952
31	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258833	72258961
32	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258833	72258961
33	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258846	72258961
34	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258846	72258961
35	"ENSMUSG00000031340"	"Gabre"	chrX	-	71308124	71308345	71308124	71308214	71308310	71308345
36	"ENSMUSG00000035967"	"Ints6l"	chrX	+	55538398	55542094	55538398	55538493	55541875	55542094
37	"ENSMUSG00000035967"	"Ints6l"	chrX	+	55552239	55553200	55552239	55552422	55552573	55553200
38	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52143453	52145041	52143453	52144367	52145018	52145041
39	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52144732	52145041	52144732	52144782	52145018	52145041
40	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52143453	52145646	52143453	52145041	52145534	52145646
41	"ENSMUSG00000086173"	"Kis2"	chrX	-	51831439	51832797	51831439	51831517	51832670	51832797
42	"ENSMUSG00000086173"	"Kis2"	chrX	-	51832670	51833470	51832670	51832797	51833111	51833470
43	"ENSMUSG00000036932"	"Aifm1"	chrX	-	47572031	47573512	47572031	47572139	47573403	47573512
44	"ENSMUSG00000001986"	"Gria3"	chrX	+	40742882	40743801	40742882	40743130	40743686	40743801
45	"ENSMUSG00000031066"	"Usp11"	chrX	+	20578564	20579221	20578564	20578682	20579075	20579221
46	"ENSMUSG00000031066"	"Usp11"	chrX	+	20582985	20584043	20582985	20583192	20583993	20584043
47	"ENSMUSG00000064127"	"Med14"	chrX	-	12572537	12572931	12572537	12572684	12572770	12572931
48	"ENSMUSG00000039201"	"Tbc1d25"	chrX	-	8022554	8023017	8022554	8022743	8022889	8023017
49	"ENSMUSG00000039201"	"Tbc1d25"	chrX	-	8041949	8042420	8041949	8042088	8042295	8042420
50	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8010086	8010918	8010086	8010186	8010811	8010918
51	"ENSMUSG00000039231"	"Suv39h1"	chrX	-	7929934	7930296	7929934	7930064	7930149	7930296
52	"ENSMUSG00000031154"	"Otud5"	chrX	+	7733753	7734062	7733753	7733818	7733905	7734062
53	"ENSMUSG00000073294"	"Ezhip"	chrX	-	5993272	5995473	5993272	5994829	5995192	5995473
54	"ENSMUSG00000031146"	"Plp2"	chrX	-	7535653	7535997	7535653	7535749	7535841	7535997
