ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
29	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030
33	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258846	72258961
82	"ENSMUSG00000024740"	"Ddb1"	chr19	+	10604489	10605228	10604489	10604599	10605125	10605228
95	"ENSMUSG00000042729"	"Wdr74"	chr19	+	8715017	8715618	8715017	8715093	8715516	8715618
98	"ENSMUSG00000024764"	"Naa40"	chr19	-	7207086	7207648	7207086	7207170	7207552	7207648
149	"ENSMUSG00000044906"	"4930503L19Rik"	chr18	-	70600405	70601588	70600405	70600556	70601124	70601588
164	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074005	38074819	38074005	38074163	38074760	38074819
166	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074431	38074819	38074431	38074606	38074760	38074819
202	"ENSMUSG00000024052"	"Lpin2"	chr17	+	71550282	71551919	71550282	71550431	71551766	71551919
209	"ENSMUSG00000007603"	"Dus3l"	chr17	+	57075033	57075902	57075033	57075150	57075805	57075902
210	"ENSMUSG00000007603"	"Dus3l"	chr17	+	57075347	57075902	57075347	57075413	57075805	57075902
216	"ENSMUSG00000019578"	"Ubxn6"	chr17	-	56376690	56377985	56376690	56376775	56377887	56377985
217	"ENSMUSG00000002835"	"Chaf1a"	chr17	+	56370327	56372425	56370327	56370420	56371973	56372425
220	"ENSMUSG00000038781"	"Stap2"	chr17	-	56306742	56307156	56306742	56306808	56307086	56307156
271	"ENSMUSG00000024325"	"Ring1"	chr17	-	34240656	34242168	34240656	34240930	34241952	34242168
302	"ENSMUSG00000071172"	"Srsf3"	chr17	+	29257463	29260267	29257463	29257598	29260180	29260267
346	"ENSMUSG00000061046"	"Haghl"	chr17	-	26003048	26003546	26003048	26003152	26003428	26003546
351	"ENSMUSG00000019214"	"Chtf18"	chr17	-	25942376	25943712	25942376	25942525	25943502	25943712
358	"ENSMUSG00000052752"	"Traf7"	chr17	-	24728929	24729546	24728929	24729049	24729429	24729546
433	"ENSMUSG00000022843"	"Clcn2"	chr16	-	20526322	20526941	20526322	20526382	20526826	20526941
438	"ENSMUSG00000002833"	"Hdgfl2"	chr17	+	56405483	56406075	56405483	56405557	56405973	56406075
465	"ENSMUSG00000041168"	"Lonp1"	chr17	-	56925317	56927069	56925317	56925456	56926985	56927069
470	"ENSMUSG00000014303"	"Glis2"	chr16	+	4429143	4429733	4429143	4429320	4429614	4429733
475	"ENSMUSG00000022489"	"Pde1b"	chr15	+	103435410	103436771	103435410	103435519	103436648	103436771
485	"ENSMUSG00000056185"	"Snx32"	chr19	-	5546343	5547053	5546343	5546430	5546968	5547053
500	"ENSMUSG00000023015"	"Racgap1"	chr15	-	99532122	99535655	99532122	99532176	99535518	99535655
501	"ENSMUSG00000023011"	"Faim2"	chr15	-	99410661	99418236	99410661	99410749	99418182	99418236
503	"ENSMUSG00000022999"	"Lmbr1l"	chr15	-	98806400	98806802	98806400	98806477	98806729	98806802
506	"ENSMUSG00000003355"	"Fkbp11"	chr15	-	98624364	98625179	98624364	98624435	98625091	98625179
516	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89313030	89312336	89312432	89312916	89313030
523	"ENSMUSG00000022614"	"Lmf2"	chr15	-	89236561	89237158	89236561	89236730	89237061	89237158
530	"ENSMUSG00000062906"	"Hdac10"	chr15	-	89010580	89011198	89010580	89010640	89011071	89011198
549	"ENSMUSG00000073125"	"Xlr3b"	chrX	+	72239547	72241991	72239547	72239582	72241891	72241991
557	"ENSMUSG00000042524"	"Sun2"	chr15	-	79612063	79613277	79612063	79612285	79613233	79613277
569	"ENSMUSG00000115987"	"Vps28"	chr15	-	76507370	76508375	76507370	76507472	76508285	76508375
572	"ENSMUSG00000034022"	"Cpsf1"	chr15	-	76480208	76480771	76480208	76480347	76480615	76480771
586	"ENSMUSG00000022552"	"Sharpin"	chr15	-	76231681	76232204	76231681	76231794	76232095	76232204
616	"ENSMUSG00000024645"	"Timm21"	chr18	-	84965958	84967416	84965958	84966064	84967318	84967416
617	"ENSMUSG00000024645"	"Timm21"	chr18	-	84966147	84967577	84966147	84966221	84967514	84967577
631	"ENSMUSG00000058600"	"Rpl30"	chr15	-	34440650	34442926	34440650	34440750	34442780	34442926
632	"ENSMUSG00000022255"	"Mtdh"	chr15	+	34114169	34118256	34114169	34114254	34118025	34118256
639	"ENSMUSG00000022111"	"Uchl3"	chr14	+	101903196	101906012	101903196	101903325	101905964	101906012
685	"ENSMUSG00000006289"	"Osgep"	chr14	-	51154256	51154960	51154256	51154322	51154839	51154960
686	"ENSMUSG00000006289"	"Osgep"	chr14	-	51154256	51154960	51154256	51154322	51154910	51154960
702	"ENSMUSG00000053205"	"Styx"	chr14	+	45605138	45605928	45605138	45605175	45605877	45605928
730	"ENSMUSG00000034190"	"Chmp7"	chr14	-	69956577	69957316	69956577	69956638	69957196	69957316
740	"ENSMUSG00000021692"	"Dimt1"	chr13	+	107085208	107086293	107085208	107085295	107086199	107086293
741	"ENSMUSG00000046169"	"Adamts6"	chr13	+	104581322	104582212	104581322	104581461	104582123	104582212
789	"ENSMUSG00000021485"	"Mxd3"	chr13	-	55476182	55477187	55476182	55476297	55477081	55477187
825	"ENSMUSG00000012017"	"Scarf2"	chr16	+	17622169	17622788	17622169	17622273	17622672	17622788
833	"ENSMUSG00000022216"	"Psme1"	chr14	+	55817051	55817498	55817051	55817084	55817387	55817498
873	"ENSMUSG00000021240"	"Abcd4"	chr12	-	84659098	84659670	84659098	84659219	84659553	84659670
921	"ENSMUSG00000039307"	"Hexdc"	chr11	+	121111689	121112416	121111689	121111987	121112326	121112416
923	"ENSMUSG00000025158"	"Rfng"	chr11	-	120673208	120673986	120673208	120673374	120673832	120673986
935	"ENSMUSG00000021810"	"Ecd"	chr14	-	20386949	20388564	20386949	20387142	20388476	20388564
952	"ENSMUSG00000056962"	"Jmjd6"	chr11	-	116730663	116731371	116730663	116730757	116731273	116731371
968	"ENSMUSG00000020719"	"Ddx5"	chr11	-	106673294	106674844	106673294	106673510	106674784	106674844
979	"ENSMUSG00000008855"	"Hdac5"	chr11	-	102087364	102088262	102087364	102087498	102088164	102088262
988	"ENSMUSG00000020918"	"Kat2a"	chr11	-	100596784	100597319	100596784	100596821	100597175	100597319
1000	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57008022	57008088	57009762	57009890
1057	"ENSMUSG00000031796"	"Cfap20"	chr8	-	96146876	96148874	96146876	96147297	96148685	96148874
1080	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39490605	39490881	39490605	39490716	39490790	39490881
1096	"ENSMUSG00000022550"	"Adck5"	chr15	+	76478137	76478647	76478137	76478251	76478563	76478647
1142	"ENSMUSG00000029599"	"Ddx54"	chr5	+	120758322	120758823	120758322	120758444	120758691	120758823
1158	"ENSMUSG00000040472"	"Rabggta"	chr14	-	55956547	55956988	55956547	55956599	55956886	55956988
1174	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15222822	15225328	15222822	15222991	15225285	15225328
1180	"ENSMUSG00000031691"	"Tnpo2"	chr8	+	85781350	85781882	85781350	85781426	85781807	85781882
1189	"ENSMUSG00000074578"	"Zfas1"	chr2	+	166907078	166907782	166907078	166907137	166907606	166907782
1197	"ENSMUSG00000000632"	"Sez6"	chr11	+	77864608	77865462	77864608	77864803	77865265	77865462
1208	"ENSMUSG00000037318"	"Traf3ip3"	chr1	-	192877132	192877730	192877132	192877157	192877582	192877730
1211	"ENSMUSG00000036403"	"Cep135"	chr5	+	76784708	76786873	76784708	76784918	76786768	76786873
1220	"ENSMUSG00000028467"	"Gba2"	chr4	-	43569180	43569955	43569180	43569285	43569829	43569955
1232	"ENSMUSG00000047215"	"Rpl9"	chr5	-	65545706	65546494	65545706	65545784	65546413	65546494
1233	"ENSMUSG00000047215"	"Rpl9"	chr5	-	65545706	65547826	65545706	65545784	65547730	65547826
1234	"ENSMUSG00000047215"	"Rpl9"	chr5	-	65545706	65547826	65545706	65546494	65547730	65547826
1252	"ENSMUSG00000020156"	"Pwwp3a"	chr10	+	80071944	80074754	80071944	80072015	80074693	80074754
