ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	4172,4483,4486	221,272,261	4415,4442,5250	256,284,430	296	298	0.0830868722768	0.5289576068899304	0.95,0.943,0.945	0.946,0.94,0.925	0.009
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	5788,5859,6237	3463,3690,3702	5975,6258,7132	3313,3835,4309	298	298	0.737058240924	1.0	0.626,0.614,0.628	0.643,0.62,0.623	-0.006
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239	7	309,335,297	364,351,360	388,366,404	431,441,507	241	275	0.698261018514	1.0	0.492,0.521,0.485	0.507,0.486,0.476	0.01
8	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166135131	166135305	166129317	166131994	166146540	166146665	8	192,260,264	163,174,170	295,345,303	289,192,249	298	298	0.594106457858	1.0	0.541,0.599,0.608	0.505,0.642,0.549	0.017
9	"ENSMUSG00000025742"	"Prps2"	chrX	-	166135131	166135305	166146540	166146665	166133510	166133670	166148114	166148213	9	343,370,414	319,320,385	470,528,600	480,440,614	274	298	0.602619545368	1.0	0.539,0.557,0.539	0.516,0.566,0.515	0.013
10	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	10	264,281,307	5,7,4	422,501,540	38,27,18	269	296	5.04090365316e-06	0.00046173518755059166	0.983,0.978,0.988	0.924,0.953,0.971	0.034
11	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163211535	163211668	163205579	163205982	163211806	163212013	11	26,41,22	68,82,111	44,35,20	85,81,93	282	282	0.694251823212	1.0	0.277,0.333,0.165	0.341,0.302,0.177	-0.015
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052366	163052471	163078910	163078994	12	3,1,2	382,406,387	13,11,5	551,550,622	278	242	0.250025581871	0.8239784175501371	0.007,0.002,0.004	0.02,0.017,0.007	-0.01
13	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994	13	381,430,456	393,429,409	661,507,680	585,565,653	278	242	0.94170779826	1.0	0.458,0.466,0.493	0.496,0.439,0.475	0.002
14	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426	14	171,189,144	303,255,290	330,260,312	433,410,512	242	233	0.318264352383	0.8861710034753421	0.352,0.416,0.323	0.423,0.379,0.37	-0.027
15	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163125469	163125514	163083219	163083426	163141143	163141226	15	371,424,382	79,89,98	584,528,694	121,90,93	234	194	0.0181087282125	0.23196990944647558	0.796,0.798,0.764	0.8,0.829,0.861	-0.044
16	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163141143	163141226	163113010	163113095	163152041	163152108	16	32,37,41	91,104,126	67,56,60	216,163,214	194	232	0.550123769652	1.0	0.296,0.298,0.28	0.271,0.291,0.251	0.02
17	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162723114	162723170	162718438	162719961	162726095	162726309	17	92,93,87	116,81,104	77,98,110	97,135,111	205	259	0.552127494665	1.0	0.501,0.592,0.514	0.501,0.478,0.556	0.024
18	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	18	278,338,347	144,145,128	403,361,499	184,192,188	298	208	0.76276658435	1.0	0.574,0.619,0.654	0.605,0.568,0.649	0.008
19	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665675	161665742	161655510	161655650	161665963	161666082	19	214,274,307	310,312,268	252,344,383	387,397,421	216	223	0.459019805176	0.9791053045312319	0.416,0.476,0.542	0.402,0.472,0.484	0.025
20	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665963	161666082	161655510	161655650	161671064	161671443	20	544,612,528	311,310,268	593,755,747	387,397,421	268	223	0.361605392464	0.9221295091736654	0.593,0.622,0.621	0.56,0.613,0.596	0.022
21	"ENSMUSG00000031295"	"Phka2"	chrX	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374137	21	35,16,30	51,71,58	25,50,76	85,127,174	203	298	0.620090555831	1.0	0.502,0.249,0.432	0.302,0.366,0.391	0.041
22	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158331234	158331311	158334746	158335370	158315663	158315831	158336239	158336890	22	378,500,489	212,195,311	583,829,853	321,385,502	226	298	0.83745694061	1.0	0.702,0.772,0.675	0.705,0.74,0.691	0.004
23	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156338592	156338687	156341880	156342061	156337878	156338074	156344378	156344497	23	327,301,353	419,415,365	366,377,383	504,472,564	298	244	0.271794090609	0.8496353176618946	0.39,0.373,0.442	0.373,0.395,0.357	0.027
24	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156338592	156338687	156344378	156344497	156337878	156338074	156355854	156355982	24	322,395,391	422,402,366	390,350,468	502,469,538	268	244	0.139482848286	0.6609386617146802	0.41,0.472,0.493	0.414,0.405,0.442	0.038
25	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156341880	156342061	156344378	156344497	156338592	156338687	156355854	156355982	25	324,410,395	711,569,598	396,356,494	622,685,808	268	298	0.846075826904	1.0	0.336,0.445,0.423	0.414,0.366,0.405	0.006
26	"ENSMUSG00000025283"	"Sat1"	chrX	-	153996892	153996933	153997028	153997130	153996127	153996663	153998596	153998680	26	573,522,459	103,162,120	823,618,935	200,150,217	251	190	0.812382329935	1.0	0.808,0.709,0.743	0.757,0.757,0.765	-0.006
27	"ENSMUSG00000041115"	"Iqsec2"	chrX	+	150963992	150964088	150986927	150987329	150961959	150962086	150991765	150992661	27	119,112,111	80,73,82	128,150,121	133,136,163	245	298	0.00150334436414	0.041267196341288066	0.644,0.651,0.622	0.539,0.573,0.474	0.11
28	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150587441	150587536	150589715	150589856	150586653	150586798	150618219	150618272	28	45,30,37	840,984,1021	33,23,24	1063,1004,1166	244	290	0.00542061937848	0.10744917732087199	0.06,0.035,0.041	0.036,0.027,0.024	0.016
29	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589715	150589856	150618219	150618288	150586322	150586565	150623051	150623150	29	880,919,972	384,441,477	1108,1058,1189	466,470,530	290	218	0.452826982386	0.9766746376513628	0.633,0.61,0.605	0.641,0.629,0.628	-0.017
30	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150635470	150635548	150636394	150636442	150633712	150633775	150636519	150636588	30	356,294,374	185,175,258	488,363,559	237,230,275	227	197	0.248684687522	0.8221531644588139	0.625,0.593,0.557	0.641,0.578,0.638	-0.027
31	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150182670	150182799	150211912	150212012	150164906	150164989	150212832	150212909	31	122,92,95	68,89,90	150,155,208	112,78,75	278	249	0.0310415365607	0.3132834960303178	0.616,0.481,0.486	0.545,0.64,0.713	-0.105
32	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134614	141143382	141143432	141133955	141134133	141173300	141173500	32	517,467,521	2012,1849,2038	699,679,804	2565,2351,3136	199	298	0.473399629263	0.983077241737909	0.278,0.274,0.277	0.29,0.302,0.277	-0.013
33	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134904	141143382	141143480	141133955	141134133	141173300	141173340	33	0,0,0	2008,1849,2038	2,0,0	2564,2351,3136	247	298	1	1.0	0.0,0.0,0.0	0.001,0.0,0.0	-0.0
34	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134904	141143382	141143432	141133955	141134133	141173300	141173531	34	517,467,521	2008,1849,2038	699,679,804	2564,2351,3136	199	298	0.477102330541	0.9851197688153164	0.278,0.274,0.277	0.29,0.302,0.277	-0.013
