ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	55111	55701
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	52189	52367	55111	55701
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667
7	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667
168	"ENSMUSG00000031358"	"Msl3"	chrX	-	167439958	167440043	167437112	167437964	167441610	167441710
169	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167453215	167453307
170	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167454138	167454239
171	"ENSMUSG00000031358"	"Msl3"	chrX	-	167453215	167453307	167451626	167451787	167454138	167454239
172	"ENSMUSG00000031358"	"Msl3"	chrX	-	167453215	167453307	167452485	167452611	167454138	167454239
175	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166129317	166131994	166135131	166135305
176	"ENSMUSG00000025742"	"Prps2"	chrX	-	166135131	166135305	166133510	166133670	166146540	166146665
177	"ENSMUSG00000025742"	"Prps2"	chrX	-	166146540	166146665	166135131	166135305	166148114	166148213
186	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165155633	165155820	165127687	165128077	165158628	165158785
187	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165162983	165163155	165158628	165158785	165165444	165165518
188	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165166930	165166996	165165444	165165518	165169947	165171984
190	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164959840	164960075	164953449	164953546	164961529	164961638
193	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164961529	164961638	164959840	164960075	164961787	164961826
194	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963348	164963805	164961418	164961826	164972239	164972338
195	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963441	164963805	164961787	164961826	164972239	164972816
202	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163205579	163206359	163211806	163212013
