ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
18	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150252471	150254838
24	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	134652693	134652766	134652693	134652725	134679654	134681535
34	"ENSMUSG00000097571"	"Jpx"	chrX	+	102546465	102546798	102546465	102546536	102561916	102561963
36	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100124313	100124477	100123305	100123414
38	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73352681	73352781
39	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353995	73354140
40	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73354243	73354298
43	"ENSMUSG00000031387"	"Renbp"	chrX	-	72973792	72973868	72973834	72973868	72973286	72973459
45	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72834259	72834432
51	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72258846	72258961
52	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72259646	72259715
62	"ENSMUSG00000031066"	"Usp11"	chrX	+	20582985	20584043	20582985	20583192	20584232	20584511
67	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8010086	8010918	8010811	8010918	8009896	8009990
74	"ENSMUSG00000031146"	"Plp2"	chrX	-	7535653	7535997	7535841	7535997	7535165	7535256
79	"ENSMUSG00000025225"	"Nfkb2"	chr19	+	46294721	46294965	46294721	46294803	46295209	46295308
82	"ENSMUSG00000025220"	"Oga"	chr19	-	45765325	45767123	45767025	45767123	45762100	45762199
83	"ENSMUSG00000025217"	"Btrc"	chr19	+	45352525	45352713	45352525	45352581	45394983	45395025
