ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	4172,4483,4486	20937,20542,20111	4415,4442,5250	20474,20965,24579	296	1093	0.984786391531	1.0	0.424,0.446,0.452	0.443,0.439,0.441	-0.0
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	6705,6801,7178	3917,4194,4254	6872,7215,8188	3788,4324,4886	421	315	0.753675597983	1.0	0.562,0.548,0.558	0.576,0.555,0.556	-0.006
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239	7	309,335,297	364,351,360	388,366,404	431,441,507	241	275	0.698261018514	1.0	0.492,0.521,0.485	0.507,0.486,0.476	0.01
8	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166135131	166135305	166129317	166131994	166146540	166146665	8	227,282,294	176,188,182	329,363,326	307,203,273	323	309	0.415207640618	0.9748793130343084	0.552,0.589,0.607	0.506,0.631,0.533	0.026
9	"ENSMUSG00000025742"	"Prps2"	chrX	-	166135131	166135305	166146540	166146665	166133510	166133670	166148114	166148213	9	343,370,414	354,342,415	470,528,600	514,458,637	274	323	0.854902258913	1.0	0.533,0.561,0.54	0.519,0.576,0.526	0.004
10	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	10	264,281,307	5,7,4	422,501,540	38,27,18	269	296	5.04090365316e-06	0.0005321601515224626	0.983,0.978,0.988	0.924,0.953,0.971	0.034
11	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163211535	163211668	163205579	163205982	163211806	163212013	11	26,41,22	68,82,111	44,35,20	85,81,93	282	282	0.694251823212	1.0	0.277,0.333,0.165	0.341,0.302,0.177	-0.015
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052366	163052471	163078910	163078994	12	3,1,2	382,406,387	13,11,5	551,550,622	278	242	0.250025581871	0.8570185804551382	0.007,0.002,0.004	0.02,0.017,0.007	-0.01
13	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994	13	381,430,456	393,429,409	661,507,680	585,565,653	278	242	0.94170779826	1.0	0.458,0.466,0.493	0.496,0.439,0.475	0.002
14	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426	14	171,189,144	303,255,290	330,260,312	433,410,512	242	233	0.318264352383	0.9110473381977251	0.352,0.416,0.323	0.423,0.379,0.37	-0.027
15	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163125469	163125514	163083219	163083426	163141143	163141226	15	371,424,382	79,89,98	584,528,694	121,90,93	234	194	0.0181087282125	0.25083229497298026	0.796,0.798,0.764	0.8,0.829,0.861	-0.044
16	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163141143	163141226	163113010	163113095	163152041	163152108	16	32,37,41	91,104,126	67,56,60	216,163,214	194	232	0.550123769652	1.0	0.296,0.298,0.28	0.271,0.291,0.251	0.02
17	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162723114	162723170	162718438	162719961	162726095	162726309	17	92,93,87	116,81,104	77,98,110	97,135,111	205	259	0.552127494665	1.0	0.501,0.592,0.514	0.501,0.478,0.556	0.024
18	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	18	278,338,347	144,145,128	403,361,499	184,192,188	298	208	0.76276658435	1.0	0.574,0.619,0.654	0.605,0.568,0.649	0.008
19	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665675	161665742	161655510	161655650	161665963	161666082	19	214,274,307	310,312,268	252,344,383	387,397,421	216	223	0.459019805176	0.9954269774235626	0.416,0.476,0.542	0.402,0.472,0.484	0.025
20	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665963	161666082	161655510	161655650	161671064	161671443	20	544,612,528	311,310,268	593,755,747	387,397,421	268	223	0.361605392464	0.9409140467645081	0.593,0.622,0.621	0.56,0.613,0.596	0.022
21	"ENSMUSG00000031295"	"Phka2"	chrX	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374137	21	35,16,30	73,91,76	25,50,76	113,166,227	203	350	0.640774419174	1.0	0.453,0.233,0.405	0.276,0.342,0.366	0.036
22	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158331234	158331311	158334746	158335370	158315663	158315831	158336239	158336890	22	378,500,489	1460,1545,1868	583,829,853	2104,2642,3138	226	773	0.792171405384	1.0	0.47,0.525,0.472	0.487,0.518,0.482	-0.007
23	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156338592	156338687	156341880	156342061	156337878	156338074	156344378	156344497	23	410,387,452	419,415,365	470,473,517	504,472,564	330	244	0.346648369149	0.9334460921659035	0.42,0.408,0.478	0.408,0.426,0.404	0.023
24	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156338592	156338687	156344378	156344497	156337878	156338074	156355854	156355982	24	322,395,391	422,402,366	390,350,468	502,469,538	268	244	0.139482848286	0.6983896862566226	0.41,0.472,0.493	0.414,0.405,0.442	0.038
25	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156341880	156342061	156344378	156344497	156338592	156338687	156355854	156355982	25	324,410,395	794,655,697	396,356,494	726,781,942	268	330	0.753379692518	1.0	0.334,0.435,0.411	0.402,0.359,0.392	0.009
