ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239
8	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166135131	166135305	166129317	166131994	166146540	166146665
9	"ENSMUSG00000025742"	"Prps2"	chrX	-	166135131	166135305	166146540	166146665	166133510	166133670	166148114	166148213
11	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163211535	163211668	163205579	163205982	163211806	163212013
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052366	163052471	163078910	163078994
13	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994
14	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426
15	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163125469	163125514	163083219	163083426	163141143	163141226
16	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163141143	163141226	163113010	163113095	163152041	163152108
17	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162723114	162723170	162718438	162719961	162726095	162726309
18	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650
19	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665675	161665742	161655510	161655650	161665963	161666082
20	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665963	161666082	161655510	161655650	161671064	161671443
21	"ENSMUSG00000031295"	"Phka2"	chrX	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374137
22	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158331234	158331311	158334746	158335370	158315663	158315831	158336239	158336890
23	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156338592	156338687	156341880	156342061	156337878	156338074	156344378	156344497
24	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156338592	156338687	156344378	156344497	156337878	156338074	156355854	156355982
25	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156341880	156342061	156344378	156344497	156338592	156338687	156355854	156355982
26	"ENSMUSG00000025283"	"Sat1"	chrX	-	153996892	153996933	153997028	153997130	153996127	153996663	153998596	153998680
