"GeneID","geneSymbol","max_abs_dPSI","best_dPSI","min_FDR","n_events","event_types"
"ENSMUSG00000000568","Hnrnpd",0.202,0.202,0,1,"SE"
"ENSMUSG00000009995","Tafazzin",0.365,-0.365,0,9,"SE,A5SS,MXE,RI"
"ENSMUSG00000013973","Dedd",0.223,0.223,0,3,"SE"
"ENSMUSG00000017210","Med24",0.179,0.179,0,1,"SE"
"ENSMUSG00000018411","Mapt",0.237,-0.237,0,7,"SE,A3SS,MXE"
"ENSMUSG00000020198","Ap3d1",0.228,-0.228,0,1,"SE"
"ENSMUSG00000024044","Epb41l3",0.204,0.204,0,3,"SE,MXE"
"ENSMUSG00000024188","Luc7l",0.28,-0.28,0,2,"A5SS,RI"
"ENSMUSG00000025404","R3hdm2",0.177,0.177,0,3,"SE"
"ENSMUSG00000026883","Dab2ip",0.152,-0.152,0,1,"RI"
"ENSMUSG00000028809","Srrm1",0.186,-0.186,0,1,"RI"
"ENSMUSG00000030846","Tial1",0.158,-0.158,0,2,"SE,RI"
"ENSMUSG00000031865","Dctn1",0.272,0.272,0,4,"SE,MXE"
"ENSMUSG00000035629","Rubcn",0.329,0.329,0,1,"SE"
"ENSMUSG00000036180","Gatad2a",0.199,0.199,0,1,"SE"
"ENSMUSG00000039262","Prrc2b",0.157,0.157,0,1,"SE"
"ENSMUSG00000041936","Agrn",0.438,-0.438,0,4,"SE,A5SS,RI"
"ENSMUSG00000045095","Magi1",0.171,0.171,0,2,"SE"
"ENSMUSG00000050565","Tor1aip2",0.298,0.298,0,5,"SE"
"ENSMUSG00000066036","Ubr4",0.263,0.263,0,1,"SE"
"ENSMUSG00000039205","Ciz1",0.127,-0.127,7.174059326395e-14,2,"RI"
"ENSMUSG00000026860","Sh3glb2",0.228,0.228,1.00380021755475e-13,1,"SE"
"ENSMUSG00000020792","Exoc7",0.21,0.21,2.59888001530519e-13,3,"SE,MXE"
"ENSMUSG00000032637","Atxn2l",0.23,-0.23,2.7329249974169e-13,3,"SE,A5SS"
"ENSMUSG00000033768","Nrxn2",0.118,-0.118,2.82052159405981e-13,1,"A3SS"
"ENSMUSG00000028693","Nasp",0.253,-0.253,3.41834668679268e-13,1,"SE"
"ENSMUSG00000017677","Wsb1",0.281,-0.281,8.00498907670246e-13,1,"SE"
"ENSMUSG00000027624","Epb41l1",0.112,0.112,9.1430477646744e-13,1,"SE"
"ENSMUSG00000026456","Cyb5r1",0.237,-0.237,1.24102950138886e-12,1,"A3SS"
"ENSMUSG00000016346","Kcnq2",0.193,-0.193,1.25008143371497e-12,2,"SE,A5SS"
"ENSMUSG00000039671","Zmynd8",0.206,0.206,2.98823603224726e-12,1,"SE"
"ENSMUSG00000057858","Fam204a",0.194,-0.194,3.36818616475668e-12,6,"SE"
"ENSMUSG00000029165","Agbl5",0.186,-0.186,4.91901334480113e-12,2,"SE,RI"
"ENSMUSG00000017478","Zc3h18",0.143,0.143,5.86757446753883e-12,1,"SE"
"ENSMUSG00000037519","Ppfia1",0.265,0.265,7.93719172020803e-12,1,"SE"
"ENSMUSG00000041757","Plekha6",0.337,0.337,8.11253084908894e-12,9,"SE,MXE"
"ENSMUSG00000004980","Hnrnpa2b1",0.167,-0.167,1.60289999095546e-11,1,"SE"
"ENSMUSG00000034799","Unc13a",0.255,-0.255,2.49896399869214e-11,1,"RI"
"ENSMUSG00000032633","Flcn",0.169,-0.169,2.50321291472888e-11,1,"A3SS"
"ENSMUSG00000025138","Sirt7",0.248,-0.248,5.80152882256624e-11,4,"SE,RI"
"ENSMUSG00000038225","Primpol",0.209,-0.209,1.6443475387925e-10,1,"RI"
"ENSMUSG00000097080","1700086O06Rik",0.731,0.731,1.78365023538485e-10,4,"SE"
"ENSMUSG00000032599","Ip6k2",0.216,0.216,2.0295899336164e-10,3,"SE,MXE"
"ENSMUSG00000034518","Hmgxb4",0.177,0.177,2.32344502416303e-10,3,"SE,MXE"
"ENSMUSG00000027201","Myef2",0.119,-0.119,2.52622294295534e-10,1,"SE"
"ENSMUSG00000021413","Prpf4b",0.234,-0.234,2.53480687567769e-10,1,"SE"
"ENSMUSG00000036053","Fmnl2",0.231,-0.231,2.85590662230264e-10,2,"SE,A5SS"
"ENSMUSG00000037266","Rsrp1",0.21,-0.21,2.9281417903449e-10,3,"A3SS,RI"
"ENSMUSG00000037151","Lrrc20",0.141,0.141,3.18745522513594e-10,1,"SE"
"ENSMUSG00000031256","Cstf2",0.19,0.19,4.26278819386534e-10,4,"SE,RI"
"ENSMUSG00000028207","Asph",0.119,0.119,4.92559853045606e-10,1,"SE"
"ENSMUSG00000041328","Pcf11",0.222,-0.222,5.43595862768369e-10,1,"A5SS"
"ENSMUSG00000040481","Bptf",0.128,-0.128,1.50868295563312e-09,3,"SE,MXE"
"ENSMUSG00000032254","Kif23",0.186,-0.186,1.59487473534561e-09,1,"SE"
"ENSMUSG00000060227","Golm2",0.133,-0.133,1.65054869771964e-09,1,"SE"
"ENSMUSG00000071337","Tia1",0.122,-0.122,1.72326449070029e-09,1,"A5SS"
"ENSMUSG00000021819","Zswim8",0.218,-0.218,1.78952900863536e-09,2,"RI"
"ENSMUSG00000091568","Gm8206",0.572,-0.572,2.26252336143412e-09,1,"SE"
"ENSMUSG00000040354","Mars1",0.136,-0.136,4.40414144793133e-09,2,"SE,RI"
"ENSMUSG00000040459","Arglu1",0.118,-0.118,5.88971810617998e-09,1,"RI"
