"GeneID","geneSymbol","max_abs_dPSI","best_dPSI","min_FDR","n_events","event_types"
"ENSMUSG00000000538","Tom1l2",0.235,-0.235,0,2,"SE"
"ENSMUSG00000000568","Hnrnpd",0.258,0.258,0,1,"SE"
"ENSMUSG00000002010","Idh3g",0.225,-0.225,0,1,"RI"
"ENSMUSG00000002524","Puf60",0.168,0.168,0,1,"SE"
"ENSMUSG00000002799","Jag2",0.174,-0.174,0,1,"SE"
"ENSMUSG00000004561","Mettl17",0.338,-0.338,0,2,"SE,A5SS"
"ENSMUSG00000005045","Chd5",0.137,-0.137,0,1,"SE"
"ENSMUSG00000006476","Nsmf",0.114,-0.114,0,1,"SE"
"ENSMUSG00000006673","Qrich1",0.207,0.207,0,3,"SE"
"ENSMUSG00000006728","Cdk4",0.111,-0.111,0,1,"SE"
"ENSMUSG00000008892","Vdac3",0.199,-0.199,0,1,"MXE"
"ENSMUSG00000009621","Vav2",0.197,-0.197,0,2,"SE"
"ENSMUSG00000009741","Ubp1",0.229,-0.229,0,4,"SE,MXE,RI"
"ENSMUSG00000009995","Tafazzin",0.583,-0.583,0,12,"SE,A5SS,MXE,RI"
"ENSMUSG00000011877","Git1",0.119,0.119,0,1,"MXE"
"ENSMUSG00000013236","Ptprs",0.135,0.135,0,2,"SE"
"ENSMUSG00000016921","Srsf6",0.198,-0.198,0,1,"RI"
"ENSMUSG00000017421","Zfp207",0.245,-0.245,0,2,"SE"
"ENSMUSG00000017478","Zc3h18",0.214,0.214,0,1,"SE"
"ENSMUSG00000017677","Wsb1",0.511,-0.511,0,1,"SE"
"ENSMUSG00000018736","Ndel1",0.11,0.11,0,1,"SE"
"ENSMUSG00000019302","Atp6v0a1",0.134,-0.134,0,2,"SE,MXE"
"ENSMUSG00000020198","Ap3d1",0.264,-0.264,0,2,"SE,MXE"
"ENSMUSG00000020212","Mdm1",0.124,-0.124,0,1,"SE"
"ENSMUSG00000020385","Clk4",0.224,-0.224,0,2,"SE"
"ENSMUSG00000020458","Rtn4",0.205,-0.205,0,1,"SE"
"ENSMUSG00000020674","Pxdn",0.116,-0.116,0,2,"SE,MXE"
"ENSMUSG00000020792","Exoc7",0.286,0.286,0,3,"SE,MXE"
"ENSMUSG00000020827","Mink1",0.184,-0.184,0,1,"SE"
"ENSMUSG00000020886","Dlg4",0.182,-0.182,0,1,"SE"
"ENSMUSG00000021111","Papola",0.142,-0.142,0,1,"SE"
"ENSMUSG00000021156","Zmynd11",0.27,-0.27,0,1,"A5SS"
"ENSMUSG00000021262","Evl",0.233,-0.233,0,3,"SE,A5SS,MXE"
"ENSMUSG00000021288","Klc1",0.211,0.211,0,4,"SE,A5SS"
"ENSMUSG00000021413","Prpf4b",0.31,-0.31,0,1,"SE"
"ENSMUSG00000021819","Zswim8",0.282,-0.282,0,2,"RI"
"ENSMUSG00000021843","Ktn1",0.278,-0.278,0,1,"SE"
"ENSMUSG00000022564","Grina",0.271,-0.271,0,2,"SE"
"ENSMUSG00000022568","Scrib",0.22,-0.22,0,2,"SE"
"ENSMUSG00000022789","Dnm1l",0.34,-0.34,0,4,"SE"
"ENSMUSG00000022791","Tnk2",0.327,0.327,0,2,"SE"
"ENSMUSG00000022858","Tra2b",0.193,-0.193,0,2,"SE"
"ENSMUSG00000022871","Fetub",0.219,-0.219,0,1,"SE"
"ENSMUSG00000022992","Kansl2",0.147,-0.147,0,1,"A5SS"
"ENSMUSG00000023015","Racgap1",0.183,0.183,0,2,"SE,MXE"
"ENSMUSG00000023072","Cep89",0.178,-0.178,0,1,"SE"
"ENSMUSG00000023977","Ubr2",0.217,-0.217,0,2,"SE,RI"
"ENSMUSG00000024188","Luc7l",0.233,-0.233,0,2,"A5SS,RI"
"ENSMUSG00000024807","Syvn1",0.173,-0.173,0,2,"RI"
"ENSMUSG00000024858","Grk2",0.157,-0.157,0,1,"SE"
"ENSMUSG00000025137","Pcyt2",0.231,-0.231,0,3,"SE,RI"
"ENSMUSG00000025138","Sirt7",0.285,-0.285,0,3,"SE,RI"
"ENSMUSG00000025151","Maged1",0.118,-0.118,0,1,"RI"
"ENSMUSG00000025290","Rps24",0.36,-0.36,0,1,"SE"
"ENSMUSG00000025404","R3hdm2",0.162,0.162,0,2,"SE"
"ENSMUSG00000026034","Clk1",0.176,0.176,0,1,"RI"
"ENSMUSG00000026074","Map4k4",0.808,-0.808,0,2,"SE,A5SS"
"ENSMUSG00000026131","Dst",0.162,-0.162,0,1,"SE"
"ENSMUSG00000026277","Stk25",0.156,-0.156,0,1,"RI"
"ENSMUSG00000026456","Cyb5r1",0.345,-0.345,0,1,"A3SS"
"ENSMUSG00000026490","Cdc42bpa",0.227,-0.227,0,1,"SE"
"ENSMUSG00000026594","Ralgps2",0.151,-0.151,0,1,"SE"
"ENSMUSG00000026670","Uap1",0.223,-0.223,0,3,"SE"
"ENSMUSG00000026860","Sh3glb2",0.404,-0.404,0,3,"SE,RI"
"ENSMUSG00000026883","Dab2ip",0.175,-0.175,0,1,"RI"
"ENSMUSG00000027002","Nckap1",0.142,-0.142,0,1,"SE"
"ENSMUSG00000027201","Myef2",0.142,-0.142,0,2,"SE"
"ENSMUSG00000027282","Mtch2",0.229,-0.229,0,1,"SE"
"ENSMUSG00000027405","Nop56",0.105,-0.105,0,1,"SE"
"ENSMUSG00000027506","Tpd52",0.115,0.115,0,1,"SE"
"ENSMUSG00000027575","Arfgap1",0.297,0.297,0,2,"SE,A3SS"
"ENSMUSG00000027624","Epb41l1",0.138,0.138,0,1,"SE"
"ENSMUSG00000027639","Samhd1",0.157,-0.157,0,2,"SE,RI"
"ENSMUSG00000027763","Mbnl1",0.117,0.117,0,1,"SE"
"ENSMUSG00000028034","Fubp1",0.274,-0.274,0,2,"A3SS,RI"
"ENSMUSG00000028649","Macf1",0.137,-0.137,0,2,"SE"
"ENSMUSG00000028693","Nasp",0.443,-0.443,0,2,"SE,MXE"
"ENSMUSG00000028809","Srrm1",0.202,-0.202,0,2,"MXE,RI"
"ENSMUSG00000029106","Add1",0.331,-0.331,0,3,"SE,A5SS"
"ENSMUSG00000029267","Mtf2",0.234,0.234,0,6,"SE"
"ENSMUSG00000029328","Hnrnpdl",0.641,-0.641,0,3,"SE,MXE"
"ENSMUSG00000029625","Cpsf4",0.231,-0.231,0,6,"A3SS,RI"
"ENSMUSG00000030177","Ccdc77",0.333,-0.333,0,1,"A3SS"
"ENSMUSG00000030231","Plekha5",0.383,-0.383,0,2,"SE,A3SS"
"ENSMUSG00000030512","Snrpa1",0.295,-0.295,0,1,"RI"
