"event_id","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR","direction"
"ENSMUSG00000043384_chrX_134644311_134644363","ENSMUSG00000043384","Gprasp1","chrX",134644311,134644363,52,"Regular (>50bp)",0.109,0.00646971334921933,"Inclusion"
"ENSMUSG00000087620_chrX_104433475_104433549","ENSMUSG00000087620","5330434G04Rik","chrX",104433475,104433549,74,"Regular (>50bp)",0.124,0.00542655501915266,"Inclusion"
"ENSMUSG00000031314_chrX_100634339_100634345","ENSMUSG00000031314","Taf1","chrX",100634339,100634345,6,"Microexon (0-30bp)",0.201,5.80152882256624e-11,"Inclusion"
"ENSMUSG00000035476_chrX_84619155_84619216","ENSMUSG00000035476","Tab3","chrX",84619155,84619216,61,"Regular (>50bp)",-0.105,0.00789784768877363,"Exclusion"
"ENSMUSG00000031012_chrX_13462924_13462942","ENSMUSG00000031012","Cask","chrX",13462924,13462942,18,"Microexon (0-30bp)",0.169,0,"Inclusion"
"ENSMUSG00000018820_chr19_42174058_42174079","ENSMUSG00000018820","Zfyve27","chr19",42174058,42174079,21,"Microexon (0-30bp)",0.131,0.0409838238074037,"Inclusion"
"ENSMUSG00000025019_chr19_41534313_41534446","ENSMUSG00000025019","Lcor","chr19",41534313,41534446,133,"Regular (>50bp)",-0.29,0.0138392517594589,"Exclusion"
"ENSMUSG00000040451_chr19_32237375_32237497","ENSMUSG00000040451","Sgms1","chr19",32237375,32237497,122,"Regular (>50bp)",0.14,0.00324301571806219,"Inclusion"
"ENSMUSG00000039126_chr19_17193689_17193737","ENSMUSG00000039126","Prune2","chr19",17193689,17193737,48,"Small (30-50bp)",0.118,0.0452451347637844,"Inclusion"
"ENSMUSG00000056917_chr19_5711623_5711651","ENSMUSG00000056917","Sipa1","chr19",5711623,5711651,28,"Microexon (0-30bp)",0.295,6.66291490053471e-05,"Inclusion"
"ENSMUSG00000056917_chr19_5711623_5711686","ENSMUSG00000056917","Sipa1","chr19",5711623,5711686,63,"Regular (>50bp)",0.266,0.000136639824794856,"Inclusion"
"ENSMUSG00000041258_chr18_82628729_82628811","ENSMUSG00000041258","Zfp236","chr18",82628729,82628811,82,"Regular (>50bp)",0.124,6.98160478013703e-05,"Inclusion"
"ENSMUSG00000025420_chr18_77099685_77099800","ENSMUSG00000025420","Katnal2","chr18",77099685,77099800,115,"Regular (>50bp)",0.151,0.0186055058252705,"Inclusion"
"ENSMUSG00000024480_chr18_46916825_46916866","ENSMUSG00000024480","Ap3s1","chr18",46916825,46916866,41,"Small (30-50bp)",-0.757,0.000578400887225834,"Exclusion"
"ENSMUSG00000024357_chr18_35626197_35626286","ENSMUSG00000024357","Sil1","chr18",35626197,35626286,89,"Regular (>50bp)",-0.151,0.00834411818933639,"Exclusion"
"ENSMUSG00000097755_chr18_34889051_34889204","ENSMUSG00000097755","2010110K18Rik","chr18",34889051,34889204,153,"Regular (>50bp)",-0.122,0.0100847040124153,"Exclusion"
"ENSMUSG00000024381_chr18_32562752_32562776","ENSMUSG00000024381","Bin1","chr18",32562752,32562776,24,"Microexon (0-30bp)",0.14,0.0132226098273639,"Inclusion"
"ENSMUSG00000024381_chr18_32562752_32562776","ENSMUSG00000024381","Bin1","chr18",32562752,32562776,24,"Microexon (0-30bp)",0.158,0.00216435526037455,"Inclusion"
"ENSMUSG00000024273_chr18_24604118_24604141","ENSMUSG00000024273","2700062C07Rik","chr18",24604118,24604141,23,"Microexon (0-30bp)",-0.102,0.0216985677542389,"Exclusion"
"ENSMUSG00000033382_chr18_20988877_20988895","ENSMUSG00000033382","Trappc8","chr18",20988877,20988895,18,"Microexon (0-30bp)",0.11,7.28534664518961e-06,"Inclusion"
"ENSMUSG00000041225_chr18_6111684_6112439","ENSMUSG00000041225","Arhgap12","chr18",6111684,6112439,755,"Regular (>50bp)",0.105,0.0196174305361452,"Inclusion"
"ENSMUSG00000045098_chr19_3827461_3827512","ENSMUSG00000045098","Kmt5b","chr19",3827461,3827512,51,"Regular (>50bp)",0.138,1.01109542961299e-07,"Inclusion"
"ENSMUSG00000024301_chr17_27140780_27140834","ENSMUSG00000024301","Kifc5b","chr17",27140780,27140834,54,"Regular (>50bp)",0.121,0.000577802774270436,"Inclusion"
"ENSMUSG00000117042_chr17_13789019_13789145","ENSMUSG00000117042","2700054A10Rik","chr17",13789019,13789145,126,"Regular (>50bp)",0.143,0.0275616163753129,"Inclusion"
"ENSMUSG00000034377_chr17_6168570_6168641","ENSMUSG00000034377","Tulp4","chr17",6168570,6168641,71,"Regular (>50bp)",0.184,0.0204387930651285,"Inclusion"
"ENSMUSG00000015659_chr17_6119573_6119663","ENSMUSG00000015659","Serac1","chr17",6119573,6119663,90,"Regular (>50bp)",0.163,0.0054059057236589,"Inclusion"
"ENSMUSG00000022948_chr16_93387143_93388191","ENSMUSG00000022948","Setd4","chr16",93387143,93388191,1048,"Regular (>50bp)",-0.186,0.0173250062120832,"Exclusion"
"ENSMUSG00000022948_chr16_93387761_93388191","ENSMUSG00000022948","Setd4","chr16",93387761,93388191,430,"Regular (>50bp)",0.209,0.000896301480330683,"Inclusion"
"ENSMUSG00000085169_chr16_91505665_91505778","ENSMUSG00000085169","Gm10785","chr16",91505665,91505778,113,"Regular (>50bp)",-0.242,0.00148250010273968,"Exclusion"
"ENSMUSG00000022890_chr16_84630707_84630762","ENSMUSG00000022890","Atp5j","chr16",84630707,84630762,55,"Regular (>50bp)",-0.108,0.00379255662986247,"Exclusion"
"ENSMUSG00000022604_chr16_55742433_55742600","ENSMUSG00000022604","Cep97","chr16",55742433,55742600,167,"Regular (>50bp)",0.111,0.000564267718258756,"Inclusion"
"ENSMUSG00000022708_chr16_43013827_43013901","ENSMUSG00000022708","Zbtb20","chr16",43013827,43013901,74,"Regular (>50bp)",0.351,0.0249316195848359,"Inclusion"
"ENSMUSG00000022708_chr16_43397392_43397556","ENSMUSG00000022708","Zbtb20","chr16",43397392,43397556,164,"Regular (>50bp)",0.153,0.046650471185008,"Inclusion"
"ENSMUSG00000022837_chr16_36649365_36649435","ENSMUSG00000022837","Iqcb1","chr16",36649365,36649435,70,"Regular (>50bp)",-0.139,3.15878867673424e-05,"Exclusion"
"ENSMUSG00000086324_chr16_35802094_35802165","ENSMUSG00000086324","Gm15564","chr16",35802094,35802165,71,"Regular (>50bp)",0.429,0.000134731150745085,"Inclusion"
"ENSMUSG00000045983_chr16_20493535_20493556","ENSMUSG00000045983","Eif4g1","chr16",20493535,20493556,21,"Microexon (0-30bp)",0.166,1.83302648422216e-13,"Inclusion"
"ENSMUSG00000036529_chr15_89191374_89191398","ENSMUSG00000036529","Sbf1","chr15",89191374,89191398,24,"Microexon (0-30bp)",0.134,0,"Inclusion"
"ENSMUSG00000097039_chr15_62021087_62021201","ENSMUSG00000097039","Pvt1","chr15",62021087,62021201,114,"Regular (>50bp)",0.143,0.0249316195848359,"Inclusion"
"ENSMUSG00000097039_chr15_62021087_62021201","ENSMUSG00000097039","Pvt1","chr15",62021087,62021201,114,"Regular (>50bp)",-0.103,0.0018368691764503,"Exclusion"
"ENSMUSG00000079105_chr15_5075126_5075265","ENSMUSG00000079105","C7","chr15",5075126,5075265,139,"Regular (>50bp)",-0.252,4.97860633454228e-05,"Exclusion"
"ENSMUSG00000087479_chr14_119343557_119343726","ENSMUSG00000087479","Gm16835","chr14",119343557,119343726,169,"Regular (>50bp)",-0.382,9.29700907370769e-05,"Exclusion"
"ENSMUSG00000021969_chr14_58087601_58087637","ENSMUSG00000021969","Zdhhc20","chr14",58087601,58087637,36,"Small (30-50bp)",0.196,6.6172500227135e-08,"Inclusion"
"ENSMUSG00000040990_chrX_158600237_158600294","ENSMUSG00000040990","Sh3kbp1","chrX",158600237,158600294,57,"Regular (>50bp)",-0.529,0.000846972086302339,"Exclusion"
"ENSMUSG00000021838_chr14_47290306_47290570","ENSMUSG00000021838","Samd4","chr14",47290306,47290570,264,"Regular (>50bp)",-0.15,0.0145516858827349,"Exclusion"
"ENSMUSG00000037697_chr14_45866310_45866331","ENSMUSG00000037697","Ddhd1","chr14",45866310,45866331,21,"Microexon (0-30bp)",0.202,1.72061376212635e-05,"Inclusion"
"ENSMUSG00000092165_chr14_44798155_44798244","ENSMUSG00000092165","Gm5624","chr14",44798155,44798244,89,"Regular (>50bp)",0.106,0.000785242525902698,"Inclusion"
"ENSMUSG00000092165_chr14_44798155_44798287","ENSMUSG00000092165","Gm5624","chr14",44798155,44798287,132,"Regular (>50bp)",0.124,0.000327339854512147,"Inclusion"
"ENSMUSG00000022487_chr15_103338603_103338684","ENSMUSG00000022487","Gtsf1","chr15",103338603,103338684,81,"Regular (>50bp)",-0.166,0.0171446500513668,"Exclusion"
"ENSMUSG00000042354_chr14_30735385_30735522","ENSMUSG00000042354","Gnl3","chr14",30735385,30735522,137,"Regular (>50bp)",-0.446,3.06560648323351e-06,"Exclusion"
"ENSMUSG00000051984_chr19_44531704_44531828","ENSMUSG00000051984","Sec31b","chr19",44531704,44531828,124,"Regular (>50bp)",0.165,0.00362022944500785,"Inclusion"
"ENSMUSG00000078952_chr13_97619456_97619540","ENSMUSG00000078952","Lncenc1","chr13",97619456,97619540,84,"Regular (>50bp)",0.195,6.98373217994322e-05,"Inclusion"
"ENSMUSG00000021686_chr13_94680491_94680530","ENSMUSG00000021686","Ap3b1","chr13",94680491,94680530,39,"Small (30-50bp)",0.15,0,"Inclusion"
"ENSMUSG00000021548_chr13_85345469_85345680","ENSMUSG00000021548","Ccnh","chr13",85345469,85345680,211,"Regular (>50bp)",-0.285,4.13441358054042e-05,"Exclusion"
"ENSMUSG00000024726_chr19_18667593_18667734","ENSMUSG00000024726","Carnmt1","chr19",18667593,18667734,141,"Regular (>50bp)",0.219,0.00683387935973327,"Inclusion"
"ENSMUSG00000024726_chr19_18671012_18671126","ENSMUSG00000024726","Carnmt1","chr19",18671012,18671126,114,"Regular (>50bp)",-0.187,0.000450270231708783,"Exclusion"
"ENSMUSG00000033102_chr13_64353084_64353231","ENSMUSG00000033102","Cdc14b","chr13",64353084,64353231,147,"Regular (>50bp)",0.31,0.0309096415828087,"Inclusion"
"ENSMUSG00000033102_chr13_64373385_64373462","ENSMUSG00000033102","Cdc14b","chr13",64373385,64373462,77,"Regular (>50bp)",-0.179,0.000169215324324696,"Exclusion"
"ENSMUSG00000021461_chr13_63508009_63508074","ENSMUSG00000021461","Fancc","chr13",63508009,63508074,65,"Regular (>50bp)",-0.193,0.00334844557462196,"Exclusion"
"ENSMUSG00000021268_chr12_109515913_109515987","ENSMUSG00000021268","Meg3","chr12",109515913,109515987,74,"Regular (>50bp)",0.267,5.49785788679113e-07,"Inclusion"
"ENSMUSG00000021268_chr12_109515913_109516014","ENSMUSG00000021268","Meg3","chr12",109515913,109516014,101,"Regular (>50bp)",0.553,4.13673457622211e-08,"Inclusion"
"ENSMUSG00000021103_chr12_73217367_73217441","ENSMUSG00000021103","Mnat1","chr12",73217367,73217441,74,"Regular (>50bp)",0.657,2.35822195569196e-06,"Inclusion"
"ENSMUSG00000021103_chr12_73225978_73226082","ENSMUSG00000021103","Mnat1","chr12",73225978,73226082,104,"Regular (>50bp)",-0.315,1.90574496674557e-05,"Exclusion"
"ENSMUSG00000035597_chr12_65090316_65090385","ENSMUSG00000035597","Prpf39","chr12",65090316,65090385,69,"Regular (>50bp)",-0.126,0.000428683462664967,"Exclusion"
"ENSMUSG00000035954_chr12_40844595_40844622","ENSMUSG00000035954","Dock4","chr12",40844595,40844622,27,"Microexon (0-30bp)",0.164,0,"Inclusion"
"ENSMUSG00000020646_chr12_24974197_24974293","ENSMUSG00000020646","Mboat2","chr12",24974197,24974293,96,"Regular (>50bp)",-0.22,0.0205790201384674,"Exclusion"
"ENSMUSG00000045679_chr12_17043453_17043574","ENSMUSG00000045679","Pqlc3","chr12",17043453,17043574,121,"Regular (>50bp)",-0.136,0.000946648483951806,"Exclusion"
"ENSMUSG00000041654_chr11_113452831_113452950","ENSMUSG00000041654","Slc39a11","chr11",113452831,113452950,119,"Regular (>50bp)",0.224,0.0131015827208678,"Inclusion"
"ENSMUSG00000069631_chr11_106075387_106075445","ENSMUSG00000069631","Strada","chr11",106075387,106075445,58,"Regular (>50bp)",0.103,0.000602301753398828,"Inclusion"
"ENSMUSG00000018411_chr11_104196037_104196235","ENSMUSG00000018411","Mapt","chr11",104196037,104196235,198,"Regular (>50bp)",0.109,0,"Inclusion"
"ENSMUSG00000008855_chr11_102112593_102112677","ENSMUSG00000008855","Hdac5","chr11",102112593,102112677,84,"Regular (>50bp)",0.131,7.3015169289544e-05,"Inclusion"
"ENSMUSG00000003119_chr11_98140535_98140926","ENSMUSG00000003119","Cdk12","chr11",98140535,98140926,391,"Regular (>50bp)",0.185,0.0218351815697566,"Inclusion"
"ENSMUSG00000035133_chr12_52562889_52566750","ENSMUSG00000035133","Arhgap5","chr12",52562889,52566750,3861,"Regular (>50bp)",-0.101,0.00383304362850267,"Exclusion"
"ENSMUSG00000035133_chr12_52562889_52566750","ENSMUSG00000035133","Arhgap5","chr12",52562889,52566750,3861,"Regular (>50bp)",-0.171,0.0294509356085971,"Exclusion"
"ENSMUSG00000018537_chr11_97590031_97590126","ENSMUSG00000018537","Pcgf2","chr11",97590031,97590126,95,"Regular (>50bp)",-0.328,0.000699996299511696,"Exclusion"
"ENSMUSG00000022574_chr15_75763811_75763896","ENSMUSG00000022574","Naprt","chr15",75763811,75763896,85,"Regular (>50bp)",-0.293,0.000828688010449298,"Exclusion"
"ENSMUSG00000059439_chr11_85434753_85434798","ENSMUSG00000059439","Bcas3","chr11",85434753,85434798,45,"Small (30-50bp)",0.293,0.00387829859243398,"Inclusion"
"ENSMUSG00000029863_chr6_42253803_42253864","ENSMUSG00000029863","Casp2","chr6",42253803,42253864,61,"Regular (>50bp)",0.378,4.31696620727891e-05,"Inclusion"
"ENSMUSG00000029534_chr6_17850355_17850424","ENSMUSG00000029534","St7","chr6",17850355,17850424,69,"Regular (>50bp)",0.107,0.00997582977773716,"Inclusion"
"ENSMUSG00000004631_chr6_4711307_4711380","ENSMUSG00000004631","Sgce","chr6",4711307,4711380,73,"Regular (>50bp)",-0.315,0.00242929849777765,"Exclusion"
"ENSMUSG00000022992_chr15_98429203_98429318","ENSMUSG00000022992","Kansl2","chr15",98429203,98429318,115,"Regular (>50bp)",-0.107,0.000307856986827618,"Exclusion"
"ENSMUSG00000038780_chr5_144830889_144830967","ENSMUSG00000038780","Smurf1","chr5",144830889,144830967,78,"Regular (>50bp)",0.11,4.43877997109333e-08,"Inclusion"
"ENSMUSG00000026946_chr2_51862599_51862639","ENSMUSG00000026946","Nmi","chr2",51862599,51862639,40,"Small (30-50bp)",0.198,0.0123671811189928,"Inclusion"
"ENSMUSG00000038775_chr9_118898950_118899136","ENSMUSG00000038775","Vill","chr9",118898950,118899136,186,"Regular (>50bp)",0.141,0.0392330035078151,"Inclusion"
"ENSMUSG00000039860_chr5_135895980_135896000","ENSMUSG00000039860","Srrm3","chr5",135895980,135896000,20,"Microexon (0-30bp)",0.114,0.00026876094254613,"Inclusion"
"ENSMUSG00000030172_chr6_119595806_119595873","ENSMUSG00000030172","Erc1","chr6",119595806,119595873,67,"Regular (>50bp)",0.128,2.15437648629046e-05,"Inclusion"
"ENSMUSG00000030172_chr6_119711041_119711053","ENSMUSG00000030172","Erc1","chr6",119711041,119711053,12,"Microexon (0-30bp)",0.163,2.75166287953894e-05,"Inclusion"
"ENSMUSG00000029422_chr5_123884834_123884933","ENSMUSG00000029422","Rsrc2","chr5",123884834,123884933,99,"Regular (>50bp)",-0.133,8.59740106300302e-05,"Exclusion"
"ENSMUSG00000067367_chr5_38380477_38380571","ENSMUSG00000067367","Lyar","chr5",38380477,38380571,94,"Regular (>50bp)",-0.171,3.84837220484821e-10,"Exclusion"
"ENSMUSG00000067367_chr5_38380477_38380575","ENSMUSG00000067367","Lyar","chr5",38380477,38380575,98,"Regular (>50bp)",-0.171,7.45315473720614e-10,"Exclusion"
"ENSMUSG00000039844_chr2_29609604_29609862","ENSMUSG00000039844","Rapgef1","chr2",29609604,29609862,258,"Regular (>50bp)",0.162,0.000387121321798303,"Inclusion"
"ENSMUSG00000039844_chr2_29609604_29609862","ENSMUSG00000039844","Rapgef1","chr2",29609604,29609862,258,"Regular (>50bp)",0.128,0.0424017922163595,"Inclusion"
"ENSMUSG00000035284_chr9_67773461_67773524","ENSMUSG00000035284","Vps13c","chr9",67773461,67773524,63,"Regular (>50bp)",0.127,0.0227523019080206,"Inclusion"
"ENSMUSG00000035284_chr9_67778134_67778200","ENSMUSG00000035284","Vps13c","chr9",67778134,67778200,66,"Regular (>50bp)",0.263,1.1670452762237e-05,"Inclusion"
"ENSMUSG00000078498_chr4_147413438_147413565","ENSMUSG00000078498","Zfp988","chr4",147413438,147413565,127,"Regular (>50bp)",0.29,0.000135770989700572,"Inclusion"
"ENSMUSG00000021432_chr13_39128475_39128630","ENSMUSG00000021432","Slc35b3","chr13",39128475,39128630,155,"Regular (>50bp)",-0.124,0.00343920122050433,"Exclusion"
"ENSMUSG00000048078_chr7_96378555_96378732","ENSMUSG00000048078","Tenm4","chr7",96378555,96378732,177,"Regular (>50bp)",0.193,0.0109442627828499,"Inclusion"
"ENSMUSG00000048078_chr7_96454311_96454338","ENSMUSG00000048078","Tenm4","chr7",96454311,96454338,27,"Microexon (0-30bp)",0.102,6.02621193284705e-06,"Inclusion"
"ENSMUSG00000037426_chr5_33021353_33021656","ENSMUSG00000037426","Depdc5","chr5",33021353,33021656,303,"Regular (>50bp)",0.13,7.71814477123387e-06,"Inclusion"
"ENSMUSG00000037426_chr5_33021501_33021656","ENSMUSG00000037426","Depdc5","chr5",33021501,33021656,155,"Regular (>50bp)",0.134,1.13455362352412e-05,"Inclusion"
"ENSMUSG00000030281_chr6_113451513_113451558","ENSMUSG00000030281","Il17rc","chr6",113451513,113451558,45,"Small (30-50bp)",0.114,0.000203557484841374,"Inclusion"
"ENSMUSG00000062604_chr5_23829050_23829124","ENSMUSG00000062604","Srpk2","chr5",23829050,23829124,74,"Regular (>50bp)",0.122,0.000564037152780279,"Inclusion"
"ENSMUSG00000062604_chr5_23834329_23834475","ENSMUSG00000062604","Srpk2","chr5",23834329,23834475,146,"Regular (>50bp)",-0.221,0.0395638626112205,"Exclusion"
"ENSMUSG00000066442_chr9_89096464_89096534","ENSMUSG00000066442","Mthfs","chr9",89096464,89096534,70,"Regular (>50bp)",0.101,0.00391174895594848,"Inclusion"
"ENSMUSG00000045349_chr4_137980922_137981000","ENSMUSG00000045349","Sh2d5","chr4",137980922,137981000,78,"Regular (>50bp)",0.258,0.0165568200991455,"Inclusion"
"ENSMUSG00000045349_chr4_137981141_137981269","ENSMUSG00000045349","Sh2d5","chr4",137981141,137981269,128,"Regular (>50bp)",0.142,6.17558934727634e-05,"Inclusion"
"ENSMUSG00000024293_chr18_10593745_10595875","ENSMUSG00000024293","Esco1","chr18",10593745,10595875,2130,"Regular (>50bp)",-0.102,5.36401155092723e-06,"Exclusion"
"ENSMUSG00000024293_chr18_10595675_10595875","ENSMUSG00000024293","Esco1","chr18",10595675,10595875,200,"Regular (>50bp)",-0.129,6.10806624409645e-06,"Exclusion"
"ENSMUSG00000028886_chr4_132384888_132384927","ENSMUSG00000028886","Eya3","chr4",132384888,132384927,39,"Small (30-50bp)",0.204,1.83302648422216e-13,"Inclusion"
"ENSMUSG00000026527_chr1_174903582_174903663","ENSMUSG00000026527","Rgs7","chr1",174903582,174903663,81,"Regular (>50bp)",-0.187,0.00596161908602796,"Exclusion"
"ENSMUSG00000055923_chr5_77052055_77052227","ENSMUSG00000055923","Aasdh","chr5",77052055,77052227,172,"Regular (>50bp)",0.126,0.000104640322013653,"Inclusion"
