"event_id","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR","direction"
"ENSMUSG00000041115_chrX_150963992_150964088","ENSMUSG00000041115","Iqsec2","chrX",150963992,150964088,96,"Regular (>50bp)",0.183,0.0212813891506949,"Inclusion"
"ENSMUSG00000087368_chrX_135657242_135657369","ENSMUSG00000087368","BC065397","chrX",135657242,135657369,127,"Regular (>50bp)",-0.16,0.0369270091883456,"Exclusion"
"ENSMUSG00000043384_chrX_134644190_134644271","ENSMUSG00000043384","Gprasp1","chrX",134644190,134644271,81,"Regular (>50bp)",-0.131,0.00126677701305995,"Exclusion"
"ENSMUSG00000097571_chrX_102540043_102540136","ENSMUSG00000097571","Jpx","chrX",102540043,102540136,93,"Regular (>50bp)",-0.159,0.0126534606016359,"Exclusion"
"ENSMUSG00000033417_chr19_60525851_60525941","ENSMUSG00000033417","Cacul1","chr19",60525851,60525941,90,"Regular (>50bp)",0.104,0.00235048316135479,"Inclusion"
"ENSMUSG00000025019_chr19_41516459_41516525","ENSMUSG00000025019","Lcor","chr19",41516459,41516525,66,"Regular (>50bp)",0.174,0.0163789099207314,"Inclusion"
"ENSMUSG00000025019_chr19_41544046_41544140","ENSMUSG00000025019","Lcor","chr19",41544046,41544140,94,"Regular (>50bp)",0.338,0.00734535077235633,"Inclusion"
"ENSMUSG00000024989_chr19_38045857_38045990","ENSMUSG00000024989","Cep55","chr19",38045857,38045990,133,"Regular (>50bp)",-0.137,0.000323740201018749,"Exclusion"
"ENSMUSG00000024660_chr19_9860555_9860567","ENSMUSG00000024660","Incenp","chr19",9860555,9860567,12,"Microexon (0-30bp)",-0.139,0.000413627253948577,"Exclusion"
"ENSMUSG00000024960_chr19_6946752_6946881","ENSMUSG00000024960","Plcb3","chr19",6946752,6946881,129,"Regular (>50bp)",-0.159,0.00306979510272974,"Exclusion"
"ENSMUSG00000024906_chr19_5533662_5533693","ENSMUSG00000024906","Mus81","chr19",5533662,5533693,31,"Small (30-50bp)",-0.193,0.0366299032879542,"Exclusion"
"ENSMUSG00000032735_chr18_61949992_61950040","ENSMUSG00000032735","Ablim3","chr18",61949992,61950040,48,"Small (30-50bp)",0.303,0.0469980524496196,"Inclusion"
"ENSMUSG00000118120_chr18_54938665_54938757","ENSMUSG00000118120","Gm33732","chr18",54938665,54938757,92,"Regular (>50bp)",0.162,0.038780171689428,"Inclusion"
"ENSMUSG00000024317_chr18_21157465_21157573","ENSMUSG00000024317","Rnf138","chr18",21157465,21157573,108,"Regular (>50bp)",0.151,0.000103674927235335,"Inclusion"
"ENSMUSG00000044646_chr18_76033618_76033832","ENSMUSG00000044646","Zbtb7c","chr18",76033618,76033832,214,"Regular (>50bp)",-0.155,0.0106849664433559,"Exclusion"
"ENSMUSG00000049411_chr18_12237155_12237237","ENSMUSG00000049411","Tmem241","chr18",12237155,12237237,82,"Regular (>50bp)",-0.13,0.000401409240402862,"Exclusion"
"ENSMUSG00000023952_chr17_46474222_46474334","ENSMUSG00000023952","Gtpbp2","chr17",46474222,46474334,112,"Regular (>50bp)",-0.109,0.000364498301026655,"Exclusion"
"ENSMUSG00000002625_chr17_32554084_32554144","ENSMUSG00000002625","Akap8l","chr17",32554084,32554144,60,"Regular (>50bp)",-0.107,6.41047855347639e-08,"Exclusion"
"ENSMUSG00000097125_chr17_29682363_29682630","ENSMUSG00000097125","Gm26885","chr17",29682363,29682630,267,"Regular (>50bp)",-0.146,0.00559316486966452,"Exclusion"
"ENSMUSG00000064147_chr17_29354159_29354306","ENSMUSG00000064147","Rab44","chr17",29354159,29354306,147,"Regular (>50bp)",-0.136,0.0437471131733604,"Exclusion"
"ENSMUSG00000024188_chr17_26472947_26473018","ENSMUSG00000024188","Luc7l","chr17",26472947,26473018,71,"Regular (>50bp)",-0.122,9.54744092000561e-05,"Exclusion"
"ENSMUSG00000037326_chr17_26192064_26192353","ENSMUSG00000037326","Capn15","chr17",26192064,26192353,289,"Regular (>50bp)",0.117,0.0120457815594727,"Inclusion"
"ENSMUSG00000052752_chr17_24733686_24733840","ENSMUSG00000052752","Traf7","chr17",24733686,24733840,154,"Regular (>50bp)",-0.108,5.07438655286525e-06,"Exclusion"
"ENSMUSG00000024130_chr17_24576892_24576965","ENSMUSG00000024130","Abca3","chr17",24576892,24576965,73,"Regular (>50bp)",0.118,0.0121575062353665,"Inclusion"
"ENSMUSG00000014426_chr17_12461536_12461692","ENSMUSG00000014426","Map3k4","chr17",12461536,12461692,156,"Regular (>50bp)",-0.111,4.8343902323858e-05,"Exclusion"
"ENSMUSG00000022708_chr16_42827380_42827449","ENSMUSG00000022708","Zbtb20","chr16",42827380,42827449,69,"Regular (>50bp)",-0.215,1.62719891778432e-05,"Exclusion"
