"event_key","gene_symbol","chr","exon_start","exon_end","exon_length","size_category","r_srrm3","p_srrm3","r_srrm4","p_srrm4","srrm3_class"
"chrJH584304.1:-:53535:54479:52367:54720","ENSMUSG00000095041","chrJH584304.1",53535,54479,944,"regular (>50bp)",-0.167385289628486,0.603080699169951,0.349348228305864,0.265680320467127,"weak"
"chrJH584304.1:-:53535:54479:52367:55111","ENSMUSG00000095041","chrJH584304.1",53535,54479,944,"regular (>50bp)",-0.0244565051408157,0.93986204147977,0.476070551004305,0.117694611745156,"weak"
"chrJH584304.1:-:54720:54867:52367:55111","ENSMUSG00000095041","chrJH584304.1",54720,54867,147,"regular (>50bp)",-0.0696259957938431,0.829757480091536,0.44056821977198,0.1517259221508,"weak"
"chrJH584304.1:-:54720:54867:54479:55111","ENSMUSG00000095041","chrJH584304.1",54720,54867,147,"regular (>50bp)",0.0107070482829436,0.973654650571729,0.305630883452749,0.334006702104631,"weak"
"chrJH584304.1:-:56985:57151:55701:58563","ENSMUSG00000095041","chrJH584304.1",56985,57151,166,"regular (>50bp)",0.137549963367749,0.669893305857041,0.0928606665213601,0.774082847479216,"weak"
"chrJH584304.1:-:56985:57151:55701:59591","ENSMUSG00000095041","chrJH584304.1",56985,57151,166,"regular (>50bp)",-0.321351603185348,0.308429541498891,0.245875884246811,0.44111041527067,"weak"
"chrJH584304.1:-:58563:58835:55701:59591","ENSMUSG00000095041","chrJH584304.1",58563,58835,272,"regular (>50bp)",-0.269867739820816,0.396279814008498,0.299972530010719,0.343484930728848,"weak"
"chrJH584304.1:-:58563:58835:57151:59591","ENSMUSG00000095041","chrJH584304.1",58563,58835,272,"regular (>50bp)",0.0144565266241691,0.964433303242017,0.234839175126136,0.462517269423704,"weak"
"chrX:-:167453215:167453307:167452611:167454138","Msl3","chrX",167453215,167453307,92,"regular (>50bp)",0.285845816712543,0.367767843959432,0.619208137665265,0.0317889376807627,"weak"
"chrX:-:167455258:167455341:167454886:167456723","Msl3","chrX",167455258,167455341,83,"regular (>50bp)",-0.128280197904138,0.691135236998434,0.180550388238765,0.574431248657421,"weak"
"chrX:-:166133510:166133670:166131994:166135131","Prps2","chrX",166133510,166133670,160,"regular (>50bp)",0.323953488674484,0.304304602485608,0.226808071632851,0.478393826052988,"weak"
"chrX:-:166135131:166135305:166133670:166146540","Prps2","chrX",166135131,166135305,174,"regular (>50bp)",-0.281105794748657,0.376111443259206,-0.437452557442299,0.154982239424203,"weak"
"chrX:-:166146540:166146665:166135305:166148114","Prps2","chrX",166146540,166146665,125,"regular (>50bp)",-0.190374843969963,0.553413158817988,-0.534264805609391,0.0735532313573832,"weak"
"chrX:+:165136560:165136680:165128077:165150023","Gpm6b","chrX",165136560,165136680,120,"regular (>50bp)",-0.523061549804696,0.0809842953795446,-0.623951189962489,0.0301338375811039,"moderate"
"chrX:+:165136560:165136680:165128077:165155633","Gpm6b","chrX",165136560,165136680,120,"regular (>50bp)",0.109794627573101,0.734098363113708,-0.296876989858359,0.348730595879637,"weak"
"chrX:+:165150023:165150170:165128077:165155633","Gpm6b","chrX",165150023,165150170,147,"regular (>50bp)",0.426542896576107,0.16673363434892,0.564053770191048,0.0560980168047419,"moderate"
"chrX:+:165150023:165150170:165136680:165155633","Gpm6b","chrX",165150023,165150170,147,"regular (>50bp)",0.335379790876573,0.286557190830706,0.569235963006556,0.0533885570998537,"weak"
"chrX:+:165162983:165163155:165158785:165165444","Gpm6b","chrX",165162983,165163155,172,"regular (>50bp)",0.459444919144619,0.13293403525085,0.135870755598987,0.673725345913043,"moderate"
"chrX:+:165168386:165168477:165166996:165169947","Gpm6b","chrX",165168386,165168477,91,"regular (>50bp)",0.465457470744488,0.12728257419448,0.274532089787347,0.387843362766359,"moderate"
"chrX:+:164959840:164960075:164953546:164961529","Gemin8","chrX",164959840,164960075,235,"regular (>50bp)",-0.126448141789825,0.695358304139443,0.306256474686218,0.332967576944232,"weak"
"chrX:+:164959840:164960075:164953546:164961787","Gemin8","chrX",164959840,164960075,235,"regular (>50bp)",0.207115935775898,0.518350688591434,-0.219856568455204,0.492334796192658,"weak"
"chrX:+:164961529:164961638:164953546:164961787","Gemin8","chrX",164961529,164961638,109,"regular (>50bp)",0.169253509140368,0.598982427947112,-0.00391008967413214,0.990377709844907,"weak"
"chrX:+:164961529:164961638:164960075:164961787","Gemin8","chrX",164961529,164961638,109,"regular (>50bp)",-0.474513786973767,0.119070255703443,0.17401749927908,0.588580240632217,"moderate"
"chrX:+:164963348:164963805:164961826:164972239","Gemin8","chrX",164963348,164963805,457,"regular (>50bp)",0.351430829446875,0.262645347094541,0.149361074453334,0.64314784392715,"weak"
