ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867	0	23058,22752,22325	1,0,0	16638,22837,19968	3,0,4	1093	149	1	1.0	1.0,1.0,1.0	0.999,1.0,0.999	0.001
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	55111	55701	1	20937,20542,20111	0,0,0	15060,20677,17916	4,0,5	1093	149	1	1.0	1.0,1.0,1.0	0.998,1.0,0.998	0.001
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	52189	52367	55111	55701	2	4172,4483,4486	0,0,0	3095,4419,3479	4,0,5	296	149	1	1.0	1.0,1.0,1.0	0.997,1.0,0.997	0.002
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701	3	6299,6697,6711	7,4,11	4679,6603,5533	9,24,6	296	149	1	1.0	0.998,0.999,0.997	0.996,0.993,0.998	0.002
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835	4	7353,7574,7625	751,753,855	4955,8148,6428	546,643,579	315	149	0.150941369557	1.0	0.822,0.826,0.808	0.811,0.857,0.84	-0.017
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667	5	3917,4194,4254	656,759,848	2764,4352,3407	855,1016,938	315	149	6.39468914843e-06	0.0003914567095749137	0.739,0.723,0.704	0.605,0.67,0.632	0.086
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667	6	6705,6801,7178	656,759,848	4430,6978,6131	855,1016,938	421	149	4.58705721429e-06	0.00029310026535055996	0.783,0.76,0.75	0.647,0.709,0.698	0.08
7	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667	7	9560,9596,9854	162,168,160	6234,10251,8699	159,120,126	421	149	0.792221615801	1.0	0.954,0.953,0.956	0.933,0.968,0.961	0.0
168	"ENSMUSG00000031358"	"Msl3"	chrX	-	167439958	167440043	167437112	167437964	167441610	167441710	168	328,343,367	0,0,1	472,605,419	0,0,0	234	149	1	1.0	1.0,1.0,0.996	1.0,1.0,1.0	-0.001
169	"ENSMUSG00000031358"	"Msl3"	chrX	-	167449938	167450097	167447038	167447301	167451626	167451787	169	801,755,832	0,0,0	1372,1464,985	0,5,0	308	149	1	1.0	1.0,1.0,1.0	1.0,0.993,1.0	0.002
170	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167453215	167453307	170	1059,1091,1056	0,0,1	1959,1998,1456	1,0,0	275	149	1	1.0	1.0,1.0,0.998	0.999,1.0,1.0	-0.0
171	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167454138	167454239	171	364,351,360	3,0,0	659,708,524	0,0,0	275	149	1	1.0	0.985,1.0,1.0	1.0,1.0,1.0	-0.005
172	"ENSMUSG00000031358"	"Msl3"	chrX	-	167453215	167453307	167451626	167451787	167454138	167454239	172	309,335,297	3,0,0	601,540,465	0,0,0	241	149	1	1.0	0.985,1.0,1.0	1.0,1.0,1.0	-0.005
173	"ENSMUSG00000031358"	"Msl3"	chrX	-	167453215	167453307	167452485	167452611	167454138	167454239	173	957,1020,933	0,2,1	1793,1741,1346	1,5,4	241	149	1	1.0	1.0,0.997,0.998	0.999,0.995,0.995	0.002
174	"ENSMUSG00000031358"	"Msl3"	chrX	-	167455258	167455341	167454790	167454886	167456723	167456894	174	211,187,160	259,316,269	290,277,267	601,558,469	232	149	0.0201636684045	0.24053518736676469	0.343,0.275,0.276	0.237,0.242,0.268	0.049
176	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166129317	166131994	166135131	166135305	176	493,508,565	0,1,1	638,656,458	0,2,0	309	149	1	1.0	1.0,0.996,0.996	1.0,0.994,1.0	-0.001
177	"ENSMUSG00000025742"	"Prps2"	chrX	-	166146540	166146665	166135131	166135305	166148114	166148213	177	535,629,677	2,0,2	744,632,533	3,0,0	274	149	1	1.0	0.993,1.0,0.995	0.993,1.0,1.0	-0.002
182	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165127687	165128077	165150023	165150170	182	152,160,194	2,4,2	202,292,212	0,12,7	269	149	0.119980694592	0.8783728223335502	0.977,0.957,0.982	1.0,0.931,0.944	0.014
183	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165127687	165128077	165155633	165155820	183	264,281,307	529,510,567	334,454,368	653,700,610	269	149	0.310537337132	1.0	0.217,0.234,0.231	0.221,0.264,0.25	-0.018
184	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165150023	165150170	165127687	165128077	165155633	165155820	184	5,7,4	529,510,567	0,23,7	653,700,610	296	149	0.795127225164	1.0	0.005,0.007,0.004	0.0,0.016,0.006	-0.002
185	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165150023	165150170	165136560	165136680	165155633	165155820	185	3,3,3	112,121,114	0,13,0	132,164,156	296	149	0.694660737024	1.0	0.013,0.012,0.013	0.0,0.038,0.0	0.0
186	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165155633	165155820	165127687	165128077	165158628	165158785	186	1248,1155,1287	1,0,0	1391,1553,1490	0,0,0	336	149	1	1.0	0.998,1.0,1.0	1.0,1.0,1.0	-0.001
187	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165162983	165163155	165158628	165158785	165165444	165165518	187	938,1162,1035	4,0,0	1214,1362,1128	0,0,0	321	149	1	1.0	0.991,1.0,1.0	1.0,1.0,1.0	-0.003
188	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165165444	165165518	165158628	165158785	165169947	165171984	188	0,1,0	0,0,0	0,0,0	0,2,0	223	149	1	1.0	NA,1.0,NA	NA,0.0,NA	1.0
189	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165166930	165166996	165165444	165165518	165169947	165171984	189	573,681,559	0,1,0	745,818,646	0,0,0	215	149	1	1.0	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
190	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165168477	165166930	165166996	165169947	165171984	190	17,20,32	318,371,314	32,47,32	368,448,323	240	149	0.0450145502665	0.4339279134249368	0.032,0.032,0.06	0.051,0.061,0.058	-0.015
191	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164959840	164960075	164953449	164953546	164961529	164961638	191	369,360,309	0,0,0	517,590,495	0,8,5	384	149	0.199184816652	1.0	1.0,1.0,1.0	1.0,0.966,0.975	0.02
192	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164959840	164960075	164953449	164953546	164961787	164961826	192	386,373,314	11,22,21	568,638,515	20,37,12	384	149	0.277447290424	1.0	0.932,0.868,0.853	0.917,0.87,0.943	-0.026
193	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164961529	164961638	164953490	164953546	164961787	164961826	193	78,54,58	11,22,21	55,73,78	20,37,12	258	149	0.713664278829	1.0	0.804,0.586,0.615	0.614,0.533,0.79	0.023
194	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164961529	164961638	164959840	164960075	164961787	164961826	194	180,140,150	126,110,109	158,184,194	254,311,217	258	149	1.03373349103e-07	1.0674867059767304e-05	0.452,0.424,0.443	0.264,0.255,0.341	0.153
195	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963348	164963805	164961418	164961826	164972239	164972338	195	998,975,958	8,0,1	1400,1774,1348	0,0,1	606	149	0.866682306548	1.0	0.968,1.0,0.996	1.0,1.0,0.997	-0.011
196	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963441	164963805	164961787	164961826	164972239	164972816	196	505,581,573	8,0,1	760,954,765	0,0,1	513	149	0.76326021804	1.0	0.948,1.0,0.994	1.0,1.0,0.996	-0.018
203	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163205579	163206359	163211806	163212013	203	38,53,36	0,0,3	21,29,23	0,0,0	282	149	0.814272916296	1.0	1.0,1.0,0.864	1.0,1.0,1.0	-0.045
204	"ENSMUSG00000031381"	"Piga"	chrX	+	163211535	163211668	163208505	163211060	163211806	163212013	204	172,206,227	0,2,0	163,195,157	0,0,0	282	149	1	1.0	1.0,0.982,1.0	1.0,1.0,1.0	-0.006
205	"ENSMUSG00000031380"	"Vegfd"	chrX	+	163168799	163169025	163156373	163156915	163174597	163174788	205	41,44,38	0,0,2	36,26,34	0,0,0	375	149	1	1.0	1.0,1.0,0.883	1.0,1.0,1.0	-0.039
206	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163052366	163052471	163063124	163063217	206	374,451,395	0,2,0	618,674,576	0,0,0	278	149	1	1.0	1.0,0.992,1.0	1.0,1.0,1.0	-0.003
207	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163052426	163052673	163063124	163063217	207	777,921,879	11,26,22	1255,1263,1241	25,34,19	278	149	0.684441837642	1.0	0.974,0.95,0.955	0.964,0.952,0.972	-0.003
208	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163054598	163054727	163083219	163083426	208	171,189,144	0,1,0	266,254,240	0,0,0	242	149	1	1.0	1.0,0.991,1.0	1.0,1.0,1.0	-0.003
209	"ENSMUSG00000031379"	"Pir"	chrX	+	163078910	163078994	163063124	163063217	163083219	163083426	209	918,969,964	5,7,0	1340,1273,1134	1,6,0	233	149	1	1.0	0.992,0.989,1.0	0.999,0.993,1.0	-0.004
210	"ENSMUSG00000031379"	"Pir"	chrX	+	163083219	163083426	163063124	163063217	163113010	163113095	210	496,562,534	0,0,0	756,690,651	1,0,2	356	149	1	1.0	1.0,1.0,1.0	0.997,1.0,0.993	0.003
211	"ENSMUSG00000031379"	"Pir"	chrX	+	163090199	163090317	163083219	163083426	163113010	163113095	211	9,2,0	424,479,456	2,0,3	633,540,548	267	149	1	1.0	0.012,0.002,0.0	0.002,0.0,0.003	0.003
212	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163083219	163083426	163125469	163125514	212	637,700,716	2,1,0	977,826,819	0,0,0	234	149	1	1.0	0.995,0.998,1.0	1.0,1.0,1.0	-0.002
213	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163083219	163083426	163141143	163141226	213	371,424,382	0,5,0	522,487,434	0,4,0	234	149	1	1.0	1.0,0.982,1.0	1.0,0.987,1.0	-0.002
214	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163083219	163083426	163141143	163141226	214	79,89,98	0,5,0	102,70,108	0,4,0	194	149	0.796535100711	1.0	1.0,0.932,1.0	1.0,0.931,1.0	0.0
215	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163113010	163113095	163141143	163141226	215	360,377,442	18,13,10	575,419,499	22,10,9	194	149	0.33187677252	1.0	0.939,0.957,0.971	0.953,0.97,0.977	-0.011
216	"ENSMUSG00000031379"	"Pir"	chrX	+	163141143	163141226	163125469	163125514	163152041	163152108	216	401,431,513	2,0,0	616,535,569	0,0,0	232	149	1	1.0	0.992,1.0,1.0	1.0,1.0,1.0	-0.003
218	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162718438	162719961	162723114	162723170	218	194,196,209	1,2,0	244,301,228	5,0,2	259	149	0.672019150351	1.0	0.991,0.983,1.0	0.966,1.0,0.985	0.008
