ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867	0	2342,2482,2475	1,0,0	1691,2449,2260	3,0,4	298	149	1	1.0	0.999,1.0,1.0	0.996,1.0,0.996	0.002
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	55111	55701	1	221,272,261	0,0,0	113,289,208	4,0,5	298	149	0.1576308422	1.0	1.0,1.0,1.0	0.934,1.0,0.954	0.037
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	52189	52367	55111	55701	2	4172,4483,4486	0,0,0	3095,4419,3479	4,0,5	296	149	1	1.0	1.0,1.0,1.0	0.997,1.0,0.997	0.002
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701	3	6299,6697,6711	7,4,11	4679,6603,5533	9,24,6	296	149	1	1.0	0.998,0.999,0.997	0.996,0.993,0.998	0.002
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835	4	6899,7070,7073	751,753,855	4683,7590,6045	546,643,579	298	149	0.131909852826	0.9356344030046556	0.821,0.824,0.805	0.811,0.855,0.839	-0.018
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667	5	3463,3690,3702	656,759,848	2492,3794,3024	855,1016,938	298	149	1.12129438632e-05	0.0006387217722498785	0.725,0.709,0.686	0.593,0.651,0.617	0.086
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667	6	5788,5859,6237	656,759,848	3807,5949,5336	855,1016,938	298	149	3.69558830848e-06	0.00024617657573079276	0.815,0.794,0.786	0.69,0.745,0.74	0.073
7	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667	7	8643,8654,8913	162,168,160	5611,9222,7904	159,120,126	298	149	0.759678167171	1.0	0.964,0.963,0.965	0.946,0.975,0.969	0.001
168	"ENSMUSG00000031358"	"Msl3"	chrX	-	167439958	167440043	167437112	167437964	167441610	167441710	168	328,343,367	0,0,1	472,605,419	0,0,0	234	149	1	1.0	1.0,1.0,0.996	1.0,1.0,1.0	-0.001
169	"ENSMUSG00000031358"	"Msl3"	chrX	-	167449938	167450097	167447038	167447301	167451626	167451787	169	771,744,822	0,0,0	1346,1438,958	0,5,0	298	149	1	1.0	1.0,1.0,1.0	1.0,0.993,1.0	0.002
170	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167453215	167453307	170	1059,1091,1056	0,0,1	1959,1998,1456	1,0,0	275	149	1	1.0	1.0,1.0,0.998	0.999,1.0,1.0	-0.0
171	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167454138	167454239	171	364,351,360	3,0,0	659,708,524	0,0,0	275	149	1	1.0	0.985,1.0,1.0	1.0,1.0,1.0	-0.005
