ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205699	163205579	163205660	163210927	163211060	5	19,28,25	1,2,9	7,22,27	1,5,5	188	149	0.776144112719	1.0	0.938,0.917,0.688	0.847,0.777,0.811	0.036
6	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205660	163210927	163211060	6	226,312,299	1,2,9	205,341,267	1,5,5	298	149	0.731313130903	1.0	0.991,0.987,0.943	0.99,0.972,0.964	-0.002
7	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205660	163210927	163211060	7	241,341,316	1,2,9	190,321,270	1,5,5	298	149	0.750287602843	1.0	0.992,0.988,0.946	0.99,0.97,0.964	0.001
8	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205660	163210927	163211060	8	200,273,275	1,2,9	169,291,242	1,5,5	298	149	0.668374936076	1.0	0.99,0.986,0.939	0.988,0.967,0.96	0.0
9	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205699	163210927	163211060	9	264,318,314	0,0,2	233,393,281	0,0,0	298	149	1	1.0	1.0,1.0,0.987	1.0,1.0,1.0	-0.004
10	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205699	163210927	163211060	10	279,347,331	0,0,2	218,373,284	0,0,0	298	149	1	1.0	1.0,1.0,0.988	1.0,1.0,1.0	-0.004
11	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205699	163210927	163211060	11	238,279,290	0,0,2	197,343,256	0,0,0	298	149	1	1.0	1.0,1.0,0.986	1.0,1.0,1.0	-0.005
12	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205982	163210927	163211060	12	165,198,215	26,39,26	118,169,121	36,52,25	298	149	0.00230433515452	0.030160773836983547	0.76,0.717,0.805	0.621,0.619,0.708	0.111
13	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205982	163210927	163211060	13	124,130,174	26,39,26	97,139,93	36,52,25	298	149	0.0194630275501	0.13824286089195756	0.705,0.625,0.77	0.574,0.572,0.65	0.101
14	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163206359	163210927	163211060	14	18,16,19	41,68,43	26,28,11	21,32,28	298	149	0.00552714644325	0.05695592811044286	0.18,0.105,0.181	0.382,0.304,0.164	-0.128
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369950	159369774	159369945	159371960	159372014	15	16,9,18	123,118,92	13,19,14	107,208,130	154	149	0.384206556263	0.9758485771750376	0.112,0.069,0.159	0.105,0.081,0.094	0.02
16	"ENSMUSG00000025283"	"Sat1"	chrX	-	153998115	153998680	153998596	153998680	153997028	153997130	16	72,85,80	744,687,668	72,100,49	897,839,861	298	149	0.0239173406886	0.16040431379172645	0.046,0.058,0.056	0.039,0.056,0.028	0.012
19	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150076805	150077037	150076805	150076896	150077417	150077548	19	12,6,4	3,10,24	12,6,26	29,11,27	290	149	0.983561933597	1.0	0.673,0.236,0.079	0.175,0.219,0.331	0.088
20	"ENSMUSG00000031433"	"Rbm41"	chrX	-	138895860	138895977	138895921	138895977	138894660	138894853	20	136,166,148	1,1,3	126,281,210	0,0,0	210	149	1	1.0	0.99,0.992,0.972	1.0,1.0,1.0	-0.015
30	"ENSMUSG00000025597"	"Klhl4"	chrX	+	113452698	113452885	113452698	113452867	113459049	113459274	30	12,5,2	12,29,33	0,3,0	2,3,8	167	149	0.0644331795339	0.31498509151662557	0.472,0.133,0.051	0.0,0.472,0.0	0.061
31	"ENSMUSG00000025592"	"Dach2"	chrX	+	112724539	112724718	112724539	112724688	112724813	112724961	31	3,0,0	5,0,2	5,4,8	36,63,16	179	149	1	1.0	0.333,NA,0.0	0.104,0.05,0.294	0.017
34	"ENSMUSG00000097571"	"Jpx"	chrX	+	102546465	102546798	102546465	102546536	102561916	102561963	34	13,9,5	1,2,0	33,44,15	1,0,2	298	149	0.794812401833	1.0	0.867,0.692,1.0	0.943,1.0,0.789	-0.058
36	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100124313	100124477	100123305	100123414	36	326,302,345	0,0,1	535,689,577	0,5,0	298	149	1	1.0	1.0,1.0,0.994	1.0,0.986,1.0	0.003
38	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73352681	73352781	38	2869,3229,3357	0,0,0	2412,2983,2757	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
39	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353995	73354140	39	3034,3320,3065	0,0,2	2892,3674,2895	0,0,0	298	149	1	1.0	1.0,1.0,0.999	1.0,1.0,1.0	-0.0
40	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73354243	73354298	40	146,191,168	2,0,3	113,163,149	0,0,0	298	149	0.558243595303	1.0	0.973,1.0,0.966	1.0,1.0,1.0	-0.02
41	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344929	73344970	73344929	73344964	73345541	73345627	41	1120,1037,1161	25,52,19	1187,1201,911	26,17,47	155	149	0.778227894129	1.0	0.977,0.95,0.983	0.978,0.985,0.949	-0.001
42	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332710	73332788	42	234,336,357	67,93,115	144,282,303	67,64,38	298	149	0.371974462325	0.9544894108355335	0.636,0.644,0.608	0.518,0.688,0.799	-0.039
43	"ENSMUSG00000031387"	"Renbp"	chrX	-	72973792	72973868	72973834	72973868	72973286	72973459	43	81,133,130	1,0,5	96,143,107	0,7,0	191	149	0.767358709306	1.0	0.984,1.0,0.953	1.0,0.941,1.0	-0.001
44	"ENSMUSG00000031387"	"Renbp"	chrX	-	72973792	72973868	72973834	72973868	72973610	72973686	44	523,642,582	68,61,45	501,728,574	49,79,59	191	149	0.786451582795	1.0	0.857,0.891,0.91	0.889,0.878,0.884	0.002
45	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72834259	72834432	45	1605,1425,1591	6,2,3	1824,2081,1566	0,12,2	298	149	1	1.0	0.993,0.997,0.996	1.0,0.989,0.997	0.0
46	"ENSMUSG00000019558"	"Slc6a8"	chrX	+	72723524	72723662	72723524	72723653	72723737	72723840	46	126,165,129	1,2,0	231,266,186	0,0,1	158	149	1	1.0	0.992,0.987,1.0	1.0,1.0,0.994	-0.005
47	"ENSMUSG00000019558"	"Slc6a8"	chrX	+	72723524	72723677	72723524	72723653	72723737	72723840	47	1,8,0	1,2,0	4,7,0	0,0,1	173	149	1	1.0	0.463,0.775,NA	1.0,1.0,0.0	-0.048
49	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72257954	72258191	72257954	72258087	72258379	72258462	49	20,37,42	362,430,435	27,16,30	337,412,449	253	149	0.118104010221	0.47362044608854253	0.032,0.048,0.054	0.045,0.022,0.038	0.01
50	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72258833	72258961	50	485,578,577	79,70,86	448,537,591	109,115,131	185	149	0.00019164024443	0.004770101953909145	0.832,0.869,0.844	0.768,0.79,0.784	0.068
51	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72258846	72258961	51	313,312,325	11,9,5	246,301,341	0,2,12	185	149	0.0939166057443	0.40912682611741846	0.958,0.965,0.981	1.0,0.992,0.958	-0.015
52	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72259646	72259715	52	297,293,307	2,5,1	234,279,330	4,4,4	185	149	0.482083061803	1.0	0.992,0.979,0.996	0.979,0.983,0.985	0.007
53	"ENSMUSG00000073131"	"Vma21"	chrX	+	70860395	70860673	70860395	70860546	70863673	70863783	53	24,12,24	543,548,607	36,26,36	598,623,639	276	149	0.0261874946382	0.17160659025874594	0.023,0.012,0.021	0.031,0.022,0.03	-0.009
58	"ENSMUSG00000031099"	"Smarca1"	chrX	-	46975973	46976075	46975988	46976075	46972913	46973080	58	0,2,0	0,0,2	0,0,0	1,1,0	164	149	1	1.0	NA,1.0,0.0	0.0,0.0,NA	0.5
62	"ENSMUSG00000031066"	"Usp11"	chrX	+	20582985	20584043	20582985	20583192	20584232	20584511	62	470,474,380	4,1,0	560,883,447	1,0,0	298	149	1	1.0	0.983,0.996,1.0	0.996,1.0,1.0	-0.006
63	"ENSMUSG00000031060"	"Rbm10"	chrX	+	20511675	20511836	20511675	20511833	20512007	20512105	63	121,81,104	86,81,121	105,99,128	118,159,113	152	149	0.228503137424	0.7243108502896385	0.58,0.495,0.457	0.466,0.379,0.526	0.054
64	"ENSMUSG00000031012"	"Cask"	chrX	-	13652157	13652288	13652175	13652288	13580904	13581010	64	17,7,13	186,208,224	39,60,30	347,449,339	167	149	0.000871241598362	0.014716689628413668	0.075,0.029,0.049	0.091,0.107,0.073	-0.039
65	"ENSMUSG00000031169"	"Porcn"	chrX	-	8064444	8065391	8065305	8065391	8064213	8064324	65	4,0,1	14,23,26	12,19,9	20,34,16	298	149	3.29513498598e-07	3.1458847542620825e-05	0.125,0.0,0.019	0.231,0.218,0.22	-0.175
66	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8009485	8009571	8009489	8009571	8008606	8009194	66	2083,2402,2184	2326,2822,2802	2871,2860,2471	3844,4127,3212	153	149	0.115846091504	0.46828943091156167	0.466,0.453,0.432	0.421,0.403,0.428	0.033
67	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8010086	8010918	8010811	8010918	8009896	8009990	67	6320,7101,8206	0,0,0	9393,9362,8684	0,0,2	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
68	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7750571	7750747	7750571	7750672	7751987	7752170	68	6,7,9	776,794,796	0,2,1	846,940,832	224	149	1	1.0	0.005,0.006,0.007	0.0,0.001,0.001	0.005
69	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7751987	7752170	7751987	7752131	7755850	7756002	69	632,610,574	0,0,1	625,785,663	1,1,2	188	149	1	1.0	1.0,1.0,0.998	0.998,0.998,0.996	0.002
70	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7758378	7759654	7758378	7759106	7760429	7760703	70	101,121,108	45,55,45	89,118,109	49,47,43	298	149	0.9832227538	1.0	0.529,0.524,0.545	0.476,0.557,0.559	0.002
71	"ENSMUSG00000031154"	"Otud5"	chrX	+	7733905	7734077	7733905	7734062	7734161	7734310	71	29,12,15	544,554,537	6,21,12	581,589,460	164	149	0.100581689575	0.4265200172558851	0.046,0.019,0.025	0.009,0.031,0.023	0.009
73	"ENSMUSG00000031148"	"Gpkow"	chrX	+	7571538	7571671	7571538	7571611	7572249	7572388	73	324,330,276	0,2,1	342,328,244	0,8,0	209	149	0.871163955246	1.0	1.0,0.992,0.995	1.0,0.967,1.0	0.007
74	"ENSMUSG00000031146"	"Plp2"	chrX	-	7535653	7535997	7535841	7535997	7535165	7535256	74	4134,3839,3780	2,0,0	3809,3899,2963	0,0,0	298	149	1	1.0	0.999,1.0,1.0	1.0,1.0,1.0	-0.0
75	"ENSMUSG00000035173"	"Ccdc186"	chr19	-	56796409	56796622	56796492	56796622	56790316	56790421	75	107,99,119	0,0,0	64,135,79	1,0,0	232	149	1	1.0	1.0,1.0,1.0	0.976,1.0,1.0	0.008
