ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	19,28,25	1,2,9	7,22,27	1,5,5	188	149
6	443,528,527	1,2,9	388,620,521	1,5,5	471	149
7	678,817,831	1,2,9	557,852,674	1,5,5	848	149
8	676,788,842	1,2,9	592,867,681	1,5,5	1157	149
9	424,500,504	0,0,2	381,598,494	0,0,0	432	149
10	659,789,808	0,0,2	550,830,647	0,0,0	809	149
11	657,760,819	0,0,2	585,845,654	0,0,0	1118	149
12	261,328,330	26,39,26	205,284,178	36,52,25	526	149
13	259,299,341	26,39,26	240,299,185	36,52,25	835	149
14	39,39,54	41,68,43	56,47,35	21,32,28	458	149
15	16,9,18	123,118,92	13,19,14	107,208,130	154	149
16	174,170,162	744,687,668	141,197,125	897,839,861	630	149
19	12,6,4	3,10,24	12,6,26	29,11,27	290	149
20	136,166,148	1,1,3	126,281,210	0,0,0	210	149
30	12,5,2	12,29,33	0,3,0	2,3,8	167	149
31	3,0,0	5,0,2	5,4,8	36,63,16	179	149
34	19,22,19	1,2,0	43,55,23	1,0,2	411	149
36	517,467,547	0,0,1	888,1123,1037	0,5,0	756	149
38	3926,4363,4546	0,0,0	3038,3795,3676	0,0,1	540	149
39	4552,4992,4624	0,0,2	4120,5281,4271	0,0,0	1108	149
40	1664,1863,1727	2,0,3	1341,1770,1525	0,0,0	1108	149
41	1120,1037,1161	25,52,19	1187,1201,911	26,17,47	155	149
42	839,1148,1077	67,93,115	604,957,1015	67,64,38	655	149
43	81,133,130	1,0,5	96,143,107	0,7,0	191	149
44	523,642,582	68,61,45	501,728,574	49,79,59	191	149
45	2067,1910,2135	6,2,3	2226,2567,1976	0,12,2	699	149
46	126,165,129	1,2,0	231,266,186	0,0,1	158	149
47	1,8,0	1,2,0	4,7,0	0,0,1	173	149
49	20,37,42	362,430,435	27,16,30	337,412,449	253	149
50	485,578,577	79,70,86	448,537,591	109,115,131	185	149
51	313,312,325	11,9,5	246,301,341	0,2,12	185	149
52	297,293,307	2,5,1	234,279,330	4,4,4	185	149
53	24,12,24	543,548,607	36,26,36	598,623,639	276	149
58	0,2,0	0,0,2	0,0,0	1,1,0	164	149
62	659,601,550	4,1,0	656,1188,658	1,0,0	1000	149
63	121,81,104	86,81,121	105,99,128	118,159,113	152	149
64	17,7,13	186,208,224	39,60,30	347,449,339	167	149
65	15,6,18	14,23,26	30,58,55	20,34,16	1010	149
66	2083,2402,2184	2326,2822,2802	2871,2860,2471	3844,4127,3212	153	149
67	7519,8360,9480	0,0,0	10279,10486,9666	0,0,2	874	149
68	6,7,9	776,794,796	0,2,1	846,940,832	224	149
69	632,610,574	0,0,1	625,785,663	1,1,2	188	149
70	680,628,655	45,55,45	596,762,606	49,47,43	697	149
71	29,12,15	544,554,537	6,21,12	581,589,460	164	149
73	324,330,276	0,2,1	342,328,244	0,8,0	209	149
74	4137,3841,3785	2,0,0	3811,3900,2969	0,0,0	337	149
75	107,99,119	0,0,0	64,135,79	1,0,0	232	149
76	311,323,345	39,16,22	343,424,281	32,27,23	232	149
80	254,262,311	0,0,0	218,261,204	0,8,0	2340	149
81	201,216,240	1,0,0	249,450,262	0,0,0	311	149
82	185,216,214	355,354,313	256,344,210	451,536,378	161	149
83	1,0,0	5,0,1	7,2,4	0,13,3	243	149
84	22,28,9	0,4,1	15,17,13	5,1,0	281	149
85	30,39,9	0,2,0	26,37,19	8,4,0	281	149
86	221,336,299	135,114,143	272,504,590	69,95,64	662	149
88	191,185,161	2,2,0	190,176,176	3,0,0	200	149
91	373,343,377	51,40,54	233,292,271	45,23,19	211	149
92	358,349,354	51,40,54	195,286,244	45,23,19	235	149
93	120,127,108	135,121,131	63,106,71	101,112,98	173	149
94	9,19,7	16,28,11	16,21,5	28,28,22	218	149
96	129,145,154	150,141,125	205,224,154	133,180,128	185	149
97	3,1,2	1,0,0	1,10,4	0,4,0	223	149
98	8,5,5	316,296,307	3,10,4	437,394,354	192	149
100	2,5,9	4,6,9	3,3,1	19,34,7	185	149
102	141,146,197	2,5,6	108,113,108	6,0,0	187	149
109	72,93,58	147,101,134	79,98,80	155,209,118	153	149
111	100,155,170	5,0,4	191,290,222	0,6,0	172	149
112	810,795,734	17,12,15	638,958,646	14,18,4	600	149
113	47,77,63	913,927,812	38,73,55	1128,1087,999	628	149
114	1030,1044,1057	0,0,1	1256,1159,1056	0,0,0	1159	149
115	1698,1898,1936	5,1,8	2878,3243,2572	3,10,13	353	149
116	125,146,177	0,0,0	141,186,136	0,4,0	353	149
117	2256,2594,2360	5,14,16	3854,4394,3347	13,32,13	281	149
118	999,1182,990	1,0,0	1701,1981,1434	0,0,0	281	149
119	12454,13788,12571	0,0,0	22022,24792,19474	0,1,0	285	149
120	403,565,478	0,7,3	561,709,527	3,3,1	1108	149
121	18,17,11	961,955,888	1,5,10	952,1112,1019	151	149
122	260,279,235	13,15,31	379,375,379	32,21,20	195	149
123	190,159,153	1389,1442,1529	180,201,177	1605,1422,1293	153	149
124	40,49,19	281,312,287	40,52,57	497,580,368	242	149
125	638,671,706	132,135,101	781,914,667	155,113,114	300	149
126	8,3,1	111,76,97	4,0,8	96,128,87	153	149
128	19409,20496,23141	0,3,0	12271,19091,19362	0,0,0	862	149
129	28446,31403,34691	0,0,0	18506,28464,29614	0,0,2	1281	149
130	9037,10910,11550	0,0,0	6235,9373,10252	0,0,2	568	149
131	3676,3852,3956	14,0,1	2388,3676,3773	4,4,0	309	149
132	5290,5379,5855	12,10,13	3520,5307,5328	5,5,5	357	149
134	567,619,606	25,22,28	574,752,656	38,52,51	2435	149
135	678,714,702	5,3,1	667,873,771	4,6,0	2672	149
136	136,117,124	5,3,1	131,173,166	4,6,0	386	149
138	336,272,254	10,10,5	593,682,522	11,18,3	363	149
139	10,5,6	0,2,0	10,15,16	0,0,0	170	149
140	62,54,42	1,2,1	81,92,72	0,5,0	216	149
141	52,51,36	1,2,1	71,77,56	0,5,0	195	149
142	201,160,148	1,1,4	273,290,250	2,5,7	170	149
143	253,209,184	0,2,0	344,367,306	0,2,3	216	149
144	53,50,40	0,2,0	73,82,63	0,2,3	195	149
146	6,9,6	0,0,0	15,14,9	0,1,0	174	149
147	6,9,10	10,7,3	15,16,9	16,23,9	174	149
148	93,112,97	431,403,432	136,131,85	839,849,691	174	149
149	667,688,680	0,0,0	1040,1006,771	0,2,0	414	149
150	768,832,812	2,3,2	1176,1275,950	2,0,1	500	149
151	248,253,310	33,32,33	222,262,206	19,20,35	170	149
153	922,947,974	11,10,23	941,1098,1038	18,19,19	671	149
154	240,176,201	0,2,0	298,379,298	1,10,3	287	149
155	253,304,216	666,680,524	398,610,434	1049,1387,937	160	149
156	4,12,13	9,8,9	30,36,27	13,30,8	160	149
157	402,440,389	8,1,11	646,864,504	9,3,0	346	149
158	97,67,89	13,20,13	107,156,136	21,29,12	152	149
159	1,10,6	1,0,0	13,5,8	0,0,0	153	149
160	28,30,42	0,9,0	50,42,45	5,5,0	153	149
161	48,37,64	8,23,11	48,72,29	14,22,14	438	149
162	77,56,63	2,2,0	92,109,99	3,0,1	162	149
163	90,109,68	37,59,72	120,104,86	54,100,53	155	149
165	876,747,785	4,0,3	1047,1258,893	2,0,0	478	149
166	1047,1071,1115	0,0,0	1204,1174,919	2,0,0	286	149
167	11,10,5	4,3,4	7,13,3	0,0,6	153	149
169	619,752,753	21,34,38	591,736,745	35,55,38	444	149
170	993,1167,1227	0,2,0	936,1258,1289	0,0,0	611	149
171	395,449,512	0,2,0	380,577,582	0,0,0	316	149
173	829,724,775	507,506,503	746,895,725	678,763,616	161	149
175	20,25,11	1,0,0	16,23,9	0,6,5	290	149
176	1,2,4	1,0,0	1,0,0	0,0,0	203	149
179	12,26,9	453,428,437	7,23,15	476,642,548	202	149
180	1,1,6	0,0,0	6,14,3	0,0,1	273	149
181	4,3,2	2,7,4	1,3,1	0,3,1	204	149
182	18,9,16	0,3,0	26,20,21	1,0,0	185	149
183	838,760,750	57,54,40	685,785,689	45,36,30	185	149
184	158,169,154	95,83,78	62,104,106	66,101,74	609	149
185	111,152,163	0,0,0	140,155,124	1,0,4	191	149
187	3,0,4	0,6,2	0,0,4	0,0,0	153	149
188	38,32,38	270,300,238	24,33,40	174,201,200	153	149
190	726,806,707	0,1,0	728,815,679	0,0,0	248	149
191	2012,2241,2002	0,1,0	2158,2475,1676	0,0,0	255	149
192	1287,1435,1295	1,0,0	1430,1662,998	0,2,1	156	149
193	632,609,541	6,2,3	671,784,751	4,12,1	800	149
194	1046,1213,1068	17,3,6	1380,1493,1216	16,7,7	478	149
195	310,403,414	2,0,0	377,428,330	0,0,0	184	149
196	31,26,28	260,233,323	26,32,22	393,395,330	159	149
197	23,19,16	174,170,213	14,18,8	164,223,179	156	149
198	3,0,2	0,2,0	2,2,0	0,0,0	176	149
199	0,0,0	114,124,121	0,0,1	63,90,90	177	149
201	6,10,16	2,0,0	5,2,6	0,0,0	182	149
202	2214,2443,2468	2,2,5	1314,1575,1429	5,5,4	157	149
203	361,366,405	0,0,6	429,560,391	3,0,1	200	149
204	294,238,266	4,7,3	281,432,339	1,0,0	189	149
205	0,0,2	31,35,23	0,0,0	26,19,17	179	149
206	1778,1874,1895	6,2,6	1498,1852,1471	6,7,2	1536	149
207	4,3,0	4,3,5	0,7,0	1,0,2	628	149
208	1358,1422,1230	31,19,23	1234,1340,1074	25,19,21	2688	149
209	23,36,32	253,281,268	20,11,23	500,523,483	211	149
214	747,879,806	0,0,0	844,1064,801	2,0,0	1020	149
215	1358,1411,1441	2,11,3	1644,1870,1274	4,1,13	292	149
218	0,6,5	4,6,4	0,0,0	0,0,2	158	149
221	1,0,0	38,53,56	0,1,0	84,94,69	153	149
222	1746,1757,1719	3,5,6	2683,3194,2367	3,3,5	393	149
225	1511,1461,1605	11,4,5	1464,1599,1267	3,1,4	435	149
227	82,77,94	192,191,213	72,93,95	103,143,130	161	149
228	176,193,252	153,132,168	154,165,125	100,112,129	176	149
229	369,346,367	0,1,0	198,257,193	0,1,3	1424	149
230	16,22,18	3,3,3	33,33,30	7,16,8	436	149
231	5,0,2	0,2,0	0,0,0	13,22,30	204	149
233	7,3,5	337,349,369	0,1,0	196,270,296	319	149
234	2,3,5	1,0,2	0,1,0	0,0,2	319	149
235	50,85,62	4,2,12	59,94,81	3,3,0	179	149
236	23,21,16	0,1,0	26,33,21	2,0,0	179	149
238	1388,1253,1306	1,0,0	1105,1218,1086	0,0,0	638	149
239	423,374,343	0,0,0	316,434,319	0,2,0	196	149
240	71,105,106	254,234,258	59,123,63	304,315,211	153	149
241	262,271,260	5,5,11	215,288,224	10,13,2	205	149
242	445,400,412	5,5,11	460,480,372	10,13,2	201	149
244	335,391,415	7,15,16	602,651,504	3,27,22	304	149
245	52,58,80	0,1,0	64,58,34	0,0,0	298	149
246	2,3,3	16,30,31	1,1,0	10,12,5	208	149
248	2334,2388,2396	0,1,0	1989,2299,1737	0,2,0	233	149
249	683,725,801	3,0,0	613,692,537	0,0,0	233	149
253	924,984,954	0,0,2	879,1066,892	0,0,0	1183	149
254	2682,2886,2655	114,145,165	4414,5944,4432	251,282,214	184	149
255	21,22,41	0,0,1	25,38,29	3,0,0	155	149
256	627,633,722	970,843,1019	812,740,663	1088,1177,884	155	149
257	1548,1786,1675	1,0,0	1649,1928,1470	0,0,0	416	149
258	56799,57891,58313	0,0,0	63360,67149,57563	0,0,1	501	149
259	167,186,183	1,0,4	172,153,156	0,0,1	982	149
262	102,96,127	3,0,4	105,93,63	1,0,0	223	149
270	1,0,1	165,162,145	0,1,0	163,238,174	168	149
271	184,257,271	1,9,4	330,377,288	8,6,7	153	149
272	168,143,184	0,0,2	128,154,129	1,1,0	347	149
273	231,262,247	218,211,204	304,347,304	396,462,382	361	149
274	223,253,208	58,52,63	364,372,273	87,103,60	174	149
275	1578,1542,1590	13,26,10	2163,2660,2259	19,32,16	228	149
276	865,844,900	2,4,9	1217,1482,1320	10,8,7	228	149
278	1110,1158,1052	11,12,15	1037,1482,1041	2,7,20	440	149
279	1,3,0	121,85,87	2,0,1	143,133,160	275	149
280	3421,3607,3718	4,1,2	3342,3669,2865	1,5,3	179	149
281	2016,2034,2138	0,0,0	1966,2021,1829	2,4,0	302	149
282	5939,6396,6642	19,9,7	5635,6279,5116	7,12,8	302	149
283	11,7,14	268,316,258	8,7,14	269,597,392	165	149
285	12,10,3	71,67,74	5,11,7	76,87,74	165	149
288	77,70,89	754,713,766	88,64,73	819,809,620	152	149
289	0,0,4	213,183,188	0,0,0	198,312,205	193	149
290	19,21,9	77,87,82	14,24,12	76,137,86	353	149
291	167,145,187	287,271,271	195,218,168	416,507,373	367	149
292	132,114,151	4,4,3	153,156,129	5,1,7	367	149
293	104,128,101	297,311,294	135,98,84	508,551,462	340	149
294	344,343,339	0,7,1	322,282,221	0,5,3	709	149
295	25,22,23	0,1,0	130,148,114	4,0,4	180	149
297	15,8,22	0,0,0	93,102,75	2,0,1	161	149
298	1,0,0	16,7,9	0,1,1	145,141,141	177	149
305	243,230,217	2,8,2	237,269,256	9,5,0	264	149
306	22,14,16	31,28,29	25,45,18	34,29,32	215	149
307	0,1,0	0,0,0	0,1,0	2,5,0	187	149
308	400,442,439	8,10,3	305,260,290	2,5,4	266	149
309	5324,5333,5797	26,31,34	6428,8217,5994	56,49,28	836	149
310	162,174,182	0,0,1	95,172,115	0,0,0	238	149
312	1103,1203,1167	5,22,10	1497,1673,1178	13,14,10	196	149
315	604,660,641	1,0,5	1128,1044,901	6,2,2	1057	149
316	398,413,391	0,0,9	654,608,532	0,2,0	1057	149
317	6,2,9	157,196,234	11,7,6	337,347,257	159	149
319	50,39,38	6378,6446,6597	56,29,9	7561,9393,7690	449	149
320	2929,3315,2848	0,0,3	3348,4681,3778	1,0,1	2021	149
322	74,64,53	4,0,6	37,44,30	3,7,2	150	149
323	2606,2855,2757	667,733,647	1355,2022,1601	809,965,827	1446	149
324	125,168,161	35,40,35	205,237,148	66,65,32	372	149
325	149,158,151	6,4,9	191,193,149	11,15,4	421	149
326	95,97,161	0,1,0	112,95,104	0,0,0	580	149
327	258,249,354	0,0,0	297,304,292	2,2,2	580	149
328	121,133,154	0,0,1	132,192,148	0,0,4	454	149
329	163,189,181	0,0,0	192,216,190	0,0,1	486	149
330	39,18,55	37,27,53	31,48,29	42,94,47	203	149
331	3,4,5	272,251,251	5,12,13	356,364,309	182	149
332	0,4,0	4,2,12	0,2,3	13,27,6	161	149
333	1998,1956,1782	0,0,1	2353,2787,2127	0,0,0	591	149
334	210,270,242	605,571,587	548,740,450	1458,1652,1163	304	149
335	168,157,200	0,0,0	194,173,152	1,0,0	525	149
336	1429,1404,1447	161,129,135	1796,2547,1742	137,197,112	176	149
337	2,4,0	0,0,0	6,7,3	0,5,0	161	149
338	238,232,264	729,805,801	252,300,187	1015,1115,854	242	149
339	582,601,623	29,30,22	556,638,545	17,38,13	161	149
340	1766,1919,1680	0,7,2	1969,2445,2108	0,0,7	810	149
341	790,868,738	435,382,321	1086,1391,1063	647,893,583	158	149
342	329,389,387	5,5,11	323,432,505	6,13,3	201	149
343	564,543,503	0,0,0	576,575,576	0,0,1	649	149
344	328,326,390	9,15,17	396,429,391	23,19,25	155	149
345	22,13,39	24,20,31	8,33,8	28,22,27	166	149
346	76,59,91	549,648,521	66,102,57	589,716,640	166	149
347	121,136,130	2,0,0	162,178,142	0,0,3	169	149
348	103,122,133	0,1,0	206,238,185	0,0,1	327	149
349	1146,1344,1448	0,2,0	1407,1617,1406	0,0,0	1641	149
350	267,284,303	0,0,2	335,459,313	2,0,0	497	149
355	0,0,0	10,6,5	1,0,0	12,10,20	184	149
356	3,0,0	4,0,1	0,0,0	0,3,0	154	149
357	5,2,9	132,170,175	13,6,6	126,158,127	154	149
367	4,4,3	4,1,6	0,5,4	1,2,2	151	149
368	1824,1860,1846	2,6,9	3611,4334,2733	13,3,13	317	149
369	633,637,597	172,168,239	591,734,579	194,203,117	304	149
374	1,0,0	1530,1574,1593	1,0,0	2096,2104,1831	196	149
376	145,159,135	12,10,13	272,307,245	19,20,25	160	149
377	13,1,3	73,78,93	5,4,15	80,117,64	157	149
381	213,228,228	2,0,3	229,231,170	4,4,6	303	149
382	398,496,481	32,38,39	325,303,260	15,11,22	182	149
383	215,219,261	45,58,51	152,261,206	65,79,75	767	149
385	0,3,0	0,0,0	2,0,1	0,8,2	519	149
386	279,212,232	190,203,212	224,288,226	163,216,142	161	149
387	45,59,56	307,307,342	70,62,49	246,340,272	152	149
388	364,444,341	1,4,0	680,906,566	0,0,0	391	149
390	159,111,123	11,17,7	103,215,122	11,20,6	349	149
