ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	40,34,42	318,371,314	47,46,51	368,448,323	298	149
5	496,396,389	3,2,4	640,831,583	0,11,0	242	149
6	1,1,8	2,0,2	0,0,2	0,3,0	152	149
7	0,0,1	2,0,3	0,0,0	2,0,2	152	149
9	10,4,14	411,418,454	11,5,12	517,494,453	170	149
10	6,4,6	1441,1653,1602	21,13,4	3454,4058,3177	179	149
11	7,7,8	0,0,1	6,12,7	0,2,0	153	149
12	22,24,30	4,4,0	20,21,23	3,7,10	153	149
13	53,44,57	20,27,35	66,65,44	27,42,39	153	149
14	55,83,72	37,37,48	72,125,56	45,64,60	153	149
15	524,535,614	0,0,1	636,716,657	2,1,2	152	149
16	1469,1609,1477	57,41,58	2018,2433,1885	48,70,66	152	149
17	7,24,14	21,24,30	12,18,10	25,36,43	298	149
20	392,366,441	95,116,102	399,468,427	117,84,117	152	149
21	1957,1824,2132	95,116,102	1730,1998,1934	117,84,117	298	149
22	1913,1801,2106	346,335,415	1712,1961,1911	378,422,391	298	149
24	5870,6401,6560	240,244,273	10344,12230,9314	467,565,398	154	149
26	228,269,252	84,64,66	214,287,264	32,48,25	227	149
27	195,256,251	56,55,70	296,346,309	108,133,101	227	149
28	173,222,186	92,141,100	224,343,308	162,292,247	227	149
30	90,107,104	84,83,66	91,66,78	62,32,45	164	149
31	79,48,91	4,11,7	44,70,61	8,9,4	152	149
32	11,8,14	0,0,4	2,4,2	0,0,0	152	149
35	273,252,297	102,83,100	204,195,190	62,63,68	212	149
43	30,45,31	0,1,2	46,54,31	3,3,3	152	149
44	47,50,45	1,2,0	28,62,24	0,0,0	152	149
49	747,798,824	0,0,0	424,562,562	1,0,0	298	149
51	8,6,5	0,1,0	2,4,2	0,0,0	152	149
53	50,34,56	176,231,273	64,55,49	246,224,162	152	149
54	51,91,90	3,7,0	33,82,77	0,12,1	204	149
55	206,208,195	0,0,0	251,330,209	1,0,2	230	149
56	491,473,434	6,10,4	541,735,487	26,17,16	230	149
58	141,151,162	75,69,63	240,245,228	121,126,106	152	149
59	49,56,52	1,2,1	63,70,45	0,5,0	262	149
63	96,103,95	11,9,5	133,153,149	0,2,12	162	149
64	208,319,280	19,20,19	238,296,279	12,22,11	162	149
65	164,121,170	3,0,6	200,230,187	3,2,6	153	149
66	7,17,14	0,1,0	4,2,13	0,0,0	153	149
67	4,5,4	1,0,0	4,11,4	0,0,0	153	149
70	131,206,145	26,27,15	107,85,91	9,8,12	197	149
71	422,569,468	349,417,328	281,380,277	256,292,259	197	149
73	116,114,136	130,99,122	69,73,74	53,104,78	176	149
74	13,9,14	9,2,0	15,6,11	0,0,3	176	149
75	0,0,0	276,339,359	1,0,0	204,191,214	165	149
76	543,518,480	0,3,1	549,673,518	1,0,0	158	149
77	1,1,0	0,0,0	0,0,0	0,1,0	154	149
78	3,6,9	0,0,0	0,2,0	0,0,6	154	149
79	87,94,122	0,0,0	31,30,55	0,0,6	183	149
80	86,94,122	2,6,9	31,30,55	0,2,0	178	149
81	306,249,305	1,5,5	390,480,412	6,28,7	173	149
82	332,336,279	0,2,2	469,553,406	0,0,3	298	149
84	379,421,378	1452,1578,1459	452,577,442	1954,2178,1841	152	149
85	35,37,42	3,2,0	73,94,68	3,0,0	220	149
86	3735,3908,4206	2772,3410,3487	5946,5714,4664	4315,4355,3576	152	149
87	25,57,53	6,4,9	27,48,30	1,2,5	152	149
88	3738,4171,4298	1,3,2	5185,5622,5070	2,9,4	298	149
89	378,390,341	29,30,16	373,514,386	39,42,31	183	149
91	692,576,611	0,0,1	633,729,567	4,8,1	298	149
92	974,953,837	0,3,0	924,1039,665	0,0,0	298	149
93	15,21,29	0,2,0	7,33,23	0,0,3	153	149
95	81,110,90	5,0,1	147,107,80	2,9,8	153	149
96	78,122,92	915,829,853	149,160,125	1073,1207,1009	166	149
97	107,103,134	167,197,164	147,149,108	213,222,205	152	149
98	376,392,347	5,7,11	517,510,408	4,19,3	178	149
99	134,149,126	50,63,54	116,131,130	61,127,70	165	149
100	93,140,132	16,7,12	162,177,105	41,24,12	179	149
101	323,342,358	1,0,0	447,424,354	0,0,0	171	149
102	272,235,248	0,2,0	280,335,279	0,0,0	298	149
103	356,320,291	2,0,0	378,434,392	0,0,0	154	149
104	96,71,87	102,120,127	84,70,83	130,151,139	152	149
105	14,31,27	278,326,269	19,15,19	358,363,324	172	149
106	8,8,17	170,204,215	9,16,9	213,259,234	171	149
107	617,683,559	24,7,14	879,994,751	14,9,4	193	149
108	633,652,593	3,6,4	884,1058,748	7,3,4	161	149
109	29,19,25	0,0,0	44,69,49	0,9,0	161	149
110	63,64,51	311,337,348	71,153,73	306,342,255	237	149
111	524,490,574	0,1,0	635,662,498	0,2,0	237	149
112	213,263,298	24,19,23	317,345,261	27,34,11	194	149
119	546,501,584	6,12,17	338,425,347	16,7,9	152	149
120	31,13,13	0,4,0	25,37,8	0,0,0	176	149
121	111,94,78	96,61,66	43,56,83	47,66,43	152	149
122	141,127,109	0,0,0	60,91,105	0,0,2	190	149
123	126,94,97	0,0,0	64,101,65	0,0,2	187	149
124	13,0,0	275,265,243	10,12,3	193,228,223	158	149
125	149,179,160	9,6,5	296,268,166	15,5,5	152	149
130	7,12,3	1,1,0	5,32,17	1,7,5	278	149
131	597,621,645	1,2,3	765,906,557	1,0,0	153	149
134	93,86,101	0,0,0	87,118,82	0,3,0	155	149
139	941,1009,1032	3,3,4	854,896,769	3,4,0	271	149
149	52,51,55	3,2,0	93,68,72	2,7,6	206	149
150	380,343,354	1400,1477,1481	528,532,483	2283,2231,1918	206	149
151	0,2,1	46,52,43	3,5,10	92,126,66	262	149
153	0,0,0	0,0,1	0,6,0	0,0,0	152	149
154	145,164,188	115,117,135	198,187,162	135,160,137	152	149
155	1001,1062,1011	155,168,162	1232,1447,1121	193,227,186	298	149
157	642,659,704	0,2,0	670,715,637	3,4,3	298	149
158	1591,1776,1788	0,2,0	2748,3093,2455	0,0,0	298	149
159	230,315,273	0,1,0	386,447,358	0,2,0	298	149
160	154,151,153	28,68,29	240,320,276	79,105,84	152	149
161	4,17,9	279,363,228	1,8,6	495,568,413	169	149
162	49,66,40	95,93,59	81,102,65	151,195,137	198	149
163	430,439,420	0,0,1	387,487,388	0,0,0	298	149
164	27,39,42	604,619,588	57,103,84	1062,1269,895	246	149
165	1387,1541,1205	1,0,2	1934,2559,1675	0,0,0	156	149
166	4482,4356,4196	0,0,2	5076,5072,3714	0,1,0	268	149
167	7,1,12	1389,1442,1529	1,2,10	1605,1422,1293	173	149
168	212,184,182	1,0,0	204,230,213	0,0,0	154	149
169	2944,2801,2830	0,7,2	3029,2979,2717	12,12,6	250	149
171	42,50,42	0,1,0	47,41,27	0,2,0	178	149
172	305,348,306	88,81,105	340,287,291	83,81,65	178	149
173	1416,1465,1323	6,7,13	2653,3233,2215	8,9,3	206	149
174	1027,1190,1000	0,0,0	1941,2469,1674	0,0,10	155	149
175	2065,2326,2638	0,0,0	1429,2132,2465	0,0,2	298	149
176	173,196,167	21,16,27	258,254,254	26,11,24	152	149
177	253,249,289	25,29,22	319,374,305	26,23,15	200	149
178	1000,1106,989	7,2,3	1627,2169,1548	7,3,19	298	149
179	372,409,364	1,1,7	441,415,395	1,0,10	283	149
180	6,9,3	0,3,0	18,19,21	7,6,8	152	149
181	5,5,6	0,3,0	2,6,4	7,6,8	184	149
182	2,5,6	3,9,3	2,6,4	18,19,21	181	149
183	8,14,4	56,48,43	10,13,10	102,126,129	179	149
184	152,158,165	12,13,6	316,343,321	18,17,17	247	149
186	14,16,19	792,821,817	27,32,41	1496,1841,1339	170	149
187	43,47,26	2,4,2	104,113,101	10,13,6	160	149
188	365,296,261	21,27,29	575,722,551	38,58,39	182	149
189	78,83,69	0,9,0	92,116,109	0,1,4	158	149
190	38,65,38	1,1,0	78,76,55	1,1,4	153	149
191	297,249,246	0,1,2	427,489,370	0,0,2	220	149
192	107,94,106	0,2,0	166,219,141	0,0,0	220	149
193	106,95,102	1,2,1	164,216,137	0,5,0	220	149
194	3,11,13	0,0,0	4,5,10	1,0,0	153	149
195	16,27,31	327,292,271	58,34,29	504,541,402	162	149
196	152,180,156	0,0,4	227,245,192	1,2,0	179	149
197	496,480,497	10,7,3	944,977,807	16,23,9	179	149
198	417,401,425	145,173,138	798,1011,670	273,312,224	153	149
199	67,73,73	2,0,0	73,56,37	0,0,0	298	149
200	0,3,0	382,395,398	2,0,2	509,470,456	164	149
201	63,70,72	5,9,3	139,116,72	5,7,1	157	149
202	78,107,95	0,0,1	102,175,140	0,1,0	273	149
203	25,25,36	1,0,0	32,29,35	0,0,0	298	149
204	1,4,1	27,15,11	2,0,1	36,21,17	161	149
205	19,26,20	0,1,1	37,25,28	0,3,4	153	149
206	37,46,38	23,40,15	33,49,58	23,23,45	152	149
207	292,279,329	116,104,168	236,266,272	134,111,135	155	149
208	159,157,164	1,4,1	193,227,165	0,0,0	298	149
209	302,342,300	1,4,2	522,621,438	2,2,2	221	149
210	36,35,38	1,0,0	50,48,53	0,0,0	154	149
211	17,23,26	0,0,0	27,27,8	0,4,0	208	149
213	734,766,598	9,8,9	1128,1543,1011	13,30,8	176	149
214	318,378,280	1,0,3	450,737,488	3,7,7	176	149
215	20,3,11	109,124,102	3,5,7	186,247,208	298	149
216	67,81,51	3046,3314,3420	88,94,76	5045,5244,5527	224	149
217	5,6,2	11,13,11	2,15,12	17,17,31	198	149
218	1286,1258,1376	9,1,6	2042,2207,1687	3,5,2	168	149
219	29,29,41	0,9,3	52,40,40	13,2,3	162	149
220	2,9,2	1,0,0	7,6,0	0,0,0	162	149
221	16,22,27	68,54,45	34,53,17	68,78,62	289	149
222	600,599,561	0,7,6	581,568,490	6,1,0	240	149
224	106,138,176	0,0,1	135,174,140	0,0,0	178	149
225	466,484,541	0,0,0	502,522,505	0,1,5	298	149
226	1,6,3	5,0,0	1,10,6	0,10,4	152	149
