ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	4172,4483,4486	20937,20542,20111	3095,4419,3479	15060,20677,17916	296	1093	0.608561228499	0.9860583105172234	0.424,0.446,0.452	0.431,0.441,0.418	0.011
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	6705,6801,7178	3917,4194,4254	4430,6978,6131	2764,4352,3407	421	315	0.964016190348	1.0	0.562,0.548,0.558	0.545,0.545,0.574	0.001
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239	7	309,335,297	364,351,360	601,540,465	659,708,524	241	275	0.783049764216	1.0	0.492,0.521,0.485	0.51,0.465,0.503	0.007
8	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	8	264,281,307	5,7,4	334,454,368	0,23,7	269	296	0.26303360321	0.7863772618487392	0.983,0.978,0.988	1.0,0.956,0.983	0.003
9	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163211535	163211668	163205579	163205982	163211806	163212013	9	26,41,22	68,82,111	36,44,22	66,75,71	282	282	0.16465130554	0.6618111943524575	0.277,0.333,0.165	0.353,0.37,0.237	-0.062
10	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163083219	163083426	163054598	163054727	163113010	163113095	10	166,182,144	491,556,534	266,248,242	755,684,651	242	356	0.146704960111	0.6343793955802465	0.332,0.325,0.284	0.341,0.348,0.354	-0.034
11	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163125469	163125514	163083219	163083426	163141143	163141226	11	371,424,382	79,89,98	522,487,434	102,70,108	234	194	0.22548036319	0.7439574476130113	0.796,0.798,0.764	0.809,0.852,0.769	-0.024
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163141143	163141226	163113010	163113095	163152041	163152108	12	32,37,41	91,104,126	78,33,63	141,164,142	194	232	0.661324869692	1.0	0.296,0.298,0.28	0.398,0.194,0.347	-0.022
13	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162723114	162723170	162718438	162719961	162726095	162726309	13	92,93,87	116,81,104	101,153,88	112,148,113	205	259	0.977076973019	1.0	0.501,0.592,0.514	0.533,0.566,0.496	0.004
14	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642294	161642442	161646055	161646204	161640052	161641004	161655510	161655650	14	279,338,348	377,413,408	223,267,249	344,436,335	298	297	0.0676239952593	0.4437728677108217	0.424,0.449,0.459	0.392,0.379,0.426	0.045
15	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	15	278,338,347	144,145,128	222,269,250	106,156,118	298	208	0.176975364563	0.6811738503189891	0.574,0.619,0.654	0.594,0.546,0.597	0.037
16	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665675	161665742	161655510	161655650	161665963	161666082	16	214,274,307	310,312,268	232,192,198	237,322,234	216	223	0.437317098188	0.9113542307704848	0.416,0.476,0.542	0.503,0.381,0.466	0.028
17	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665963	161666082	161655510	161655650	161671064	161671443	17	544,612,528	311,310,268	477,578,552	237,322,234	268	223	0.477786931197	0.9332530000360677	0.593,0.622,0.621	0.626,0.599,0.662	-0.017
18	"ENSMUSG00000031295"	"Phka2"	chrX	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374137	18	35,16,30	73,91,76	36,55,48	96,146,103	203	350	0.406073455899	0.897949191343608	0.453,0.233,0.405	0.393,0.394,0.446	-0.047
19	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158331234	158331311	158334746	158335370	158315663	158315831	158336239	158336890	19	378,500,489	1460,1545,1868	483,694,636	1595,2432,2194	226	773	0.64481297936	1.0	0.47,0.525,0.472	0.509,0.494,0.498	-0.011
20	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158338470	158338646	158340438	158340553	158336239	158336890	158341330	158341394	20	114,173,167	115,107,107	156,192,286	106,142,145	325	264	0.329923286734	0.849407711281153	0.446,0.568,0.559	0.545,0.523,0.616	-0.037
21	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156341880	156342061	156344378	156344497	156338592	156338687	156355854	156355982	21	324,410,395	794,655,697	317,360,261	612,796,578	268	330	0.342813959325	0.8571720182254904	0.334,0.435,0.411	0.389,0.358,0.357	0.025
