ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165169947	165171984	165166930	165166996	4	333,295,500	318,371,314	296,386,449	368,448,323	1710	149	0.27753910624	0.8481697700806471	0.084,0.065,0.122	0.065,0.07,0.108	0.009
5	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963348	164963805	164963441	164963805	164961787	164961826	5	496,396,389	3,2,4	640,831,583	0,11,0	242	149	0.936339198768	1.0	0.99,0.992,0.984	1.0,0.979,1.0	-0.004
6	"ENSMUSG00000040855"	"Reps2"	chrX	-	161297274	161297347	161297274	161297344	161301324	161301419	6	1,1,8	2,0,2	0,0,2	0,3,0	152	149	1	1.0	0.329,1.0,0.797	NA,0.0,1.0	0.209
7	"ENSMUSG00000040855"	"Reps2"	chrX	-	161335538	161335665	161335538	161335662	161337792	161337941	7	0,0,1	2,0,3	0,0,0	2,0,2	152	149	1	1.0	0.0,NA,0.246	0.0,NA,0.0	0.123
9	"ENSMUSG00000025283"	"Sat1"	chrX	-	153996892	153996954	153996892	153996933	153997028	153997130	9	10,4,14	411,418,454	11,5,12	517,494,453	170	149	0.678345777796	1.0	0.021,0.008,0.026	0.018,0.009,0.023	0.002
10	"ENSMUSG00000025260"	"Hsd17b10"	chrX	+	150786618	150786777	150786648	150786777	150786356	150786521	10	6,4,6	1441,1653,1602	21,13,4	3454,4058,3177	179	149	1	1.0	0.003,0.002,0.003	0.005,0.003,0.001	-0.0
11	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150583878	150583942	11	7,7,8	0,0,1	6,12,7	0,2,0	153	149	1	1.0	1.0,1.0,0.886	1.0,0.854,1.0	0.011
12	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150584309	150584362	12	22,24,30	4,4,0	20,21,23	3,7,10	153	149	0.0092932938742	0.09240888081676316	0.843,0.854,1.0	0.867,0.745,0.691	0.131
13	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150586657	150586798	13	53,44,57	20,27,35	66,65,44	27,42,39	153	149	0.515690168513	1.0	0.721,0.613,0.613	0.704,0.601,0.524	0.039
14	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150587441	150587536	14	55,83,72	37,37,48	72,125,56	45,64,60	153	149	0.431841845599	1.0	0.591,0.686,0.594	0.609,0.655,0.476	0.044
15	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150681439	150681657	150681442	150681657	150680182	150680249	15	524,535,614	0,0,1	636,716,657	2,1,2	152	149	1	1.0	1.0,1.0,0.998	0.997,0.999,0.997	0.002
16	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150691723	150691952	150691726	150691952	150690271	150690440	16	1469,1609,1477	57,41,58	2018,2433,1885	48,70,66	152	149	0.250699937831	0.8016337225450091	0.962,0.975,0.961	0.976,0.971,0.966	-0.005
17	"ENSMUSG00000025271"	"Pfkfb1"	chrX	+	149372791	149373080	149372948	149373080	149371940	149372040	17	7,24,14	21,24,30	12,18,10	25,36,43	306	149	0.188812674806	0.6809056263923313	0.14,0.327,0.185	0.189,0.196,0.102	0.055
20	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134614	141134374	141134611	141143382	141143432	20	392,366,441	95,116,102	399,468,427	117,84,117	152	149	0.61344434727	1.0	0.802,0.756,0.809	0.77,0.845,0.782	-0.01
21	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134904	141134374	141134611	141143382	141143432	21	2682,2570,2862	95,116,102	2416,2791,2695	117,84,117	442	149	0.722399454612	1.0	0.905,0.882,0.904	0.874,0.918,0.886	0.004
22	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134904	141134374	141134614	141143382	141143432	22	2636,2539,2836	346,335,415	2395,2745,2659	378,422,391	439	149	0.226383914523	0.757476855045332	0.721,0.72,0.699	0.683,0.688,0.698	0.024
24	"ENSMUSG00000046432"	"Bex3"	chrX	+	135172011	135172727	135172016	135172727	135171558	135171631	24	5870,6401,6560	240,244,273	10344,12230,9314	467,565,398	154	149	0.259292979809	0.8184128061990514	0.959,0.962,0.959	0.955,0.954,0.958	0.004
26	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132970593	132970656	26	228,269,252	84,64,66	214,287,264	32,48,25	227	149	2.84716479526e-06	0.00019065192110032152	0.64,0.734,0.715	0.814,0.797,0.874	-0.132
27	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132973163	132973223	27	195,256,251	56,55,70	296,346,309	108,133,101	227	149	0.0117149893727	0.10853291380312259	0.696,0.753,0.702	0.643,0.631,0.668	0.07
28	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132973426	132973513	28	173,222,186	92,141,100	224,343,308	162,292,247	227	149	0.00485822271789	0.05736606736079932	0.552,0.508,0.55	0.476,0.435,0.45	0.083
30	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	110309904	110309981	110309904	110309966	110314374	110314536	30	90,107,104	84,83,66	91,66,78	62,32,45	164	149	0.0952536967903	0.43854835162810013	0.493,0.539,0.589	0.571,0.652,0.612	-0.071
31	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	110372546	110372798	110372546	110372795	110372967	110373152	31	79,48,91	4,11,7	44,70,61	8,9,4	152	149	0.704497996706	1.0	0.951,0.811,0.927	0.844,0.884,0.937	0.008
32	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	110372546	110372798	110372546	110372795	110396365	110396497	32	11,8,14	0,0,4	2,4,2	0,0,0	152	149	0.307591414295	0.8923042581310088	1.0,1.0,0.774	1.0,1.0,1.0	-0.075
35	"ENSMUSG00000031314"	"Taf1"	chrX	+	100584365	100584607	100584428	100584607	100582673	100582793	35	273,252,297	102,83,100	204,195,190	62,63,68	212	149	0.668616607112	1.0	0.653,0.681,0.676	0.698,0.685,0.663	-0.012
43	"ENSMUSG00000035476"	"Tab3"	chrX	+	84652995	84653190	84652998	84653190	84619155	84619216	43	30,45,31	0,1,2	46,54,31	3,3,3	152	149	0.0296181827428	0.21059164880297312	1.0,0.978,0.938	0.938,0.946,0.91	0.041
44	"ENSMUSG00000035476"	"Tab3"	chrX	+	84652995	84653190	84652998	84653190	84637257	84637360	44	47,50,45	1,2,0	28,62,24	0,0,0	152	149	1	1.0	0.979,0.961,1.0	1.0,1.0,1.0	-0.02
49	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351735	73351867	73350450	73350550	49	2619,2904,2975	0,0,0	1633,2171,2213	1,0,0	607	149	1	1.0	1.0,1.0,1.0	0.998,1.0,1.0	0.001
51	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331624	73331705	73331627	73331705	73327253	73327299	51	8,6,5	0,1,0	2,4,2	0,0,0	152	149	1	1.0	1.0,0.855,1.0	1.0,1.0,1.0	-0.048
53	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332053	73332119	73332056	73332119	73331783	73331825	53	50,34,56	176,231,273	64,55,49	246,224,162	152	149	0.0984616432349	0.44747602466720016	0.218,0.126,0.167	0.203,0.194,0.229	-0.038
54	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332534	73332625	73332589	73332625	73332267	73332320	54	51,91,90	3,7,0	33,82,77	0,12,1	204	149	0.339644586869	0.9431600338776956	0.925,0.905,1.0	1.0,0.833,0.983	0.005
55	"ENSMUSG00000031392"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73061506	73061623	55	206,208,195	0,0,0	251,330,209	1,0,2	230	149	1	1.0	1.0,1.0,1.0	0.994,1.0,0.985	0.007
56	"ENSMUSG00000031392"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73061735	73061972	56	491,473,434	6,10,4	541,735,487	26,17,16	230	149	0.000446916330255	0.010060371859782766	0.981,0.968,0.986	0.931,0.966,0.952	0.029
58	"ENSMUSG00000031392"	"Irak1"	chrX	-	73066078	73066270	73066078	73066267	73066454	73066558	58	141,151,162	75,69,63	240,245,228	121,126,106	152	149	0.530309236508	1.0	0.648,0.682,0.716	0.66,0.656,0.678	0.017
59	"ENSMUSG00000031392"	"Irak1"	chrX	-	73066454	73066671	73066454	73066558	73066971	73067139	59	49,56,52	1,2,1	63,70,45	0,5,0	262	149	0.488804782615	1.0	0.965,0.941,0.967	1.0,0.888,1.0	-0.005
63	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258833	72258961	72258846	72258961	72258379	72258426	63	96,103,95	11,9,5	133,153,149	0,2,12	162	149	0.00383344519935	0.04863051583827698	0.889,0.913,0.946	1.0,0.986,0.919	-0.052
64	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258833	72258961	72258846	72258961	72258379	72258462	64	208,319,280	19,20,19	238,296,279	12,22,11	162	149	0.212516926702	0.730958740086853	0.91,0.936,0.931	0.948,0.925,0.959	-0.018
65	"ENSMUSG00000015217"	"Hmgb3"	chrX	+	70601658	70601813	70601662	70601813	70599533	70599796	65	164,121,170	3,0,6	200,230,187	3,2,6	153	149	0.905095442072	1.0	0.982,1.0,0.965	0.985,0.991,0.968	0.001
66	"ENSMUSG00000015217"	"Hmgb3"	chrX	+	70601658	70601813	70601662	70601813	70599595	70599843	66	7,17,14	0,1,0	4,2,13	0,0,0	153	149	1	1.0	1.0,0.943,1.0	1.0,1.0,1.0	-0.019
67	"ENSMUSG00000015217"	"Hmgb3"	chrX	+	70601658	70601813	70601662	70601813	70600551	70600714	67	4,5,4	1,0,0	4,11,4	0,0,0	153	149	1	1.0	0.796,1.0,1.0	1.0,1.0,1.0	-0.068
70	"ENSMUSG00000054626"	"Xlr"	chrX	-	52798109	52798235	52798109	52798187	52799590	52799673	70	131,206,145	26,27,15	107,85,91	9,8,12	197	149	0.141449731967	0.5673002896932752	0.792,0.852,0.88	0.9,0.889,0.852	-0.039
71	"ENSMUSG00000054626"	"Xlr"	chrX	-	52798109	52798235	52798109	52798187	52799598	52799663	71	422,569,468	349,417,328	281,380,277	256,292,259	197	149	0.169801985086	0.6406310844376776	0.478,0.508,0.519	0.454,0.496,0.447	0.036
73	"ENSMUSG00000036916"	"Zfp280c"	chrX	-	47667256	47667433	47667256	47667406	47677579	47677626	73	116,114,136	130,99,122	69,73,74	53,104,78	176	149	0.540790427749	1.0	0.43,0.494,0.486	0.524,0.373,0.445	0.023
74	"ENSMUSG00000036916"	"Zfp280c"	chrX	-	47667256	47667433	47667256	47667406	47680549	47680638	74	13,9,14	9,2,0	15,6,11	0,0,3	176	149	0.0126952290776	0.11479959285556238	0.55,0.792,1.0	1.0,1.0,0.756	-0.138
75	"ENSMUSG00000031095"	"Cul4b"	chrX	-	37634372	37634493	37634372	37634477	37635568	37635761	75	0,0,0	276,339,359	1,0,0	204,191,214	165	149	1	1.0	0.0,0.0,0.0	0.004,0.0,0.0	-0.001
76	"ENSMUSG00000016308"	"Ube2a"	chrX	+	36146251	36146340	36146260	36146340	36145309	36145399	76	543,518,480	0,3,1	549,673,518	1,0,0	158	149	1	1.0	1.0,0.994,0.998	0.998,1.0,1.0	-0.002
77	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926767	20926741	20926762	20928132	20928242	77	1,1,0	0,0,0	0,0,0	0,1,0	154	149	1	1.0	1.0,1.0,NA	NA,0.0,NA	1.0
78	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926767	20926741	20926762	20928176	20928291	78	3,6,9	0,0,0	0,2,0	0,0,6	154	149	1	1.0	1.0,1.0,1.0	NA,1.0,0.0	0.5
79	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926762	20928176	20928291	79	87,94,122	0,0,0	31,30,55	0,0,6	183	149	0.114601254052	0.4908831044008745	1.0,1.0,1.0	1.0,1.0,0.882	0.039
80	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926767	20928176	20928291	80	86,94,122	2,6,9	31,30,55	0,2,0	178	149	0.002237120981	0.033430423699124294	0.973,0.929,0.919	1.0,0.926,1.0	-0.035
81	"ENSMUSG00000001127"	"Araf"	chrX	+	20724980	20725112	20725004	20725112	20724632	20724751	81	306,249,305	1,5,5	390,480,412	6,28,7	173	149	0.00171168139569	0.02829623307250031	0.996,0.977,0.981	0.982,0.937,0.981	0.018
82	"ENSMUSG00000031066"	"Usp11"	chrX	+	20578564	20579221	20579075	20579221	20578268	20578399	82	334,353,294	0,2,2	480,564,411	0,0,3	660	149	1	1.0	1.0,0.976,0.971	1.0,1.0,0.969	-0.007
84	"ENSMUSG00000008035"	"Mid1ip1"	chrX	+	10584222	10585929	10584225	10585929	10583628	10583943	84	379,421,378	1452,1578,1459	452,577,442	1954,2178,1841	152	149	0.476361081969	1.0	0.204,0.207,0.203	0.185,0.206,0.191	0.011
85	"ENSMUSG00000031169"	"Porcn"	chrX	-	8070434	8070627	8070434	8070556	8071803	8071972	85	35,37,42	3,2,0	73,94,68	3,0,0	220	149	0.18339942142	0.6709425583069156	0.888,0.926,1.0	0.943,1.0,1.0	-0.043
86	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8009485	8009571	8009485	8009568	8009896	8009990	86	3735,3908,4206	2772,3410,3487	5946,5714,4664	4315,4355,3576	152	149	0.347933520876	0.9531684751082548	0.569,0.529,0.542	0.575,0.563,0.561	-0.02
