ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	23058,22752,22325	1,0,0	16638,22837,19968	3,0,4	1093	149
1	20937,20542,20111	0,0,0	15060,20677,17916	4,0,5	1093	149
2	4172,4483,4486	0,0,0	3095,4419,3479	4,0,5	296	149
3	6299,6697,6711	7,4,11	4679,6603,5533	9,24,6	296	149
4	7353,7574,7625	751,753,855	4955,8148,6428	546,643,579	315	149
5	3917,4194,4254	656,759,848	2764,4352,3407	855,1016,938	315	149
6	6705,6801,7178	656,759,848	4430,6978,6131	855,1016,938	421	149
7	9560,9596,9854	162,168,160	6234,10251,8699	159,120,126	421	149
168	328,343,367	0,0,1	472,605,419	0,0,0	234	149
169	801,755,832	0,0,0	1372,1464,985	0,5,0	308	149
170	1059,1091,1056	0,0,1	1959,1998,1456	1,0,0	275	149
171	364,351,360	3,0,0	659,708,524	0,0,0	275	149
172	309,335,297	3,0,0	601,540,465	0,0,0	241	149
173	957,1020,933	0,2,1	1793,1741,1346	1,5,4	241	149
174	211,187,160	259,316,269	290,277,267	601,558,469	232	149
176	493,508,565	0,1,1	638,656,458	0,2,0	309	149
177	535,629,677	2,0,2	744,632,533	3,0,0	274	149
182	152,160,194	2,4,2	202,292,212	0,12,7	269	149
183	264,281,307	529,510,567	334,454,368	653,700,610	269	149
184	5,7,4	529,510,567	0,23,7	653,700,610	296	149
185	3,3,3	112,121,114	0,13,0	132,164,156	296	149
186	1248,1155,1287	1,0,0	1391,1553,1490	0,0,0	336	149
187	938,1162,1035	4,0,0	1214,1362,1128	0,0,0	321	149
188	0,1,0	0,0,0	0,0,0	0,2,0	223	149
189	573,681,559	0,1,0	745,818,646	0,0,0	215	149
190	17,20,32	318,371,314	32,47,32	368,448,323	240	149
191	369,360,309	0,0,0	517,590,495	0,8,5	384	149
192	386,373,314	11,22,21	568,638,515	20,37,12	384	149
193	78,54,58	11,22,21	55,73,78	20,37,12	258	149
194	180,140,150	126,110,109	158,184,194	254,311,217	258	149
195	998,975,958	8,0,1	1400,1774,1348	0,0,1	606	149
196	505,581,573	8,0,1	760,954,765	0,0,1	513	149
203	38,53,36	0,0,3	21,29,23	0,0,0	282	149
204	172,206,227	0,2,0	163,195,157	0,0,0	282	149
205	41,44,38	0,0,2	36,26,34	0,0,0	375	149
206	374,451,395	0,2,0	618,674,576	0,0,0	278	149
207	777,921,879	11,26,22	1255,1263,1241	25,34,19	278	149
208	171,189,144	0,1,0	266,254,240	0,0,0	242	149
209	918,969,964	5,7,0	1340,1273,1134	1,6,0	233	149
210	496,562,534	0,0,0	756,690,651	1,0,2	356	149
211	9,2,0	424,479,456	2,0,3	633,540,548	267	149
212	637,700,716	2,1,0	977,826,819	0,0,0	234	149
213	371,424,382	0,5,0	522,487,434	0,4,0	234	149
214	79,89,98	0,5,0	102,70,108	0,4,0	194	149
215	360,377,442	18,13,10	575,419,499	22,10,9	194	149
216	401,431,513	2,0,0	616,535,569	0,0,0	232	149
218	194,196,209	1,2,0	244,301,228	5,0,2	259	149
219	116,81,104	2,0,3	112,148,113	0,0,2	259	149
220	92,93,87	2,0,3	101,153,88	0,0,2	205	149
221	171,206,194	0,0,2	228,309,202	0,0,0	205	149
222	377,413,408	1,0,1	344,437,336	1,0,0	297	149
223	377,413,408	0,1,0	344,436,335	0,1,0	297	149
224	486,495,484	0,0,0	382,456,372	0,2,1	208	149
225	144,145,128	0,0,0	106,156,118	0,1,0	208	149
226	279,338,348	0,1,0	223,267,249	0,1,0	298	149
227	278,338,347	0,0,0	222,269,250	0,1,0	298	149
228	624,690,703	4,2,0	500,567,506	1,0,3	298	149
229	429,491,433	0,0,1	356,474,403	0,0,0	289	149
230	744,833,790	0,0,4	626,808,693	0,0,0	223	149
231	310,312,268	4,0,0	237,322,234	0,0,0	223	149
232	214,274,307	4,0,0	232,192,198	0,0,0	216	149
233	650,800,827	0,2,0	622,678,666	0,0,0	216	149
234	540,614,528	1,0,0	477,578,552	0,0,0	268	149
235	6,3,7	0,1,3	0,0,0	0,0,2	203	149
237	101,101,128	3,3,8	98,127,127	9,14,2	307	149
238	93,107,143	3,3,8	102,140,151	9,14,2	301	149
239	107,193,141	0,0,0	176,221,177	1,0,0	318	149
240	89,121,131	3,1,0	118,159,94	2,0,0	230	149
242	148,127,152	5,0,0	125,167,147	0,0,0	203	149
243	90,95,100	0,2,0	105,156,133	0,0,2	257	149
245	134,146,116	2,1,0	132,250,160	1,0,2	203	149
246	71,90,76	3,0,3	95,146,101	6,0,2	352	149
247	196,231,179	3,0,3	203,359,227	6,0,2	350	149
248	1035,1328,1269	4,5,6	1414,2098,1706	5,1,3	226	149
249	378,500,489	0,0,1	483,694,636	0,0,0	226	149
250	1460,1545,1868	0,0,1	1595,2432,2194	0,0,0	773	149
