ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667
2	"ENSMUSG00000121329"	"ENSMUSG00000121329"	chrY	+	66387173	66387304	66388701	66388885	66385254	66385302	66389400	66389470
3	"ENSMUSG00000121343"	"Gm21679"	chrY	-	29627183	29627250	29638606	29638738	29626600	29626635	29639922	29639954
4	"ENSMUSG00000121343"	"Gm21679"	chrY	-	29627183	29627250	29638606	29638741	29626600	29626635	29639922	29639954
5	"ENSMUSG00000121343"	"Gm21679"	chrY	-	29628980	29629048	29638606	29638738	29627183	29627250	29639922	29639954
6	"ENSMUSG00000035299"	"Mid1"	chrX	+	168583735	168583788	168709949	168710665	168468194	168468368	168749058	168749154
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239
8	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820
9	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163211535	163211668	163205579	163205982	163211806	163212013
10	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163083219	163083426	163054598	163054727	163113010	163113095
11	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163125469	163125514	163083219	163083426	163141143	163141226
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163141143	163141226	163113010	163113095	163152041	163152108
13	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162723114	162723170	162718438	162719961	162726095	162726309
14	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642294	161642442	161646055	161646204	161640052	161641004	161655510	161655650
15	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650
16	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665675	161665742	161655510	161655650	161665963	161666082
17	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665963	161666082	161655510	161655650	161671064	161671443
18	"ENSMUSG00000031295"	"Phka2"	chrX	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374137
19	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158331234	158331311	158334746	158335370	158315663	158315831	158336239	158336890
20	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158338470	158338646	158340438	158340553	158336239	158336890	158341330	158341394
