"paper_EVENT","paper_GENE","paper_LENGTH","paper_TIER","match_type","Comparison","EventType","GeneSymbol","exon_length","DeltaPSI","FDR","Chromosome","Strand","exonStart_0base","exonEnd","n_candidates","multi_locus"
"HsaEX1012413","DST",15,"CR","gene+length","Pos_vs_Parental","SE","Dst",18,-0.162,0,"chr1","+",34335822,34335840,1,FALSE
"HsaEX6024969","EXOC7",42,"CS","gene+length","Neg_vs_Parental","SE","Exoc7",39,0.169,2.46650849294221e-07,"chr11","-",116184100,116184139,1,FALSE
"HsaEX0042009","NCKAP1",18,"HS","gene+length","Pos_vs_Parental","SE","Nckap1",18,-0.142,0,"chr2","-",80401556,80401574,1,FALSE
"HsaEX0004127","ANK2",12,"LS","gene+length","Neg_vs_Parental","SE","Ank2",12,0.138,0.00303344410374097,"chr3","-",126772904,126772916,1,FALSE
"HsaEX0004127","ANK2",12,"LS","gene+length","KO_vs_Parental","SE","Ank2",12,-0.184,0.00608290220861478,"chr3","-",126772904,126772916,1,FALSE
"HsaEX0061640","SRC",18,"LS","gene+length","Neg_vs_Parental","SE","Src",18,0.119,0.042033003448259,"chr2","+",157300762,157300780,1,FALSE
"HsaEX0061551","SPTAN1",15,"HS","gene+length","Pos_vs_Parental","SE","Sptan1",15,-0.216,0,"chr2","+",29904169,29904184,1,FALSE
"HsaEX0044638","TENM3",27,"HS","gene+length","Neg_vs_Parental","SE","Tenm3",27,0.204,0.0346103153099895,"chr8","-",48766272,48766299,1,FALSE
"HsaEX0044638","TENM3",27,"HS","gene+length","Pos_vs_Parental","SE","Tenm3",27,-0.107,0.000820526485570748,"chr8","-",48766272,48766299,1,FALSE
"HsaEX0006966","ATP6V0A1",18,"HS","gene+length","Pos_vs_Parental","SE","Atp6v0a1",18,-0.134,0,"chr11","+",100940284,100940302,1,FALSE
"HsaEX0051317","PUS7",18,"HS","gene+length","Neg_vs_Parental","SE","Pus7",18,0.11,0.00249790685408837,"chr5","-",23968331,23968349,1,FALSE
"HsaEX0051317","PUS7",18,"HS","gene+length","KO_vs_Parental","SE","Pus7",18,-0.241,1.1887568555073e-12,"chr5","-",23968331,23968349,1,FALSE
"HsaEX0058023","SH3GLB1",24,"HS","gene+length","KO_vs_Parental","SE","Sh3glb1",24,-0.128,3.70255676578016e-09,"chr3","-",144405614,144405638,1,FALSE
"HsaEX0058023","SH3GLB1",24,"HS","gene+length","Pos_vs_Parental","SE","Sh3glb1",24,-0.208,0,"chr3","-",144405614,144405638,1,FALSE
"HsaEX0067208","TRIM9",24,"HS","gene+length","Pos_vs_Parental","SE","Trim9",24,0.3,0.0126767727515466,"chr12","-",70298793,70298817,1,FALSE
"HsaEX0051667","RAB3GAP1",21,"LS","gene+length","Neg_vs_Parental","SE","Rab3gap1",21,0.191,7.9279837253698e-07,"chr1","+",127869330,127869351,1,FALSE
"HsaEX0061917","SSR1",15,"HS","gene+length","Neg_vs_Parental","SE","Ssr1",15,0.156,2.10734500767394e-08,"chr13","-",38167070,38167085,1,FALSE
"HsaEX0061917","SSR1",15,"HS","gene+length","KO_vs_Parental","SE","Ssr1",15,-0.108,0.00103622076099931,"chr13","-",38167070,38167085,1,FALSE
"HsaEX0013372","BICDL1",12,"LS","gene+length","Neg_vs_Parental","SE","Bicdl1",12,0.126,2.96143813022664e-09,"chr5","-",115810202,115810214,1,FALSE
"HsaEX0060805","SNX14",27,"HS","gene+length","Pos_vs_Parental","SE","Snx14",27,-0.115,2.53532237938914e-13,"chr9","-",88282775,88282802,1,FALSE
"HsaEX0004145","ANK3",12,"LS","gene+length","Neg_vs_Parental","SE","Ank3",12,0.251,0.00548380560396285,"chr10","+",69765276,69765288,1,FALSE
"HsaEX0070740","VTI1A",21,"HS","gene+length","Neg_vs_Parental","SE","Vti1a",21,0.293,0.0119092933064956,"chr19","+",55375620,55375641,2,FALSE
"HsaEX0070740","VTI1A",21,"HS","gene+length","KO_vs_Parental","SE","Vti1a",21,0.133,0.028565428913202,"chr19","+",55375620,55375641,1,FALSE
"HsaEX0070740","VTI1A",21,"HS","gene+length","Pos_vs_Parental","SE","Vti1a",21,0.171,0.000231369095081125,"chr19","+",55375620,55375641,1,FALSE
"HsaEX0052287","RAPGEF6",15,"HS","gene+length","Neg_vs_Parental","SE","Rapgef6",15,0.211,0.000564883834454027,"chr11","+",54542574,54542589,1,FALSE
"HsaEX0044642","TENM3",21,"HS","gene+length","Neg_vs_Parental","SE","Tenm3",21,0.191,3.21771505736489e-10,"chr8","-",48740167,48740188,1,FALSE
"HsaEX0034475","KIF1B",18,"HS","gene+length","Pos_vs_Parental","SE","Kif1b",18,-0.122,0,"chr4","-",149349801,149349819,1,FALSE
"HsaEX0037980","MAST2",21,"HS","gene+length","Neg_vs_Parental","SE","Mast2",21,0.248,0,"chr4","-",116190609,116190630,1,FALSE
"HsaEX0023428","EXOC1",21,"LS","gene+length","Neg_vs_Parental","SE","Exoc1",21,0.252,1.58910376195037e-06,"chr5","+",76688593,76688614,1,FALSE
"HsaEX0023428","EXOC1",21,"LS","gene+length","Pos_vs_Parental","SE","Exoc1",21,0.186,0.00143974915000025,"chr5","+",76688593,76688614,1,FALSE
"HsaEX0016976","CPEB4",24,"HS","gene+length","Neg_vs_Parental","SE","Cpeb4",24,0.103,1.13081564246697e-05,"chr11","+",31868800,31868824,2,FALSE
"HsaEX0016976","CPEB4",24,"HS","gene+length","KO_vs_Parental","SE","Cpeb4",24,0.122,0.0124957994528287,"chr11","+",31868800,31868824,1,FALSE
"HsaEX0036234","ADGRL2",12,"HS","gene+length","Neg_vs_Parental","SE","Adgrl2",12,0.142,8.24021668515075e-05,"chr3","-",148566062,148566074,1,FALSE
"HsaEX0036234","ADGRL2",12,"HS","gene+length","KO_vs_Parental","SE","Adgrl2",12,-0.2,2.75212031095613e-05,"chr3","-",148566062,148566074,1,FALSE
"HsaEX0036234","ADGRL2",12,"HS","gene+length","Pos_vs_Parental","SE","Adgrl2",12,-0.116,0.00343523606591965,"chr3","-",148566062,148566074,1,FALSE
"HsaEX0012545","CASK",18,"HS","gene+length","Neg_vs_Parental","SE","Cask",18,0.169,0,"chrX","-",13462924,13462942,1,FALSE
"HsaEX0025270","FBXO25",27,"LS","gene+length","KO_vs_Parental","SE","Fbxo25",27,-0.151,1.79479908582424e-09,"chr8","+",13988921,13988948,1,FALSE
"HsaEX0058029","SH3GLB2",15,"HS","gene+length","Neg_vs_Parental","SE","Sh3glb2",12,0.228,1.00380021755475e-13,"chr2","-",30239237,30239249,1,TRUE
"HsaEX0058029","SH3GLB2",15,"HS","gene+length","KO_vs_Parental","SE","Sh3glb2",12,-0.102,8.35987223704826e-05,"chr2","-",30239237,30239249,1,TRUE
"HsaEX0058029","SH3GLB2",15,"HS","gene+length","Pos_vs_Parental","SE","Sh3glb2",15,-0.128,0,"chr2","-",30236070,30236085,1,TRUE
"HsaEX0066242","TNIK",24,"LS","gene+length","Neg_vs_Parental","SE","Tnik",24,0.176,3.79978041575934e-08,"chr3","+",28679347,28679371,1,FALSE
"HsaEX0066242","TNIK",24,"LS","gene+length","Pos_vs_Parental","SE","Tnik",24,0.111,0.00674559213125424,"chr3","+",28679347,28679371,1,FALSE
"HsaEX0063208","SYNJ1",24,"HS","gene+length","Pos_vs_Parental","SE","Synj1",24,-0.1,2.93604005525419e-05,"chr16","-",90768451,90768475,1,FALSE
"HsaEX0035450","CERS6",24,"HS","gene+length","Pos_vs_Parental","SE","Cers6",24,-0.146,0.00015261431686225,"chr2","+",68936086,68936110,1,FALSE
"HsaEX0003157","AGRN",24,"LS","gene+length","Neg_vs_Parental","SE","Agrn",24,0.323,0.00409956888691432,"chr4","-",156253002,156253026,1,FALSE
"HsaEX0013877","CD47",25,"LS","gene+length","Pos_vs_Parental","SE","Cd47",25,-0.137,1.9594570408698e-08,"chr16","+",49728416,49728441,1,FALSE
"HsaEX0018764","DCTN1",15,"HS","gene+length","Neg_vs_Parental","MXE","Dctn1",18,0.272,0.00539272644434666,"chr6","+",NA,NA,1,TRUE
"HsaEX0018764","DCTN1",15,"HS","gene+length","KO_vs_Parental","SE","Dctn1",15,-0.134,2.90781419855577e-06,"chr6","+",83174300,83174315,2,TRUE
"HsaEX0018764","DCTN1",15,"HS","gene+length","Pos_vs_Parental","SE","Dctn1",15,-0.117,2.54634701482315e-07,"chr6","+",83174300,83174315,1,TRUE
"HsaEX0028492","GRAMD1A",12,"HS","gene+length","Neg_vs_Parental","SE","Gramd1a",12,0.183,0,"chr7","-",30832644,30832656,1,FALSE
"HsaEX0045196","PACSIN2",6,"HS","gene+length","Neg_vs_Parental","SE","Pacsin2",6,0.132,1.47590581058568e-08,"chr15","-",83267823,83267829,1,FALSE
"HsaEX0045196","PACSIN2",6,"HS","gene+length","KO_vs_Parental","SE","Pacsin2",6,-0.127,2.68699662676668e-06,"chr15","-",83267823,83267829,1,FALSE
"HsaEX0045196","PACSIN2",6,"HS","gene+length","Pos_vs_Parental","SE","Pacsin2",6,-0.13,4.78678250710644e-06,"chr15","-",83267823,83267829,1,FALSE
"HsaEX0023051","ERGIC3",15,"HS","gene+length","Neg_vs_Parental","SE","Ergic3",15,0.169,0,"chr2","+",155857296,155857311,1,FALSE
"HsaEX0023051","ERGIC3",15,"HS","gene+length","KO_vs_Parental","SE","Ergic3",15,-0.123,1.68970967297462e-05,"chr2","+",155857296,155857311,1,FALSE
"HsaEX0027514","GIT2",6,"HS","gene+length","Pos_vs_Parental","SE","Git2",6,-0.133,0,"chr5","-",114891208,114891214,2,FALSE
"HsaEX0042574","NSMF",6,"HS","gene+length","Neg_vs_Parental","MXE","Nsmf",6,0.141,0.0275405228459169,"chr2","+",NA,NA,1,FALSE
"HsaEX0005055","APBB1",4,"HS","gene+length","Pos_vs_Parental","SE","Apbb1",6,-0.102,0,"chr7","-",105215152,105215158,1,FALSE
"HsaEX0050522","PSAP",6,"HS","gene+length","KO_vs_Parental","SE","Psap",9,-0.169,0,"chr10","+",60133316,60133325,1,FALSE
"HsaEX0050522","PSAP",6,"HS","gene+length","Pos_vs_Parental","SE","Psap",9,-0.129,6.82779603057641e-11,"chr10","+",60133316,60133325,1,FALSE
"HsaEX0061188","SPAG9",15,"HS","gene+length","Neg_vs_Parental","SE","Spag9",12,0.1,0.00021566047063013,"chr11","+",93970024,93970036,2,TRUE
"HsaEX0061188","SPAG9",15,"HS","gene+length","Pos_vs_Parental","SE","Spag9",15,0.168,0.0320554566746996,"chr11","+",93971565,93971580,1,TRUE
"HsaEX0049811","PPP6R3",18,"LS","gene+length","Neg_vs_Parental","SE","Ppp6r3",18,0.211,0,"chr19","-",3509746,3509764,1,FALSE
"HsaEX0018777","DCTN4",21,"HS","gene+length","Neg_vs_Parental","SE","Dctn4",21,0.164,2.36488905850054e-07,"chr18","+",60678428,60678449,1,FALSE
"HsaEX0006155","ASAP1",9,"HS","gene+length","Pos_vs_Parental","SE","Asap1",9,-0.105,3.36458407431524e-12,"chr15","-",64025692,64025701,2,FALSE
"HsaEX0072774","ZFYVE27",21,"LS","gene+length","Neg_vs_Parental","SE","Zfyve27",21,0.131,0.0409838238074037,"chr19","+",42174058,42174079,1,FALSE
"HsaEX0038690","MEF2A",24,"LS","gene+length","Pos_vs_Parental","SE","Mef2a",24,-0.188,3.82827506342898e-06,"chr7","-",66894268,66894292,1,FALSE
"HsaEX1036077","SBF1",24,"LS","gene+length","Neg_vs_Parental","SE","Sbf1",24,0.134,0,"chr15","-",89191374,89191398,1,FALSE
"HsaEX0037214","MADD",9,"HS","gene+length","Neg_vs_Parental","SE","Madd",9,0.143,0.000297928868703475,"chr2","-",90971153,90971162,1,FALSE
"HsaEX0037214","MADD",9,"HS","gene+length","KO_vs_Parental","SE","Madd",9,-0.119,0.00165392342550515,"chr2","-",90971153,90971162,1,FALSE
"HsaEX0043752","NRBP1",24,"LS","gene+length","Neg_vs_Parental","SE","Nrbp1",24,0.114,1.54455389076641e-06,"chr5","+",31403665,31403689,1,FALSE
"HsaEX0049337","PPFIA1",27,"LS","gene+length","Neg_vs_Parental","SE","Ppfia1",30,0.265,7.93719172020803e-12,"chr7","-",144056603,144056633,1,TRUE
"HsaEX0049337","PPFIA1",27,"LS","gene+length","KO_vs_Parental","SE","Ppfia1",27,-0.354,0.000102816352853368,"chr7","-",144042427,144042454,2,TRUE
"HsaEX0049337","PPFIA1",27,"LS","gene+length","Pos_vs_Parental","SE","Ppfia1",27,-0.245,3.10346821548892e-05,"chr7","-",144042427,144042454,2,TRUE
"HsaEX0058030","SH3GLB2",12,"LS","gene+length","Neg_vs_Parental","SE","Sh3glb2",12,0.228,1.00380021755475e-13,"chr2","-",30239237,30239249,1,TRUE
"HsaEX0058030","SH3GLB2",12,"LS","gene+length","KO_vs_Parental","SE","Sh3glb2",12,-0.102,8.35987223704826e-05,"chr2","-",30239237,30239249,1,TRUE
"HsaEX0058030","SH3GLB2",12,"LS","gene+length","Pos_vs_Parental","SE","Sh3glb2",15,-0.128,0,"chr2","-",30236070,30236085,1,TRUE
