"event","gene","VastDB.ID","chrom_mm39","strand","start_mm39","end_mm39","exon_size","srrm3_dPSI","srrm4_dPSI","match_type","n_rmats_candidates","rmats_id","rmats_gene","rmats_chr","rmats_start","rmats_end","rmats_exon_size","rmats_dPSI","rmats_FDR","rmats_PValue"
"Acap2.E1","Acap2","MmuEX0003401","chr16","-",30948432,30948443,12,-0.0189,-0.3192,"gene_name",1,5397,"Acap2","chr16",30941439,30941459,21,0.013,0.730855649252844,0.105122809191
"Acbd5.E1","Acbd5","MmuEX0003422","chr2","+",22970680,22970712,33,-0.2456,-0.3956,"coordinate",1,25771,"Acbd5","chr2",22970680,22970712,33,0.171,1.77638802543842e-12,2.77555756156e-15
"Ank2.E1","Ank2","MmuEX0004898","chr3","-",126772905,126772916,12,0.1067,NA,"coordinate",2,24013,"Ank2","chr3",126772905,126772916,12,0.138,0.00303344410374097,8.01484063856e-05
"Csnk1g3.E1","Csnk1g3","MmuEX0012941","chr18","+",54081717,54081740,24,-0.0607,-0.0533,"coordinate",1,2284,"Csnk1g3","chr18",54081717,54081740,24,-0.008,0.304016412992471,0.0311376512596
"Dennd5a.E1","Dennd5a","MmuEX0014295","chr7","-",109534689,109534760,72,0.0336,0.112,"coordinate",1,55026,"Dennd5a","chr7",109534689,109534760,72,-0.001,1,0.945387214137
"Dock7.E1","Dock7","MmuEX0015458","chr4","-",98881884,98881973,90,-0.0383,-0.2379,"coordinate",2,31505,"Dock7","chr4",98881884,98881973,90,0.011,1,1
"Ergic3.E1","Ergic3","MmuEX0017296","chr2","+",155857297,155857311,15,-0.2154,NA,"coordinate",1,48959,"Ergic3","chr2",155857297,155857311,15,0.169,0,0
"Herc4.E1","Herc4","MmuEX0022805","chr10","+",63139624,63139647,24,-0.0599,-0.4534,"coordinate",1,63726,"Herc4","chr10",63139624,63139647,24,0.033,0.297464051734033,0.0301778764975
"Kif1b.E1","Kif1b","MmuEX0025502","chr4","-",149349802,149349819,18,-0.1758,-0.7615,"coordinate",1,44151,"Kif1b","chr4",149349802,149349819,18,0.002,1,1
"Kifap3.E1","Kifap3","MmuEX0025623","chr1","+",163739641,163739706,66,0.0073,0.0153,"coordinate",1,53344,"Kifap3","chr1",163739641,163739706,66,-0.024,1,0.267509052831
"Kifc3.E1","Kifc3","MmuEX0025635","chr8","-",95827275,95827301,27,0.0072,0.0748,"coordinate",1,58755,"Kifc3","chr8",95827275,95827301,27,-0.004,1,1
"Madd.E1","Madd","MmuEX0027516","chr2","-",90990662,90990715,54,-0.13,-0.1692,"coordinate",1,41059,"Madd","chr2",90990662,90990715,54,0.065,0.0415080542671209,0.00218904504869
"Med24.E1","Med24","MmuEX0028537","chr11","-",98608535,98608591,57,-0.1116,-0.1998,"coordinate",1,13951,"Med24","chr11",98608535,98608591,57,0.179,0,0
"Mef2d.E1","Mef2d","MmuEX0028570","chr3","+",88069088,88069108,21,-0.2158,-0.3272,"coordinate",1,38193,"Mef2d","chr3",88069088,88069108,21,0.06,1.62145856741182e-10,3.55826479392e-13
"Numa1.E1","Numa1","MmuEX0032644","chr7","+",101651502,101651543,42,0.0515,0.1798,"coordinate",1,54457,"Numa1","chr7",101651502,101651543,42,-0.012,0.956615436514122,0.154685470355
"Pacsin2.E1","Pacsin2","MmuEX0033442","chr15","-",83263885,83264007,123,0.0501,0.0597,"coordinate",1,30715,"Pacsin2","chr15",83263885,83264007,123,-0.003,1,0.225377696152
"Pbrm1.E2","Pbrm1","MmuEX0033844","chr14","+",30745024,30745136,113,0.0025,0.0124,"coordinate",6,17164,"Pbrm1","chr14",30745024,30745127,104,-0.069,0.177360627079377,0.0150112459955
"Ptbp2.E1","Ptbp2","MmuEX0037640","chr3","-",119518261,119518294,34,-0.0204,-9e-04,"coordinate",1,52302,"Ptbp2","chr3",119518261,119518294,34,0.037,0.0465709343377906,0.00254108010607
"Rnf114.E4","Rnf114","MmuEX0039988","chr2","+",167348989,167349117,129,-0.0404,NA,"gene_name",1,38055,"Rnf114","chr2",167354437,167354544,108,0,1,1
"Senp6.E1","Senp6","MmuEX0041679","chr9","+",80006168,80006188,21,-0.0566,-0.3452,"coordinate",2,61493,"Senp6","chr9",80006168,80006188,21,0.058,1,0.388078252472
"Sgce.E1","Sgce","MmuEX0042031","chr6","-",4690469,4690495,27,-0.0238,0.2133,"coordinate",1,15157,"Sgce","chr6",4690469,4690495,27,-0.009,1,0.542942258466
"Trappc9.E1","Trappc9","MmuEX0048796","chr15","-",72914026,72914052,27,0.009,-0.0277,"coordinate",1,43810,"Trappc9","chr15",72914026,72914052,27,0.029,1,0.294227178974
