"paper_event","paper_gene","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","strand","upstreamES","upstreamEE","downstreamES","downstreamEE","IncLevelDifference","FDR"
"Ank2.E1","Ank2","coordinate",2,FALSE,24012,"Ank2","chr3",126772904,126772916,"-",126770493,126770581,126775448,126775593,0.008,1
"Ank2.E1","Ank2","coordinate",2,TRUE,24013,"Ank2","chr3",126772904,126772916,"-",126770493,126770596,126775448,126775593,0.138,0.00303344410374097
"Dock7.E1","Dock7","coordinate",2,TRUE,31505,"Dock7","chr4",98881883,98881973,"-",98879629,98879696,98889269,98889439,0.011,1
"Dock7.E1","Dock7","coordinate",2,FALSE,31506,"Dock7","chr4",98881883,98881973,"-",98880605,98880695,98889269,98889439,-0.006,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17163,"Pbrm1","chr14",30745023,30745127,"+",30741105,30741250,30747454,30747607,0.019,1
"Pbrm1.E2","Pbrm1","coordinate",6,TRUE,17164,"Pbrm1","chr14",30745023,30745127,"+",30741105,30741250,30747457,30747607,-0.069,0.177360627079377
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17165,"Pbrm1","chr14",30745023,30745136,"+",30741133,30741250,30747454,30747607,0.033,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17166,"Pbrm1","chr14",30745023,30745136,"+",30741133,30741250,30747457,30747607,-0.066,0.151645057997842
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17167,"Pbrm1","chr14",30745023,30745136,"+",30744676,30744816,30747454,30747607,0.04,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17168,"Pbrm1","chr14",30745023,30745136,"+",30744676,30744816,30747457,30747607,0.012,1
"Senp6.E1","Senp6","coordinate",2,TRUE,61493,"Senp6","chr9",80006167,80006188,"+",79974217,79974854,80010975,80011046,0.058,1
"Senp6.E1","Senp6","coordinate",2,FALSE,61494,"Senp6","chr9",80006167,80006188,"+",80000818,80000923,80010975,80011046,0.003,1
