"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR","significant","direction"
"chrX:150586751:150586798:150586565:150587441:SE","SE","ENSMUSG00000025261","Huwe1",47,"Small (30-50bp)",0.183,0.00141797295325857,TRUE,"Inclusion (dPSI > 0)"
"chrX:150587441:150587536:150586565:150589267:SE","SE","ENSMUSG00000025261","Huwe1",95,"Regular (>50bp)",-0.103,0.0032201028538228,TRUE,"Exclusion (dPSI < 0)"
"chrX:150587441:150587536:150586565:150589271:SE","SE","ENSMUSG00000025261","Huwe1",95,"Regular (>50bp)",-0.111,0.0180475924478087,TRUE,"Exclusion (dPSI < 0)"
"chrX:132973426:132973513:132973223:132973884:SE","SE","ENSMUSG00000031256","Cstf2",87,"Regular (>50bp)",-0.291,4.17755326674286e-09,TRUE,"Exclusion (dPSI < 0)"
"chrX:132973426:132973513:132973223:132973962:SE","SE","ENSMUSG00000031256","Cstf2",87,"Regular (>50bp)",-0.167,3.0090896213522e-09,TRUE,"Exclusion (dPSI < 0)"
"chrX:102546465:102546798:102540136:102561916:SE","SE","ENSMUSG00000097571","Jpx",333,"Regular (>50bp)",-0.277,0.000837240414902223,TRUE,"Exclusion (dPSI < 0)"
"chrX:84637257:84637360:84619216:84652998:SE","SE","ENSMUSG00000035476","Tab3",103,"Regular (>50bp)",0.119,0.00223357259034471,TRUE,"Inclusion (dPSI > 0)"
"chrX:73332267:73332320:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",53,"Regular (>50bp)",-0.184,2.0346835167399e-08,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332534:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.583,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332534:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.409,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332589:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.575,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332589:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.385,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:13418611:13418680:13417221:13421116:SE","SE","ENSMUSG00000031012","Cask",69,"Regular (>50bp)",0.134,0.000352031808409297,TRUE,"Inclusion (dPSI > 0)"
"chr19:45394983:45395025:45352325:45425775:SE","SE","ENSMUSG00000025217","Btrc",42,"Small (30-50bp)",0.152,0.000417580588114848,TRUE,"Inclusion (dPSI > 0)"
"chr19:45394983:45395025:45352713:45444971:SE","SE","ENSMUSG00000025217","Btrc",42,"Small (30-50bp)",-0.432,2.04205695922085e-08,TRUE,"Exclusion (dPSI < 0)"
"chr19:45411571:45411679:45352713:45444971:SE","SE","ENSMUSG00000025217","Btrc",108,"Regular (>50bp)",-0.135,1.08455768614005e-10,TRUE,"Exclusion (dPSI < 0)"
"chr19:41516999:41517079:41472039:41540887:SE","SE","ENSMUSG00000025019","Lcor",80,"Regular (>50bp)",0.187,0.00443076990762749,TRUE,"Inclusion (dPSI > 0)"
"chr19:7318532:7318619:7268147:7319131:SE","SE","ENSMUSG00000024969","Mark2",87,"Regular (>50bp)",0.229,2.76720938440938e-10,TRUE,"Inclusion (dPSI > 0)"
"chr19:5770999:5771035:5770905:5771469:SE","SE","ENSMUSG00000024937","Ehbp1l1",36,"Small (30-50bp)",-0.13,0.0450993558037683,TRUE,"Exclusion (dPSI < 0)"
"chr19:4317774:4318002:4316665:4318572:SE","SE","ENSMUSG00000034616","Ssh3",228,"Regular (>50bp)",-0.213,0.000151679272847905,TRUE,"Exclusion (dPSI < 0)"
"chr19:4317774:4318006:4316665:4318572:SE","SE","ENSMUSG00000034616","Ssh3",232,"Regular (>50bp)",-0.136,0.000226511019656802,TRUE,"Exclusion (dPSI < 0)"
"chr18:80315676:80315730:80306768:80334790:SE","SE","ENSMUSG00000034006","Slc66a2",54,"Regular (>50bp)",-0.167,0.00077265808175684,TRUE,"Exclusion (dPSI < 0)"
"chr18:61938707:61938715:61938217:61939457:SE","SE","ENSMUSG00000032735","Ablim3",8,"Microexon (0-30bp)",-0.145,0.00680940737724422,TRUE,"Exclusion (dPSI < 0)"
"chr19:27814806:27814881:27808192:27827110:SE","SE","ENSMUSG00000040929","Rfx3",75,"Regular (>50bp)",0.119,0.00474831131659103,TRUE,"Inclusion (dPSI > 0)"
"chr19:27960253:27960346:27878303:27988371:SE","SE","ENSMUSG00000040929","Rfx3",93,"Regular (>50bp)",0.134,0.00273950414669109,TRUE,"Inclusion (dPSI > 0)"
"chr18:38430518:38430628:38429851:38433481:SE","SE","ENSMUSG00000060450","Rnf14",110,"Regular (>50bp)",-0.153,0.00938677907683888,TRUE,"Exclusion (dPSI < 0)"
"chr18:38433481:38433643:38429851:38446264:SE","SE","ENSMUSG00000060450","Rnf14",162,"Regular (>50bp)",-0.194,6.58023709806906e-05,TRUE,"Exclusion (dPSI < 0)"
"chr18:38440917:38441448:38429851:38446264:SE","SE","ENSMUSG00000060450","Rnf14",531,"Regular (>50bp)",-0.356,3.23092100273464e-07,TRUE,"Exclusion (dPSI < 0)"
"chr18:35733097:35733170:35731812:35741790:SE","SE","ENSMUSG00000037058","Paip2",73,"Regular (>50bp)",0.46,4.65296209505786e-08,TRUE,"Inclusion (dPSI > 0)"
"chr18:35733097:35733170:35731812:35746375:SE","SE","ENSMUSG00000037058","Paip2",73,"Regular (>50bp)",0.236,0.00308228547105595,TRUE,"Inclusion (dPSI > 0)"
"chr18:35741790:35741872:35731812:35742645:SE","SE","ENSMUSG00000037058","Paip2",82,"Regular (>50bp)",-0.244,0.00201137869817928,TRUE,"Exclusion (dPSI < 0)"
"chr18:35741790:35741872:35733170:35743923:SE","SE","ENSMUSG00000037058","Paip2",82,"Regular (>50bp)",-0.291,0.000109251624230532,TRUE,"Exclusion (dPSI < 0)"
"chr18:35742645:35742726:35733170:35743923:SE","SE","ENSMUSG00000037058","Paip2",81,"Regular (>50bp)",-0.154,0.0143406848407775,TRUE,"Exclusion (dPSI < 0)"
"chr18:35695947:35696153:35695312:35704895:SE","SE","ENSMUSG00000037236","Matr3",206,"Regular (>50bp)",0.11,7.9989984690331e-05,TRUE,"Inclusion (dPSI > 0)"
"chr18:35625911:35626019:35571433:35626197:SE","SE","ENSMUSG00000024357","Sil1",108,"Regular (>50bp)",-0.203,0.0235341333076469,TRUE,"Exclusion (dPSI < 0)"
"chr18:32563802:32563910:32562776:32565035:SE","SE","ENSMUSG00000024381","Bin1",108,"Regular (>50bp)",-0.168,5.60443015233383e-05,TRUE,"Exclusion (dPSI < 0)"
"chr18:6115813:6115850:6070091:6135803:SE","SE","ENSMUSG00000041225","Arhgap12",37,"Small (30-50bp)",0.116,0.0490154190451444,TRUE,"Inclusion (dPSI > 0)"
"chr17:74901316:74901448:74900244:74901864:SE","SE","ENSMUSG00000024073","Birc6",132,"Regular (>50bp)",-0.121,0.000246892324337427,TRUE,"Exclusion (dPSI < 0)"
"chr17:47291245:47291344:47287016:47291414:SE","SE","ENSMUSG00000023977","Ubr2",99,"Regular (>50bp)",-0.182,9.87495909085995e-09,TRUE,"Exclusion (dPSI < 0)"
"chr17:34819324:34819351:34819111:34819468:SE","SE","ENSMUSG00000015452","Ager",27,"Microexon (0-30bp)",-0.122,0.0171914712868452,TRUE,"Exclusion (dPSI < 0)"
"chr17:33321204:33321331:33311566:33321516:SE","SE","ENSMUSG00000067424","Zfp563",127,"Regular (>50bp)",0.109,0.000151098256343276,TRUE,"Inclusion (dPSI > 0)"
