"metric","value"
"group_name","group3_neg_all_sizes"
"group_label","All sizes"
"total_genes","1151"
"genes_with_sig_pos_events","694"
"genes_without_sig_pos_events","457"
"pct_genes_with_sig_pos","60.3"
"pos_total_sig_events","1265"
"pos_sig_SE","792"
"pos_sig_A3SS","105"
"pos_sig_A5SS","86"
"pos_sig_MXE","111"
"pos_sig_RI","171"
"pos_sig_microexon","54"
"pos_sig_small","74"
"pos_sig_regular","664"
"pos_sig_inclusion","476"
"pos_sig_exclusion","789"
"neg_total_sig_events","1612"
"neg_sig_SE","1034"
"neg_sig_A3SS","128"
"neg_sig_A5SS","93"
"neg_sig_MXE","117"
"neg_sig_RI","240"
"neg_sig_microexon","110"
"neg_sig_small","119"
"neg_sig_regular","805"
"neg_sig_inclusion","757"
"neg_sig_exclusion","855"
