"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR","significant"
"chrX:100584365:100584607:100582793:100586069:SE","SE","ENSMUSG00000031314","Taf1",242,"Regular (>50bp)",-0.006,1,FALSE
"chrX:100584428:100584607:100582793:100586069:SE","SE","ENSMUSG00000031314","Taf1",179,"Regular (>50bp)",-0.012,1,FALSE
"chrX:100586069:100586288:100584607:100586656:SE","SE","ENSMUSG00000031314","Taf1",219,"Regular (>50bp)",-0.003,1,FALSE
"chrX:100587553:100587761:100586875:100590564:SE","SE","ENSMUSG00000031314","Taf1",208,"Regular (>50bp)",-0.001,1,FALSE
"chrX:100605679:100605893:100603550:100606419:SE","SE","ENSMUSG00000031314","Taf1",214,"Regular (>50bp)",0,1,FALSE
"chrX:100634339:100634345:100634195:100637545:SE","SE","ENSMUSG00000031314","Taf1",6,"Microexon (0-30bp)",0.078,0.0191059182691326,FALSE
"chrX:73326323:73326471:73325646:73326877:SE","SE","ENSMUSG00000009995","Tafazzin",148,"Regular (>50bp)",-0.143,0.0949010613471865,FALSE
"chrX:73326877:73327006:73325646:73327253:SE","SE","ENSMUSG00000009995","Tafazzin",129,"Regular (>50bp)",-0.003,1,FALSE
"chrX:73327537:73327623:73327299:73331624:SE","SE","ENSMUSG00000009995","Tafazzin",86,"Regular (>50bp)",0.002,1,FALSE
"chrX:73327537:73327623:73327299:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",86,"Regular (>50bp)",-0.003,1,FALSE
"chrX:73331624:73331705:73327299:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",81,"Regular (>50bp)",-0.003,1,FALSE
"chrX:73331624:73331705:73327623:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",81,"Regular (>50bp)",-0.011,1,FALSE
"chrX:73331627:73331705:73327623:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",78,"Regular (>50bp)",-0.025,0.0778088447265277,FALSE
"chrX:73331783:73331825:73331705:73332056:SE","SE","ENSMUSG00000009995","Tafazzin",42,"Small (30-50bp)",0.002,1,FALSE
"chrX:73331783:73331945:73331705:73332056:SE","SE","ENSMUSG00000009995","Tafazzin",162,"Regular (>50bp)",0.001,1,FALSE
"chrX:73332053:73332119:73331825:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",66,"Regular (>50bp)",-0.018,1,FALSE
