"metric","value"
"group_name","group2_neg_micro_small"
"group_label","Microexon + Small (0-50bp)"
"total_genes","208"
"genes_with_sig_pos_events","115"
"genes_without_sig_pos_events","93"
"pct_genes_with_sig_pos","55.3"
"pos_total_sig_events","213"
"pos_sig_SE","156"
"pos_sig_A3SS","10"
"pos_sig_A5SS","10"
"pos_sig_MXE","27"
"pos_sig_RI","10"
"pos_sig_microexon","36"
"pos_sig_small","59"
"pos_sig_regular","61"
"pos_sig_inclusion","99"
"pos_sig_exclusion","114"
"neg_total_sig_events","334"
"neg_sig_SE","279"
"neg_sig_A3SS","5"
"neg_sig_A5SS","9"
"neg_sig_MXE","34"
"neg_sig_RI","7"
"neg_sig_microexon","110"
"neg_sig_small","119"
"neg_sig_regular","50"
"neg_sig_inclusion","240"
"neg_sig_exclusion","94"
