"paper_event","paper_gene","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","strand","upstreamES","upstreamEE","downstreamES","downstreamEE","IncLevelDifference","FDR"
"Ank2.E1","Ank2","coordinate",2,TRUE,24693,"Ank2","chr3",126772904,126772916,"-",126770493,126770581,126775448,126775593,-0.038,0.000700039680362132
"Ank2.E1","Ank2","coordinate",2,FALSE,24694,"Ank2","chr3",126772904,126772916,"-",126770493,126770596,126775448,126775593,-0.141,0.104918297515448
"Dock7.E1","Dock7","coordinate",2,TRUE,32360,"Dock7","chr4",98881883,98881973,"-",98879629,98879696,98889269,98889439,0.011,1
"Dock7.E1","Dock7","coordinate",2,FALSE,32361,"Dock7","chr4",98881883,98881973,"-",98880605,98880695,98889269,98889439,-0.009,0.95868919715388
"Pbrm1.E2","Pbrm1","coordinate",6,TRUE,17670,"Pbrm1","chr14",30745023,30745127,"+",30741105,30741250,30747454,30747607,0.047,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17671,"Pbrm1","chr14",30745023,30745127,"+",30741105,30741250,30747457,30747607,0.017,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17672,"Pbrm1","chr14",30745023,30745136,"+",30741133,30741250,30747454,30747607,0.018,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17673,"Pbrm1","chr14",30745023,30745136,"+",30741133,30741250,30747457,30747607,0.012,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17674,"Pbrm1","chr14",30745023,30745136,"+",30744676,30744816,30747454,30747607,0.009,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17675,"Pbrm1","chr14",30745023,30745136,"+",30744676,30744816,30747457,30747607,0.02,1
"Senp6.E1","Senp6","coordinate",3,FALSE,63598,"Senp6","chr9",80006167,80006188,"+",79974217,79974854,80010975,80011046,0.035,1
"Senp6.E1","Senp6","coordinate",3,FALSE,63599,"Senp6","chr9",80006167,80006188,"+",79999548,79999694,80010975,80011046,-0.012,1
"Senp6.E1","Senp6","coordinate",3,TRUE,63600,"Senp6","chr9",80006167,80006188,"+",80000818,80000923,80010975,80011046,-0.058,0
