"event_key","event_type","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR"
"chr18:24604118:24604141:24604037:24608581:SE","SE","ENSMUSG00000024273","2700062C07Rik","chr18","+",24604118,24604141,23,"Microexon (0-30bp)",-0.102,0.0216985677542389
"chr2:22970679:22970712:22970465:22977496:SE","SE","ENSMUSG00000026781","Acbd5","chr2","+",22970679,22970712,33,"Small (30-50bp)",0.171,1.77638802543842e-12
"chr5:8136593:8136623:8132269:8161894:SE","SE","ENSMUSG00000040537","Adam22","chr5","-",8136593,8136623,30,"Microexon (0-30bp)",0.13,0.00900364149579749
"chr3:148532847:148532874:148532169:148533176:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148532847,148532874,27,"Microexon (0-30bp)",0.203,0.000209883033950081
"chr17:14111224:14111260:14109239:14116349:SE","SE","ENSMUSG00000068036","Afdn","chr17","+",14111224,14111260,36,"Small (30-50bp)",0.179,0
"chr4:156252233:156252266:156251963:156253002:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156252233,156252266,33,"Small (30-50bp)",0.13,4.01171260164633e-06
"chr4:156253002:156253026:156252266:156253189:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156253002,156253026,24,"Microexon (0-30bp)",0.323,0.00409956888691432
"chr3:126772904:126772916:126770596:126775448:SE","SE","ENSMUSG00000032826","Ank2","chr3","-",126772904,126772916,12,"Microexon (0-30bp)",0.138,0.00303344410374097
"chr10:69765276:69765288:69763648:69768223:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69765276,69765288,12,"Microexon (0-30bp)",0.251,0.00548380560396285
"chr10:69789269:69789302:69786888:69791755:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69789269,69789302,33,"Small (30-50bp)",0.185,0.0151230474700185
"chr10:69816653:69816680:69816224:69817945:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69816653,69816680,27,"Microexon (0-30bp)",0.187,0.000174189054449646
"chr13:94680491:94680530:94679384:94684262:SE","SE","ENSMUSG00000021686","Ap3b1","chr13","+",94680491,94680530,39,"Small (30-50bp)",0.15,0
"chr18:46916825:46916866:46913835:46921723:SE","SE","ENSMUSG00000024480","Ap3s1","chr18","+",46916825,46916866,41,"Small (30-50bp)",-0.757,0.000578400887225834
"chr2:20888010:20888040:20886662:20891916:SE","SE","ENSMUSG00000036591","Arhgap21","chr2","-",20888010,20888040,30,"Microexon (0-30bp)",0.21,4.24107750950333e-05
"chr7:24617944:24617956:24617425:24618608:SE","SE","ENSMUSG00000040940","Arhgef1","chr7","+",24617944,24617956,12,"Microexon (0-30bp)",0.131,0.000225967412359808
"chr3:87625535:87625565:87624827:87629663:SE","SE","ENSMUSG00000041977","Arhgef11","chr3","+",87625535,87625565,30,"Microexon (0-30bp)",0.146,2.78873270258153e-06
"chr5:92553801:92553838:92552725:92557128:SE","SE","ENSMUSG00000034842","Art3","chr5","+",92553801,92553838,37,"Small (30-50bp)",-0.136,7.53265193187456e-06
"chr5:92553802:92553838:92552725:92557128:SE","SE","ENSMUSG00000034842","Art3","chr5","+",92553802,92553838,36,"Small (30-50bp)",-0.112,0.0444706993217716
"chr16:18219530:18219548:18219003:18220316:SE","SE","ENSMUSG00000118669","Arvcf","chr16","+",18219530,18219548,18,"Microexon (0-30bp)",0.166,7.88857169241047e-11
"chr4:9637658:9637703:9635969:9639197:SE","SE","ENSMUSG00000028207","Asph","chr4","-",9637658,9637703,45,"Small (30-50bp)",0.119,4.92559853045606e-10
