"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_selection_events","selection_mean_dPSI"
"ENSMUSG00000028078","Dclk2",13,0,3,"A3SS,A5SS,SE",2,0.022,3,0.124
"ENSMUSG00000039126","Prune2",28,1,2,"MXE,SE",0,0.028,3,0.116
"ENSMUSG00000069601","Ank3",32,3,4,"A3SS,A5SS,MXE,SE",4,0.044,3,0.208
"ENSMUSG00000020300","Cpeb4",10,0,2,"MXE,SE",2,0.036,2,0.134
"ENSMUSG00000022139","Mbnl2",10,0,1,"SE",0,0.026,2,0.129
"ENSMUSG00000022770","Dlg1",41,1,4,"A3SS,A5SS,MXE,SE",1,0.026,2,0.018
"ENSMUSG00000022973","Synj1",17,3,3,"A3SS,MXE,SE",3,0.087,2,0.211
"ENSMUSG00000024381","Bin1",16,1,2,"MXE,SE",2,0.033,2,0.149
"ENSMUSG00000028524","Sgip1",15,1,3,"A3SS,MXE,SE",5,0.036,2,0.314
"ENSMUSG00000029462","Vps29",12,0,2,"A3SS,SE",2,0.03,2,0.138
"ENSMUSG00000031561","Tenm3",12,1,2,"MXE,SE",3,0.041,2,0.198
"ENSMUSG00000031865","Dctn1",22,1,2,"MXE,SE",8,0.043,2,0.062
"ENSMUSG00000032076","Cadm1",7,0,2,"MXE,SE",0,0.018,2,0.124
"ENSMUSG00000032534","Cep63",14,3,2,"MXE,SE",1,0.108,2,0.092
"ENSMUSG00000034842","Art3",7,0,2,"A5SS,SE",1,0.038,2,-0.124
"ENSMUSG00000041936","Agrn",33,1,5,"A3SS,A5SS,MXE,RI,SE",4,0.024,2,0.226
"ENSMUSG00000043019","Edem3",6,0,3,"A3SS,A5SS,SE",1,0.015,2,0.11
"ENSMUSG00000053046","Brsk2",18,3,3,"A5SS,MXE,SE",0,0.052,2,0.158
"ENSMUSG00000000631","Myo18a",23,2,3,"A5SS,MXE,SE",2,0.061,1,0.169
"ENSMUSG00000000827","Tpd52l2",7,0,1,"SE",1,0.024,1,0.106
"ENSMUSG00000001036","Epn2",35,1,2,"MXE,SE",0,0.046,1,0.122
"ENSMUSG00000001143","Lman2l",21,1,3,"A5SS,MXE,SE",0,0.02,1,0.204
"ENSMUSG00000001248","Gramd1a",26,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.018,1,0.183
"ENSMUSG00000002031","Ift46",26,3,3,"A3SS,MXE,SE",0,0.071,1,0.103
"ENSMUSG00000003810","Mast2",24,0,3,"A3SS,MXE,SE",2,0.021,1,0.248
"ENSMUSG00000003863","Ppfia3",4,0,3,"A5SS,RI,SE",1,0.027,1,0.239
"ENSMUSG00000005881","Ergic3",12,0,4,"A3SS,MXE,RI,SE",1,0.013,1,0.169
"ENSMUSG00000009073","Nf2",17,0,2,"MXE,SE",0,0.021,1,0.174
"ENSMUSG00000009079","Ewsr1",22,0,4,"A3SS,A5SS,MXE,SE",1,0.01,1,0.222
"ENSMUSG00000013523","Bcas1",11,0,2,"MXE,SE",0,0.028,1,0.139
"ENSMUSG00000013973","Dedd",5,2,1,"SE",0,0.081,1,0.109
"ENSMUSG00000018334","Ksr1",4,0,1,"SE",0,0.059,1,0.203
"ENSMUSG00000018820","Zfyve27",9,0,2,"MXE,SE",1,0.021,1,0.131
"ENSMUSG00000020231","Dip2a",13,0,4,"A3SS,MXE,RI,SE",1,0.009,1,0.168
"ENSMUSG00000020451","Limk2",19,3,3,"A5SS,MXE,SE",1,0.061,1,-0.127
"ENSMUSG00000020792","Exoc7",10,3,2,"MXE,SE",0,0.072,1,0.169
"ENSMUSG00000020859","Spag9",16,1,4,"A3SS,MXE,RI,SE",4,0.034,1,0.196
"ENSMUSG00000021071","Trim9",15,3,4,"A3SS,A5SS,MXE,SE",4,0.135,1,0.201
"ENSMUSG00000021427","Ssr1",1,0,1,"SE",1,0.058,1,0.156
"ENSMUSG00000021686","Ap3b1",38,0,3,"A5SS,MXE,SE",0,0.009,1,0.15
"ENSMUSG00000021969","Zdhhc20",12,0,2,"MXE,SE",2,0.016,1,0.196
"ENSMUSG00000022329","Stk3",4,0,1,"SE",1,0.015,1,0.135
"ENSMUSG00000022517","Mgrn1",12,0,1,"SE",0,0.009,1,0.14
"ENSMUSG00000022565","Plec",5,1,2,"A5SS,SE",1,0.039,1,0.101
"ENSMUSG00000022623","Shank3",1,0,1,"SE",0,0.081,1,0.129
"ENSMUSG00000022635","Zcrb1",16,0,2,"MXE,SE",3,0.017,1,-0.163
"ENSMUSG00000022701","Ccdc191",11,0,2,"A3SS,SE",0,0.025,1,0.186
"ENSMUSG00000024163","Mapk8ip3",30,0,4,"A3SS,A5SS,MXE,SE",6,0.017,1,0.149
