"Comparison","EventType","EventDescription","GeneSymbol","GeneID","Chromosome","Strand","FDR","DeltaPSI","PSI_Group1","PSI_Group2","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","riExonStart_0base","riExonEnd"
"KO_vs_Neg","SE","Skipped Exon","Gemin8","ENSMUSG00000040621","chrX","+",1.07511617691285e-05,0.153,"0.452,0.424,0.443","0.264,0.255,0.341",164961529,164961638,164959840,164960075,164961787,164961826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Iqsec2","ENSMUSG00000041115","chrX","+",0.000159704540862637,0.263,"0.874,0.923,1.0","0.639,0.554,0.816",150963992,150964088,150949929,150949959,150976861,150977597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Gprasp1","ENSMUSG00000043384","chrX","+",0.0052177273497852,-0.108,"0.5,0.526,0.482","0.586,0.649,0.596",134644190,134644271,134643481,134643727,134645247,134645324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Gprasp1","ENSMUSG00000043384","chrX","+",1.1988440647608e-07,-0.186,"0.272,0.315,0.272","0.441,0.49,0.486",134644311,134644363,134643481,134643727,134645247,134645324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",0,-0.28,"0.591,0.601,0.63","0.857,0.897,0.909",132973163,132973223,132970593,132970656,132973884,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",0,-0.247,"0.589,0.645,0.676","0.88,0.865,0.907",132973163,132973223,132970593,132970656,132973962,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",7.90803194823739e-09,-0.3,"0.07,0.12,0.103","0.278,0.435,0.479",132973426,132973513,132970593,132970656,132973884,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",2.64048349077221e-11,-0.327,"0.318,0.419,0.387","0.664,0.672,0.769",132973426,132973513,132970593,132970656,132973962,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",4.845732433669e-05,0.369,"1.0,1.0,1.0","0.351,0.67,0.871",102546465,102546536,102540043,102540136,102561916,102561963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",0.000147497019819849,0.242,"1.0,1.0,1.0","0.643,0.75,0.882",102546465,102546798,102540043,102540136,102561916,102561963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
