"Comparison","EventType","EventDescription","GeneSymbol","GeneID","Chromosome","Strand","FDR","DeltaPSI","PSI_Group1","PSI_Group2","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","riExonStart_0base","riExonEnd"
"Neg_vs_Parental","SE","Skipped Exon","Huwe1","ENSMUSG00000025261","chrX","+",0.0301232350321887,-0.208,"0.528,0.484,0.44","0.704,0.726,0.647",150587441,150587536,150586653,150586798,150589715,150589856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Gprasp1","ENSMUSG00000043384","chrX","+",0.00646971334921933,0.109,"0.441,0.49,0.486","0.397,0.326,0.368",134644311,134644363,134643481,134643727,134645247,134645324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",4.26278819386534e-10,0.19,"0.857,0.897,0.909","0.636,0.769,0.687",132973163,132973223,132970593,132970656,132973884,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",2.35174732283403e-05,0.12,"0.88,0.865,0.907","0.744,0.826,0.722",132973163,132973223,132970593,132970656,132973962,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","5330434G04Rik","ENSMUSG00000087620","chrX","-",0.00542655501915266,0.124,"0.087,0.271,0.344","0.25,0.08,0.0",104433475,104433549,104431487,104431542,104435081,104435360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",6.35939356390961e-05,-0.369,"0.351,0.67,0.871","1.0,1.0,1.0",102546465,102546536,102540043,102540136,102561916,102561963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",0.000157722686902773,-0.242,"0.643,0.75,0.882","1.0,1.0,1.0",102546465,102546798,102540043,102540136,102561916,102561963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",3.70930549806083e-06,0.435,"0.655,0.336,0.313","0.0,0.0,0.0",102561916,102561963,102540043,102540136,102568472,102568602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Taf1","ENSMUSG00000031314","chrX","+",5.80152882256624e-11,0.201,"0.295,0.364,0.266","0.104,0.085,0.134",100634339,100634345,100634078,100634195,100637545,100637671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Tab3","ENSMUSG00000035476","chrX","+",0.00789784768877363,-0.105,"0.722,1.0,0.963","1.0,1.0,1.0",84619155,84619216,84617627,84617771,84637257,84637360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","4933407K13Rik","ENSMUSG00000087396","chrX","-",0.000425193968893865,-0.556,"0.0,0.333,1.0","1.0,1.0,1.0",74798971,74799134,74795130,74795293,74808131,74808299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Tafazzin","ENSMUSG00000009995","chrX","+",0.00016329618048729,-0.351,"0.212,0.443,0.59","0.75,0.701,0.848",73332534,73332625,73332056,73332119,73332710,73332788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Tafazzin","ENSMUSG00000009995","chrX","+",1.28203538694441e-10,-0.346,"0.096,0.263,0.307","0.516,0.559,0.628",73332534,73332625,73332267,73332320,73332710,73332788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Tafazzin","ENSMUSG00000009995","chrX","+",0.000452701285271854,-0.365,"0.135,0.367,0.534","0.679,0.63,0.823",73332589,73332625,73332053,73332119,73332710,73332788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Tafazzin","ENSMUSG00000009995","chrX","+",3.98683260318424e-10,-0.314,"0.076,0.232,0.233","0.425,0.494,0.565",73332589,73332625,73332267,73332320,73332710,73332788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Cask","ENSMUSG00000031012","chrX","-",0.00985058287082485,0.108,"0.593,0.584,0.638","0.435,0.534,0.523",13418611,13418680,13417185,13417221,13421116,13421185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Cask","ENSMUSG00000031012","chrX","-",0,0.169,"0.888,0.877,0.83","0.69,0.701,0.696",13462924,13462942,13453082,13453204,13466595,13466695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Btrc","ENSMUSG00000025217","chr19","+",0.000812282191415622,0.152,"1.0,1.0,1.0","0.708,1.0,0.835",45394983,45395025,45352190,45352325,45425775,45428586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Btrc","ENSMUSG00000025217","chr19","+",6.97195304985411e-06,-0.275,"0.622,0.682,0.766","1.0,0.896,1.0",45394983,45395025,45352525,45352713,45444971,45445049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Zfyve27","ENSMUSG00000018820","chr19","+",0.0409838238074037,0.131,"0.664,0.642,0.679","0.566,0.42,0.607",42174058,42174079,42172556,42172628,42174243,42174388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Lcor","ENSMUSG00000025019","chr19","+",0.00218961741970944,0.214,"0.342,0.245,0.281","0.048,0.093,0.085",41516999,41517079,41471965,41472039,41540887,41541175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Lcor","ENSMUSG00000025019","chr19","+",0.0138392517594589,-0.29,"0.834,1.0,0.297","1.0,1.0,1.0",41534313,41534446,41516459,41516525,41570216,41574975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Sgms1","ENSMUSG00000040451","chr19","-",0.0225188154584809,-0.319,"0.385,0.714,0.636","1.0,1.0,0.692",32134865,32135077,32134722,32134779,32136923,32137763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Sgms1","ENSMUSG00000040451","chr19","-",0.00324301571806219,0.14,"1.0,1.0,1.0","1.0,0.751,0.828",32237375,32237497,32136923,32137763,32266940,32267031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Prune2","ENSMUSG00000039126","chr19","+",0.0330137103152969,0.113,"0.909,0.785,0.854","0.679,0.728,0.801",17189655,17189694,17185594,17185693,17193689,17193737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Prune2","ENSMUSG00000039126","chr19","+",0.00583089718009933,0.116,"0.518,0.504,0.559","0.439,0.344,0.45",17189655,17189694,17189041,17189077,17193689,17193737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Prune2","ENSMUSG00000039126","chr19","+",0.0452451347637844,0.118,"0.477,0.479,0.594","0.419,0.427,0.35",17193689,17193737,17185594,17185693,17198147,17199173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Stx3","ENSMUSG00000041488","chr19","-",0.0468324074937352,0.219,"1.0,1.0,0.741","0.364,0.721,1.0",11760389,11760500,11758930,11759044,11762753,11762888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Syt7","ENSMUSG00000024743","chr19","+",0.000713889802759613,0.1,"0.275,0.27,0.202","0.152,0.154,0.141",10399120,10399252,10395326,10395406,10412913,10413049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Mark2","ENSMUSG00000024969","chr19","-",4.91683066458666e-05,0.155,"0.643,0.729,0.652","0.491,0.526,0.541",7318532,7318619,7267967,7268147,7319131,7319225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Sipa1","ENSMUSG00000056917","chr19","-",6.66291490053471e-05,0.295,"0.946,0.958,1.0","0.686,0.483,0.849",5711623,5711651,5711048,5711139,5712615,5712869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Sipa1","ENSMUSG00000056917","chr19","-",0.000136639824794856,0.266,"0.918,0.95,1.0","0.678,0.584,0.808",5711623,5711686,5710906,5711139,5712615,5712869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Zfp236","ENSMUSG00000041258","chr18","-",6.98160478013703e-05,0.124,"0.233,0.244,0.177","0.127,0.08,0.075",82628729,82628811,82627412,82627600,82635834,82635875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Slc66a2","ENSMUSG00000034006","chr18","+",0.0273691314620483,-0.121,"0.977,0.704,0.769","0.96,0.905,0.947",80315676,80315730,80306634,80306768,80334790,80335852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Katnal2","ENSMUSG00000025420","chr18","-",0.0186055058252705,0.151,"0.93,0.909,0.93","0.677,0.904,0.734",77099685,77099800,77097736,77098741,77134869,77134939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Ablim3","ENSMUSG00000032735","chr18","-",0.0228211594612125,0.285,"0.566,0.638,0.262","0.244,0.167,0.2",61952059,61952158,61949992,61950040,61952861,61952988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Rfx3","ENSMUSG00000040929","chr19","-",0.00107656566006517,0.122,"0.929,0.916,0.885","0.787,0.848,0.728",27814806,27814881,27808010,27808192,27827110,27827369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Ap3s1","ENSMUSG00000024480","chr18","+",0.000578400887225834,-0.757,"0.03,0.033,0.053","0.386,1.0,1.0",46916825,46916866,46913727,46913835,46921723,46921771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Rnf14","ENSMUSG00000060450","chr18","+",2.3563718668974e-05,-0.266,"0.833,0.857,0.511","1.0,1.0,1.0",38433481,38433643,38429758,38429851,38446264,38446437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Rnf14","ENSMUSG00000060450","chr18","+",4.81587800938116e-06,-0.262,"0.806,0.824,0.585","1.0,1.0,1.0",38440917,38441448,38429687,38429851,38446264,38446437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Slc4a9","ENSMUSG00000024485","chr18","+",0.000194381456300803,0.264,"1.0,0.96,1.0","1.0,0.567,0.6",36662739,36662789,36662268,36662382,36662925,36663083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Paip2","ENSMUSG00000037058","chr18","+",1.06160668563504e-06,0.423,"0.653,0.596,0.751","0.265,0.245,0.22",35733097,35733170,35731693,35731812,35741790,35741872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg_vs_Parental","SE","Skipped Exon","Paip2","ENSMUSG00000037058","chr18","+",0.00583729528933631,-0.261,"0.162,0.055,0.311","0.498,0.421,0.392",35741790,35741872,35731701,35731812,35742645,35742726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
