"Comparison","EventType","GeneSymbol","Chromosome","Strand","FDR","DeltaPSI"
"KO_vs_Neg","SE","Vps26a","chr10","-",2.07743075078807e-11,1
"KO_vs_Neg","RI","Rgs2","chr1","-",2.266687209812e-09,-0.878
"KO_vs_Neg","SE","Cyp4f13","chr17","-",6.22502382974841e-11,0.859
"KO_vs_Neg","SE","Pde4c","chr8","+",6.98598381729316e-08,-0.85
"KO_vs_Neg","SE","Col11a2","chr17","+",0.000170632618295717,-0.804
"KO_vs_Neg","SE","Mark3","chr12","+",0.000245953761779784,0.8
"KO_vs_Neg","SE","C7","chr15","-",1.95536851085306e-08,0.794
"KO_vs_Neg","SE","Ptk2","chr15","-",9.94717299790962e-10,0.792
"KO_vs_Neg","SE","Npc1l1","chr11","-",4.91322734795906e-07,0.782
"KO_vs_Neg","SE","Mroh7","chr4","-",1.68380682561845e-07,-0.775
"KO_vs_Neg","SE","Bco2","chr9","-",9.56002986626246e-07,0.751
"KO_vs_Neg","SE","Cttn","chr7","-",6.8288542885926e-09,-0.729
"KO_vs_Neg","SE","Adam22","chr5","-",1.59534557668102e-05,0.714
"KO_vs_Neg","SE","Npc1l1","chr11","-",4.39757860591062e-06,0.702
"KO_vs_Neg","A3SS","Tmem219","chr7","-",8.65001674177278e-07,0.7
"KO_vs_Neg","SE","Tfdp2","chr9","+",9.01127186669252e-08,0.69
"KO_vs_Neg","SE","Gm12610","chr4","+",4.35125952553704e-08,-0.684
"KO_vs_Neg","SE","Gm13563","chr2","+",1.49989886308965e-07,0.682
"KO_vs_Neg","SE","Lmntd1","chr6","-",8.34259040351736e-09,0.673
"KO_vs_Neg","SE","Mapk10","chr5","-",8.32662642848038e-06,-0.67
"KO_vs_Neg","A5SS","Clip4","chr17","+",0.00037655001124539,0.667
"KO_vs_Neg","SE","Timm44","chr8","-",2.91089178354248e-07,0.667
"KO_vs_Neg","SE","1700112D23Rik","chr3","-",3.62317450777588e-06,0.667
"KO_vs_Neg","SE","Pts","chr9","-",1.6445559170687e-05,-0.667
"KO_vs_Neg","SE","Mthfs","chr9","+",2.04945755300068e-05,-0.667
"KO_vs_Neg","SE","Sh2d5","chr4","+",0.00146775491829238,0.667
"KO_vs_Neg","SE","Cnot2","chr10","-",5.57295952974796e-10,0.664
"KO_vs_Neg","SE","Itga7","chr10","+",6.54485707185856e-07,0.662
"KO_vs_Neg","SE","Gstm6","chr3","-",1.05249791274489e-05,-0.658
"KO_vs_Neg","SE","Sltm","chr9","+",9.48272215082441e-08,-0.652
"KO_vs_Neg","SE","Tulp4","chr17","+",2.98958051736751e-05,-0.652
"KO_vs_Neg","MXE","Ccdc170","chr10","+",0.0201723424516141,0.648
"KO_vs_Neg","SE","Carnmt1","chr19","+",1.56220525907245e-05,0.641
"KO_vs_Neg","MXE","Adam22","chr5","-",0.000739388983648548,0.635
"KO_vs_Neg","SE","Cdc123","chr2","-",0.00509903739725643,-0.631
"KO_vs_Neg","A3SS","Garin1b","chr6","+",0.00543758889840426,0.63
"KO_vs_Neg","SE","Psme3ip1","chr8","-",0.00188208593475365,-0.628
"KO_vs_Neg","A3SS","Rian","chr12","+",2.64006817626081e-05,0.62
"KO_vs_Neg","SE","Catsper2","chr2","-",3.54264412175028e-05,0.619
"KO_vs_Neg","SE","AI480526","chr5","-",0.000301569523552588,-0.619
"KO_vs_Neg","SE","Efhc1","chr1","+",0.0046714278811463,-0.619
"KO_vs_Neg","SE","Firre","chrX","-",0.00011137324627041,-0.613
"KO_vs_Neg","SE","Snx29","chr16","+",1.54833099520574e-05,0.612
"KO_vs_Neg","SE","Adam32","chr8","-",0.0305501774684434,-0.612
"KO_vs_Neg","SE","Srebf2","chr15","+",0.00136368570732513,-0.611
"KO_vs_Neg","SE","Snapc3","chr4","+",0.00012253573561769,-0.61
"KO_vs_Neg","SE","Malt1","chr18","+",4.20715861287421e-08,-0.606
"KO_vs_Neg","MXE","Tbc1d10c","chr19","-",0.0158764763320272,-0.602
"KO_vs_Neg","SE","Col11a2","chr17","+",5.42260061893034e-05,-0.601
"KO_vs_Neg","SE","Nphs1","chr7","+",2.20227597311735e-06,0.599
"KO_vs_Neg","RI","Gm20544","chr18","-",0.0455992473425847,0.596
"KO_vs_Neg","SE","Gpr179","chr11","-",4.03315691721525e-06,-0.596
"KO_vs_Neg","SE","Alg6","chr4","+",0.000532821240367723,-0.595
"KO_vs_Neg","A3SS","AI480526","chr5","-",0.00300429401535258,0.594
"KO_vs_Neg","SE","Exoc3l4","chr12","+",2.64222161483308e-07,-0.594
"KO_vs_Neg","SE","Entr1","chr2","-",2.99933928759756e-06,0.594
"KO_vs_Neg","SE","Ccdc17","chr4","+",0.000962779587141455,0.582
"KO_vs_Neg","SE","Eci1","chr17","+",1.84625118986178e-06,0.577
"KO_vs_Neg","SE","Gnmt","chr17","-",9.44208257150794e-05,0.576
"KO_vs_Neg","SE","Fastkd3","chr13","+",0.049491525621214,-0.574
"KO_vs_Neg","SE","Mrps18b","chr17","-",0.0466417282814682,-0.572
"KO_vs_Neg","SE","Tacc1","chr8","-",0.00391621527632886,0.571
"KO_vs_Neg","SE","Sgip1","chr4","+",8.74456397774759e-06,-0.567
"KO_vs_Neg","A5SS","Serpinb6a","chr13","-",6.24047656817349e-05,0.565
"KO_vs_Neg","SE","Dlg1","chr16","+",0.0252145298456913,-0.565
"KO_vs_Neg","SE","Odf2l","chr3","+",1.96595746064309e-05,-0.563
"KO_vs_Neg","A3SS","B230216N24Rik","chr1","-",0.0232300345241011,0.56
"KO_vs_Neg","SE","Zic4","chr9","+",1.13057727452406e-07,-0.553
"KO_vs_Neg","A3SS","Sipa1","chr19","-",0.00180326066366178,0.55
"KO_vs_Neg","SE","Gm26947","chr10","+",0.000452535728692388,-0.545
"KO_vs_Neg","MXE","Ppp4r1l-ps","chr2","-",0.0269450864345434,0.539
"KO_vs_Neg","SE","Gsap","chr5","+",0.0199026235890624,0.539
"KO_vs_Neg","SE","Jakmip3","chr7","+",6.9512335092684e-05,-0.533
"KO_vs_Neg","MXE","Tlcd3b","chr7","+",4.39742977424481e-06,-0.532
"KO_vs_Neg","SE","Pxylp1","chr9","-",0.000859731505663549,-0.531
"KO_vs_Neg","SE","A730017L22Rik","chr2","-",0.000949756838661116,-0.524
"KO_vs_Neg","SE","Gm10516","chr1","+",0.00883125837485907,0.524
"KO_vs_Neg","SE","Idh1","chr1","-",2.50591242386703e-05,0.522
"KO_vs_Neg","SE","Sar1a","chr10","+",0.000164035948027787,-0.522
"KO_vs_Neg","SE","1700087I21Rik","chr14","+",0.000252780593846923,0.521
"KO_vs_Neg","SE","Iqce","chr5","-",1.47170474427521e-07,0.518
"KO_vs_Neg","SE","Cnot2","chr10","-",1.58071229806379e-07,0.514
"KO_vs_Neg","SE","Ankib1","chr5","-",0.00983975537859318,0.513
"KO_vs_Neg","SE","Clasp1","chr1","+",4.53392879061824e-05,-0.511
"KO_vs_Neg","SE","Tulp4","chr17","+",0.0164063135066787,-0.508
"KO_vs_Neg","SE","Mapk1","chr16","+",0.039913103361297,0.508
"KO_vs_Neg","RI","Snhg7os","chr2","+",0.0105945946213571,-0.506
"KO_vs_Neg","SE","Fat1","chr8","+",4.72734265111247e-09,-0.506
"KO_vs_Neg","SE","Paip2","chr18","+",0.000495648966209932,0.506
"KO_vs_Neg","SE","Ctnnal1","chr4","-",3.9234367183163e-06,-0.504
"KO_vs_Neg","SE","Gm12610","chr4","+",0.00153749771048222,-0.503
"KO_vs_Neg","SE","Gm26760","chr15","+",0.00375560725165149,0.501
"KO_vs_Neg","SE","Arel1","chr12","-",0.00605508714679911,0.501
"KO_vs_Neg","SE","Tpcn2","chr7","-",0.0174572242999629,0.5
"KO_vs_Neg","A3SS","Mast2","chr4","-",0.00684556885054937,0.499
"KO_vs_Neg","MXE","Ppp4r1l-ps","chr2","-",0.0100846650683465,-0.498
"KO_vs_Neg","SE","Gm10785","chr16","+",0.00454792697842339,0.498
"KO_vs_Neg","A5SS","Map4k4","chr1","+",0.0156220813860869,-0.497
"KO_vs_Neg","MXE","Firre","chrX","-",0.00830780792334652,0.495
"KO_vs_Neg","RI","A330102I10Rik","chr13","+",0.0465062505708903,-0.494
"KO_vs_Neg","SE","Cacna1b","chr2","-",0.000202627349924069,0.494
"KO_vs_Neg","A3SS","4930517G24Rik","chr8","+",0.0102989451817367,0.493
"KO_vs_Neg","A5SS","Sh3bp1","chr15","+",0.000784708043992478,0.493
"KO_vs_Neg","A3SS","Mir9-3hg","chr7","+",0.0108799476028628,-0.492
"KO_vs_Neg","SE","Mcu","chr10","-",0.00022581134976858,-0.49
"KO_vs_Neg","SE","Scn9a","chr2","-",0.000289860712560766,-0.49
"KO_vs_Neg","SE","Sspo","chr6","+",0.0224756911123632,-0.489
"KO_vs_Neg","MXE","1700028K03Rik","chr5","+",2.53655318693791e-08,0.487
"KO_vs_Neg","A3SS","Pnldc1","chr17","-",0.00695788205852361,-0.486
"KO_vs_Neg","SE","Zfp219","chr14","-",0.0158015002427455,-0.485
"KO_vs_Neg","SE","5830428M24Rik","chr12","-",0.00244208576660294,-0.481
"KO_vs_Neg","SE","Tpd52","chr3","-",0,-0.48
"KO_vs_Neg","SE","Firre","chrX","-",0.0201878515714369,0.479
"KO_vs_Neg","SE","Pik3cd","chr4","-",0.00327862065376816,0.478
"KO_vs_Neg","A5SS","Psat1","chr19","-",0.000926543249050145,-0.477
"KO_vs_Neg","SE","Agpat1","chr17","+",0.017479154421944,0.477
"KO_vs_Neg","A3SS","Garin1b","chr6","+",0.0103951722502177,0.476
"KO_vs_Neg","SE","Sfmbt1","chr14","+",5.35329232971677e-07,0.476
"KO_vs_Neg","SE","Sema3b","chr9","-",1.31575646051455e-07,-0.474
"KO_vs_Neg","SE","Gm9801","chr7","-",7.01496579228435e-05,-0.474
"KO_vs_Neg","SE","Gm15564","chr16","-",2.51965288989944e-06,0.472
"KO_vs_Neg","SE","Tspan13","chr12","-",0.0149191608036333,0.471
"KO_vs_Neg","SE","Prss41","chr17","-",0.000143229456308589,0.469
