"Comparison","EventType","EventDescription","GeneSymbol","GeneID","Chromosome","Strand","FDR","DeltaPSI","PSI_Group1","PSI_Group2","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","riExonStart_0base","riExonEnd"
"KO_vs_Pos","SE","Skipped Exon","ENSMUSG00000095041","ENSMUSG00000095041","chrJH584304.1","-",5.0005779984136e-07,0.125,"0.725,0.709,0.686","0.549,0.629,0.566",56985,57151,55111,55701,59591,59667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Gemin8","ENSMUSG00000040621","chrX","+",4.72846413310643e-05,0.142,"0.452,0.424,0.443","0.266,0.326,0.302",164961529,164961638,164959840,164960075,164961787,164961826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Iqsec2","ENSMUSG00000041115","chrX","+",0.0197337764387785,0.409,"1.0,0.646,1.0","0.132,0.288,1.0",150963992,150964088,150927309,150928175,150991765,150992661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Iqsec2","ENSMUSG00000041115","chrX","+",0.0213455491397513,0.143,"0.874,0.923,1.0","0.852,0.797,0.718",150963992,150964088,150949929,150949959,150976861,150977597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Huwe1","ENSMUSG00000025261","chrX","+",0.0128468864731088,-0.213,"0.233,0.229,0.413","0.533,0.464,0.517",150586751,150586798,150586464,150586565,150587441,150587507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Huwe1","ENSMUSG00000025261","chrX","+",0.00153409346032648,0.115,"0.886,0.796,0.849","0.759,0.75,0.676",150589267,150589403,150584309,150584362,150589715,150589856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Huwe1","ENSMUSG00000025261","chrX","+",0.00302482001122866,0.11,"0.879,0.786,0.837","0.749,0.74,0.682",150589271,150589403,150584309,150584362,150589715,150589856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","BC065397","ENSMUSG00000087368","chrX","+",0.00409928463275124,-0.199,"0.712,0.618,0.599","0.834,0.864,0.828",135657242,135657369,135648071,135648197,135658849,135658930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","BC065397","ENSMUSG00000087368","chrX","+",0.00815962052237562,0.126,"1.0,1.0,1.0","0.621,1.0,1.0",135661166,135661324,135660604,135660667,135689269,135689366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Gprasp1","ENSMUSG00000043384","chrX","+",0.000460296213241014,-0.156,"0.272,0.315,0.272","0.429,0.515,0.384",134644311,134644363,134643481,134643727,134645247,134645324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",3.20828179917598e-07,-0.169,"0.589,0.645,0.676","0.762,0.835,0.819",132973163,132973223,132970593,132970656,132973962,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_vs_Pos","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",0.000246404347943975,-0.187,"0.318,0.419,0.387","0.54,0.6,0.545",132973426,132973513,132970593,132970656,132973962,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
