"Comparison","EventType","EventDescription","GeneSymbol","GeneID","Chromosome","Strand","FDR","DeltaPSI","PSI_Group1","PSI_Group2","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","riExonStart_0base","riExonEnd"
"Pos_vs_Parental","SE","Skipped Exon","ENSMUSG00000095041","ENSMUSG00000095041","chrJH584304.1","-",2.23977840969747e-06,-0.115,"0.549,0.629,0.566","0.652,0.719,0.719",56985,57151,55111,55701,59591,59667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Gemin8","ENSMUSG00000040621","chrX","+",0.0180314590837754,0.158,"0.847,0.727,0.83","0.564,0.693,0.672",164961529,164961638,164953490,164953546,164961787,164961826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Huwe1","ENSMUSG00000025261","chrX","+",0.00141797295325857,0.183,"0.533,0.464,0.517","0.307,0.344,0.313",150586751,150586798,150586464,150586565,150587441,150587507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Huwe1","ENSMUSG00000025261","chrX","+",0.0032201028538228,-0.103,"0.246,0.275,0.214","0.344,0.387,0.313",150587441,150587536,150586256,150586565,150589267,150589403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Huwe1","ENSMUSG00000025261","chrX","+",0.0180475924478087,-0.111,"0.326,0.219,0.22","0.308,0.398,0.391",150587441,150587536,150586256,150586565,150589271,150589403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Phf8","ENSMUSG00000041229","chrX","+",5.82565132619382e-05,-0.162,"0.636,0.626,0.604","0.808,0.799,0.746",150355361,150355664,150353337,150353427,150356408,150356512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Rbm41","ENSMUSG00000031433","chrX","-",0.0303375965092825,-0.106,"0.233,0.16,0.182","0.381,0.256,0.257",138892264,138892336,138868944,138869348,138894046,138894251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","BC065397","ENSMUSG00000087368","chrX","+",0.00648505783723075,-0.114,"0.621,1.0,1.0","1.0,0.962,1.0",135661166,135661324,135660604,135660667,135689269,135689366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",4.17755326674286e-09,-0.291,"0.514,0.434,0.486","0.749,0.678,0.879",132973426,132973513,132973163,132973223,132973884,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",3.0090896213522e-09,-0.167,"0.65,0.611,0.631","0.801,0.787,0.805",132973426,132973513,132973163,132973223,132973962,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",0.000827907173050836,-0.378,"1.0,0.361,0.504","1.0,1.0,1.0",102546465,102546536,102540043,102540136,102561916,102561963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",0.000837240414902223,-0.277,"1.0,0.455,0.714","1.0,1.0,1.0",102546465,102546798,102540043,102540136,102561916,102561963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Jpx","ENSMUSG00000097571","chrX","+",0.00361328962545285,0.191,"0.0,0.395,0.178","0.0,0.0,0.0",102561916,102561963,102540043,102540136,102568472,102568602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Parental","SE","Skipped Exon","Tab3","ENSMUSG00000035476","chrX","+",0.00223357259034471,0.119,"0.703,1.0,1.0","0.666,1.0,0.68",84637257,84637360,84619155,84619216,84652998,84653190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
