Gene	Comparison	EventType	dPSI	FDR	Chromosome	Start	End	ExonLength	IGV_coordinate	IGV_narrow
Vps26a	KO_vs_Neg	SE	1	2.08e-11	chr10	62305679	62305836	157	chr10:62305179-62306336	chr10:62305579-62305936
Rgs2	KO_vs_Neg	RI	-0.878	2.27e-09	chr1	143878517	143878791	NA	chr1:143878017-143879291	chr1:143878417-143878891
Cyp4f13	KO_vs_Neg	SE	0.859	6.23e-11	chr17	33151602	33151656	54	chr17:33151102-33152156	chr17:33151502-33151756
Pde4c	KO_vs_Neg	SE	-0.85	6.99e-08	chr8	71182756	71182933	177	chr8:71182256-71183433	chr8:71182656-71183033
Col11a2	KO_vs_Neg	SE	-0.804	0.000171	chr17	34265413	34265476	63	chr17:34264913-34265976	chr17:34265313-34265576
Mark3	KO_vs_Neg	SE	0.8	0.000246	chr12	111581829	111581878	49	chr12:111581329-111582378	chr12:111581729-111581978
C7	KO_vs_Neg	SE	0.794	1.96e-08	chr15	5063667	5063835	168	chr15:5063167-5064335	chr15:5063567-5063935
Ptk2	KO_vs_Neg	SE	0.792	9.95e-10	chr15	73231874	73232186	312	chr15:73231374-73232686	chr15:73231774-73232286
Npc1l1	KO_vs_Neg	SE	0.782	4.91e-07	chr11	6168233	6168361	128	chr11:6167733-6168861	chr11:6168133-6168461
Mroh7	KO_vs_Neg	SE	-0.775	1.68e-07	chr4	106552187	106552325	138	chr4:106551687-106552825	chr4:106552087-106552425
Bco2	KO_vs_Neg	SE	0.751	9.56e-07	chr9	50456646	50456762	116	chr9:50456146-50457262	chr9:50456546-50456862
Cttn	KO_vs_Neg	SE	-0.729	6.83e-09	chr7	144003673	144003758	85	chr7:144003173-144004258	chr7:144003573-144003858
Adam22	KO_vs_Neg	SE	0.714	1.6e-05	chr5	8137981	8138068	87	chr5:8137481-8138568	chr5:8137881-8138168
Npc1l1	KO_vs_Neg	SE	0.702	4.4e-06	chr11	6167706	6167833	127	chr11:6167206-6168333	chr11:6167606-6167933
Tmem219	KO_vs_Neg	A3SS	0.7	8.65e-07	chr7	126496197	126496399	NA	chr7:126495697-126496899	chr7:126496097-126496499
Tfdp2	KO_vs_Neg	SE	0.69	9.01e-08	chr9	96129102	96129141	39	chr9:96128602-96129641	chr9:96129002-96129241
Gm12610	KO_vs_Neg	SE	-0.684	4.35e-08	chr4	89273540	89273584	44	chr4:89273040-89274084	chr4:89273440-89273684
Gm13563	KO_vs_Neg	SE	0.682	1.5e-07	chr2	26278253	26278404	151	chr2:26277753-26278904	chr2:26278153-26278504
Lmntd1	KO_vs_Neg	SE	0.673	8.34e-09	chr6	145363125	145363245	120	chr6:145362625-145363745	chr6:145363025-145363345
Mapk10	KO_vs_Neg	SE	-0.67	8.33e-06	chr5	103124220	103124292	72	chr5:103123720-103124792	chr5:103124120-103124392
Clip4	KO_vs_Neg	A5SS	0.667	0.000377	chr17	72135501	72135700	NA	chr17:72135001-72136200	chr17:72135401-72135800
Timm44	KO_vs_Neg	SE	0.667	2.91e-07	chr8	4317863	4318013	150	chr8:4317363-4318513	chr8:4317763-4318113
1700112D23Rik	KO_vs_Neg	SE	0.667	3.62e-06	chr3	28815012	28815095	83	chr3:28814512-28815595	chr3:28814912-28815195
Pts	KO_vs_Neg	SE	-0.667	1.64e-05	chr9	50436452	50436584	132	chr9:50435952-50437084	chr9:50436352-50436684
Mthfs	KO_vs_Neg	SE	-0.667	2.05e-05	chr9	89108223	89108440	217	chr9:89107723-89108940	chr9:89108123-89108540
Sh2d5	KO_vs_Neg	SE	0.667	0.00147	chr4	137981583	137981664	81	chr4:137981083-137982164	chr4:137981483-137981764
Cnot2	KO_vs_Neg	SE	0.664	5.57e-10	chr10	116384937	116385010	73	chr10:116384437-116385510	chr10:116384837-116385110
Itga7	KO_vs_Neg	SE	0.662	6.54e-07	chr10	128777313	128777445	132	chr10:128776813-128777945	chr10:128777213-128777545
Gstm6	KO_vs_Neg	SE	-0.658	1.05e-05	chr3	107849648	107849730	82	chr3:107849148-107850230	chr3:107849548-107849830
Sltm	KO_vs_Neg	SE	-0.652	9.48e-08	chr9	70466318	70466383	65	chr9:70465818-70466883	chr9:70466218-70466483
Tulp4	KO_vs_Neg	SE	-0.652	2.99e-05	chr17	6172102	6172619	517	chr17:6171602-6173119	chr17:6172002-6172719
Ccdc170	KO_vs_Neg	MXE	0.648	0.0202	chr10	4483958	4491882	NA	chr10:4483458-4492382	chr10:4483858-4491982
Carnmt1	KO_vs_Neg	SE	0.641	1.56e-05	chr19	18671012	18671126	114	chr19:18670512-18671626	chr19:18670912-18671226
Adam22	KO_vs_Neg	MXE	0.635	0.000739	chr5	8136593	8138068	NA	chr5:8136093-8138568	chr5:8136493-8138168
Cdc123	KO_vs_Neg	SE	-0.631	0.0051	chr2	5815606	5815655	49	chr2:5815106-5816155	chr2:5815506-5815755
Garin1b	KO_vs_Neg	A3SS	0.63	0.00544	chr6	29330641	29330685	NA	chr6:29330141-29331185	chr6:29330541-29330785
Psme3ip1	KO_vs_Neg	SE	-0.628	0.00188	chr8	95323678	95323736	58	chr8:95323178-95324236	chr8:95323578-95323836
Rian	KO_vs_Neg	A3SS	0.62	2.64e-05	chr12	109600627	109600788	NA	chr12:109600127-109601288	chr12:109600527-109600888
Catsper2	KO_vs_Neg	SE	0.619	3.54e-05	chr2	121237187	121237343	156	chr2:121236687-121237843	chr2:121237087-121237443
AI480526	KO_vs_Neg	SE	-0.619	0.000302	chr5	123272883	123272955	72	chr5:123272383-123273455	chr5:123272783-123273055
Efhc1	KO_vs_Neg	SE	-0.619	0.00467	chr1	21031376	21031526	150	chr1:21030876-21032026	chr1:21031276-21031626
Firre	KO_vs_Neg	SE	-0.613	0.000111	chrX	49694952	49695039	87	chrX:49694452-49695539	chrX:49694852-49695139
Snx29	KO_vs_Neg	SE	0.612	1.55e-05	chr16	11165722	11165784	62	chr16:11165222-11166284	chr16:11165622-11165884
Adam32	KO_vs_Neg	SE	-0.612	0.0306	chr8	25354362	25354468	106	chr8:25353862-25354968	chr8:25354262-25354568
