"Comparison","EventType","EventDescription","GeneSymbol","GeneID","Chromosome","Strand","FDR","DeltaPSI","PSI_Group1","PSI_Group2","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","riExonStart_0base","riExonEnd"
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Tex2","ENSMUSG00000040548","chr11","-",0,0.107,"0.939,0.95,0.94","0.856,0.825,0.827",NA,NA,NA,NA,NA,NA,106404412,106404538,106404412,106404532,106410707,106410840,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Mapk11","ENSMUSG00000053137","chr15","-",0,0.121,"0.195,0.181,0.207","0.087,0.065,0.069",NA,NA,NA,NA,NA,NA,89029298,89029435,89029298,89029378,89029577,89029649,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Tpm1","ENSMUSG00000032366","chr9","-",0,-0.195,"0.23,0.174,0.217","0.398,0.414,0.394",NA,NA,NA,NA,NA,NA,66929874,66931847,66929874,66930723,66938310,66938380,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Nrxn2","ENSMUSG00000033768","chr19","+",0,0.149,"0.971,0.951,0.961","0.81,0.775,0.852",NA,NA,NA,NA,NA,NA,6581297,6582308,6581873,6582308,6569278,6569357,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Iffo1","ENSMUSG00000038271","chr6","+",0,0.321,"0.658,0.637,0.615","0.352,0.304,0.291",NA,NA,NA,NA,NA,NA,125128757,125129734,125129576,125129734,125128347,125128488,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Iffo1","ENSMUSG00000038271","chr6","+",0,0.206,"0.372,0.327,0.335","0.15,0.13,0.136",NA,NA,NA,NA,NA,NA,125129406,125129734,125129576,125129734,125128347,125128488,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Snrnp70","ENSMUSG00000063511","chr7","-",0,-0.199,"0.16,0.145,0.157","0.302,0.368,0.389",NA,NA,NA,NA,NA,NA,45030140,45032608,45030140,45030242,45033227,45033309,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Atp6v0a1","ENSMUSG00000019302","chr11","+",9.78106484694625e-13,0.122,"0.235,0.215,0.257","0.119,0.125,0.098",NA,NA,NA,NA,NA,NA,100917485,100917589,100917506,100917589,100911879,100912008,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Celf1","ENSMUSG00000005506","chr2","+",2.01910521635389e-08,-0.108,"0.137,0.113,0.124","0.191,0.29,0.216",NA,NA,NA,NA,NA,NA,90843835,90849835,90846910,90849835,90843582,90843747,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Plekha6","ENSMUSG00000041757","chr1","+",6.41485660591212e-08,0.109,"0.159,0.179,0.218","0.058,0.065,0.106",NA,NA,NA,NA,NA,NA,133197737,133197940,133197797,133197940,133194303,133194404,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Ciz1","ENSMUSG00000039205","chr2","+",1.11778498124126e-07,0.132,"0.881,0.827,0.877","0.773,0.745,0.67",NA,NA,NA,NA,NA,NA,32253444,32253668,32253634,32253668,32253072,32253170,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Srpk2","ENSMUSG00000062604","chr5","-",3.00164594680645e-07,-0.377,"0.567,0.592,0.709","1.0,1.0,1.0",NA,NA,NA,NA,NA,NA,23745372,23745501,23745372,23745479,23746106,23747116,NA,NA,NA,NA,NA,NA
"KO_vs_Neg","A3SS","Alternative 3' Splice Site","Nr1h2","ENSMUSG00000060601","chr7","-",3.7669229746049e-07,-0.176,"0.264,0.261,0.199","0.452,0.4,0.401",NA,NA,NA,NA,NA,NA,44201378,44201767,44201378,44201669,44201930,44202044,NA,NA,NA,NA,NA,NA
