Gene	Comparison	EventType	dPSI	FDR	Chromosome	Start	End	ExonLength	IGV_coordinate	IGV_narrow
Sgip1	KO_vs_Neg	SE	-0.567	8.74e-06	chr4	102757722	102757734	12	chr4:102757222-102758234	chr4:102757622-102757834
Dlg1	KO_vs_Neg	SE	-0.565	0.0252	chr16	31673485	31673506	21	chr16:31672985-31674006	chr16:31673385-31673606
Clasp1	KO_vs_Neg	SE	-0.511	4.53e-05	chr1	118440434	118440458	24	chr1:118439934-118440958	chr1:118440334-118440558
Tpd52	KO_vs_Neg	SE	-0.48	0	chr3	9008610	9008637	27	chr3:9008110-9009137	chr3:9008510-9008737
Prss41	KO_vs_Neg	SE	0.469	0.000143	chr17	24062930	24062957	27	chr17:24062430-24063457	chr17:24062830-24063057
Dnm3	KO_vs_Neg	SE	-0.456	0.000758	chr1	161872954	161872966	12	chr1:161872454-161873466	chr1:161872854-161873066
Phf14	KO_vs_Neg	SE	0.456	0.00369	chr6	12047123	12047153	30	chr6:12046623-12047653	chr6:12047023-12047253
Mocs2	KO_vs_Neg	SE	-0.412	4.85e-07	chr13	114961746	114961770	24	chr13:114961246-114962270	chr13:114961646-114961870
Shank1	KO_vs_Neg	SE	-0.412	0.0113	chr7	43993721	43993745	24	chr7:43993221-43994245	chr7:43993621-43993845
Bin1	KO_vs_Neg	SE	-0.408	0.00628	chr18	32562752	32562776	24	chr18:32562252-32563276	chr18:32562652-32562876
Micu1	KO_vs_Neg	SE	-0.404	0.000167	chr10	59602905	59602911	6	chr10:59602405-59603411	chr10:59602805-59603011
Tbc1d4	KO_vs_Neg	SE	-0.389	9.93e-07	chr14	101698134	101698137	3	chr14:101697634-101698637	chr14:101698034-101698237
Bin1	KO_vs_Neg	SE	-0.387	0.000121	chr18	32562752	32562776	24	chr18:32562252-32563276	chr18:32562652-32562876
Meaf6	KO_vs_Neg	SE	-0.383	3.3e-09	chr4	125001309	125001339	30	chr4:125000809-125001839	chr4:125001209-125001439
Plch2	KO_vs_Neg	SE	-0.381	0.00127	chr4	155069822	155069849	27	chr4:155069322-155070349	chr4:155069722-155069949
Wnk1	KO_vs_Neg	SE	-0.363	0.0155	chr6	119905083	119905110	27	chr6:119904583-119905610	chr6:119904983-119905210
Pus7	KO_vs_Neg	SE	-0.351	0	chr5	23968331	23968349	18	chr5:23967831-23968849	chr5:23968231-23968449
Slit2	KO_vs_Neg	SE	-0.349	6.86e-06	chr5	48378308	48378332	24	chr5:48377808-48378832	chr5:48378208-48378432
Ttc8	KO_vs_Neg	SE	-0.347	0.0184	chr12	98903378	98903408	30	chr12:98902878-98903908	chr12:98903278-98903508
Sgip1	KO_vs_Neg	SE	-0.345	4.57e-07	chr4	102762761	102762773	12	chr4:102762261-102763273	chr4:102762661-102762873
Adgrl2	KO_vs_Neg	SE	-0.342	0	chr3	148566062	148566074	12	chr3:148565562-148566574	chr3:148565962-148566174
Dop1a	KO_vs_Neg	SE	-0.342	3.07e-09	chr9	86388923	86388953	30	chr9:86388423-86389453	chr9:86388823-86389053
Agrn	KO_vs_Neg	SE	-0.34	0.0119	chr4	156253002	156253026	24	chr4:156252502-156253526	chr4:156252902-156253126
Shank3	KO_vs_Neg	SE	-0.338	0.00615	chr15	89440923	89440951	28	chr15:89440423-89441451	chr15:89440823-89441051
Clasp2	KO_vs_Neg	SE	-0.337	0	chr9	113687648	113687672	24	chr9:113687148-113688172	chr9:113687548-113687772
Car14	KO_vs_Neg	SE	-0.337	0.0107	chr3	95808770	95808792	22	chr3:95808270-95809292	chr3:95808670-95808892
Lmbr1	KO_vs_Neg	SE	0.332	4.17e-08	chr5	29528799	29528822	23	chr5:29528299-29529322	chr5:29528699-29528922
Trrap	KO_vs_Neg	SE	-0.331	0	chr5	144747141	144747162	21	chr5:144746641-144747662	chr5:144747041-144747262
Itga8	KO_vs_Neg	SE	-0.331	5.24e-06	chr2	12198080	12198093	13	chr2:12197580-12198593	chr2:12197980-12198193
Sh3glb2	KO_vs_Neg	SE	-0.33	0	chr2	30239237	30239249	12	chr2:30238737-30239749	chr2:30239137-30239349
