"metric","value"
"group_name","group3b_negonly_all_sizes"
"group_label","Neg-Only All Sizes"
"total_genes","711"
"genes_with_sig_pos_events","254"
"genes_without_sig_pos_events","457"
"pct_genes_with_sig_pos","35.7"
"pos_total_sig_events","520"
"pos_sig_SE","351"
"pos_sig_A3SS","34"
"pos_sig_A5SS","31"
"pos_sig_MXE","53"
"pos_sig_RI","51"
"pos_sig_microexon","31"
"pos_sig_small","34"
"pos_sig_regular","286"
"pos_sig_inclusion","209"
"pos_sig_exclusion","311"
"neg_total_sig_events","1085"
"neg_sig_SE","717"
"neg_sig_A3SS","85"
"neg_sig_A5SS","59"
"neg_sig_MXE","93"
"neg_sig_RI","131"
"neg_sig_microexon","93"
"neg_sig_small","87"
"neg_sig_regular","537"
"neg_sig_inclusion","563"
"neg_sig_exclusion","522"
