"GeneID","geneSymbol","neg_n_sig","neg_event_types","neg_n_SE","neg_n_microexon","neg_n_inclusion","neg_n_exclusion","neg_mean_dPSI","neg_mean_abs_dPSI","pos_n_sig","pos_event_types","pos_n_SE","pos_n_microexon","pos_n_inclusion","pos_n_exclusion","pos_mean_dPSI","pos_mean_abs_dPSI"
"ENSMUSG00000121504","Ppp4r1l-ps",13,"A3SS,A5SS,MXE,SE",7,0,3,10,-0.0625,0.1989,13,"A3SS,MXE,SE",8,0,3,10,-0.1365,0.191
"ENSMUSG00000097039","Pvt1",7,"A5SS,MXE,SE",4,0,2,5,-0.0727,0.1439,7,"MXE,SE",4,0,2,5,-0.0564,0.1416
"ENSMUSG00000025006","Sorbs1",7,"A3SS,MXE,SE",5,1,4,3,0.0384,0.1727,4,"A3SS,SE",3,0,2,2,0.0348,0.1683
"ENSMUSG00000020166","Cnot2",5,"SE",5,0,0,5,-0.2236,0.2236,1,"SE",1,0,0,1,-0.144,0.144
"ENSMUSG00000021268","Meg3",5,"A3SS,MXE,SE",3,0,2,3,0.0268,0.3012,1,"SE",1,0,0,1,-0.331,0.331
"ENSMUSG00000022708","Zbtb20",4,"MXE,SE",2,0,3,1,0.1578,0.2112,1,"MXE",0,0,0,1,-0.209,0.209
"ENSMUSG00000031865","Dctn1",4,"MXE,SE",2,4,3,1,0.129,0.1975,1,"SE",1,1,0,1,-0.117,0.117
"ENSMUSG00000038831","Ralgps1",4,"A3SS,SE",2,0,3,1,0.082,0.141,0,"",0,0,0,0,NA,NA
"ENSMUSG00000039844","Rapgef1",5,"A3SS,MXE,SE",2,0,5,0,0.152,0.152,1,"MXE",0,0,1,0,0.127,0.127
"ENSMUSG00000048029","Eno4",4,"A3SS,SE",3,0,1,3,-0.1035,0.1725,0,"",0,0,0,0,NA,NA
"ENSMUSG00000070047","Fat1",4,"MXE,SE",3,0,4,0,0.2512,0.2512,1,"SE",1,0,0,1,-0.138,0.138
"ENSMUSG00000020300","Cpeb4",3,"MXE,SE",2,2,2,1,0.0547,0.1233,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024330","Col11a2",3,"SE",3,0,3,0,0.3367,0.3367,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024921","Smarca2",3,"SE",3,0,1,2,-0.0367,0.14,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028078","Dclk2",3,"SE",3,2,3,0,0.1243,0.1243,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028184","Adgrl2",4,"A5SS,SE",3,2,2,2,-0.0855,0.258,3,"A3SS,SE",2,1,1,2,-0.0603,0.135
"ENSMUSG00000029673","Auts2",4,"A5SS,MXE,SE",1,0,2,2,0.0472,0.2568,1,"SE",1,0,0,1,-0.218,0.218
"ENSMUSG00000030924","Rexo5",3,"A5SS,MXE,SE",1,0,2,1,0.001,0.169,2,"SE",2,0,0,2,-0.1685,0.1685
"ENSMUSG00000031256","Cstf2",4,"RI,SE",2,0,4,0,0.148,0.148,4,"A3SS,RI,SE",2,0,1,3,-0.103,0.1895
"ENSMUSG00000033287","Kctd17",3,"SE",3,0,0,3,-0.109,0.109,0,"",0,0,0,0,NA,NA
"ENSMUSG00000033419","Snap91",3,"MXE,SE",2,1,3,0,0.192,0.192,1,"MXE",0,0,0,1,-0.145,0.145
"ENSMUSG00000039126","Prune2",3,"SE",3,0,3,0,0.1157,0.1157,1,"MXE",0,0,1,0,0.104,0.104
"ENSMUSG00000041936","Agrn",4,"A5SS,RI,SE",2,1,2,2,-0.0225,0.249,1,"RI",0,0,0,1,-0.154,0.154
"ENSMUSG00000051331","Cacna1c",4,"SE",4,0,4,0,0.1605,0.1605,2,"MXE,SE",1,0,2,0,0.116,0.116
"ENSMUSG00000056486","Chn1",3,"SE",3,1,0,3,-0.1557,0.1557,2,"SE",2,0,0,2,-0.1575,0.1575
"ENSMUSG00000057858","Fam204a",6,"SE",6,0,0,6,-0.1435,0.1435,6,"MXE,SE",5,0,0,6,-0.1738,0.1738
"ENSMUSG00000061306","Slc38a10",3,"MXE,SE",2,2,2,1,0.131,0.203,0,"",0,0,0,0,NA,NA
"ENSMUSG00000062604","Srpk2",3,"A3SS,SE",2,0,2,1,0.0813,0.2287,0,"",0,0,0,0,NA,NA
"ENSMUSG00000069601","Ank3",5,"A3SS,SE",4,2,3,2,0.0746,0.1746,3,"A3SS,SE",2,0,0,3,-0.2227,0.2227
"ENSMUSG00000069631","Strada",3,"A5SS,SE",2,1,3,0,0.135,0.135,3,"MXE,SE",2,3,1,2,-0.0473,0.1627
"ENSMUSG00000074758","Gm5535",4,"SE",4,0,4,0,0.2398,0.2398,2,"SE",2,0,1,1,0.0735,0.1875
"ENSMUSG00000086035","Gm12610",5,"MXE,SE",4,0,4,1,0.123,0.2274,12,"SE",12,0,6,6,-0.0024,0.1788
"ENSMUSG00000097451","Rian",3,"A5SS,MXE,SE",1,0,2,1,0.022,0.158,6,"A3SS,A5SS,MXE,RI,SE",2,0,2,4,-0.0445,0.2548
"ENSMUSG00000097755","2010110K18Rik",3,"RI,SE",2,0,0,3,-0.1777,0.1777,0,"",0,0,0,0,NA,NA
"ENSMUSG00000119993","Gm32085",3,"A5SS,SE",2,0,2,1,0.0053,0.3247,0,"",0,0,0,0,NA,NA
"ENSMUSG00000000386","Mx1",2,"SE",2,0,1,1,-0.0245,0.1975,1,"SE",1,0,0,1,-0.312,0.312
"ENSMUSG00000000631","Myo18a",2,"SE",2,0,2,0,0.177,0.177,2,"SE",2,0,0,2,-0.282,0.282
"ENSMUSG00000000881","Dlg3",2,"MXE",0,0,1,1,-0.002,0.103,1,"SE",1,0,1,0,0.134,0.134
"ENSMUSG00000006476","Nsmf",2,"MXE,SE",1,1,1,1,0.01,0.131,1,"SE",1,0,0,1,-0.114,0.114
"ENSMUSG00000008855","Hdac5",3,"MXE,RI,SE",1,0,2,1,0.1213,0.2187,1,"RI",0,0,0,1,-0.218,0.218
"ENSMUSG00000013523","Bcas1",2,"SE",2,0,2,0,0.145,0.145,0,"",0,0,0,0,NA,NA
"ENSMUSG00000014873","Surf2",2,"RI",0,0,0,2,-0.1135,0.1135,0,"",0,0,0,0,NA,NA
"ENSMUSG00000015790","Surf1",2,"RI",0,0,0,2,-0.151,0.151,0,"",0,0,0,0,NA,NA
"ENSMUSG00000018411","Mapt",7,"A3SS,MXE,SE",4,0,4,3,0.0103,0.1686,8,"A3SS,MXE,SE",6,0,5,3,0.0388,0.1622
"ENSMUSG00000020385","Clk4",3,"SE",3,0,1,2,-0.099,0.191,2,"SE",2,0,1,1,-0.019,0.205
"ENSMUSG00000021068","Nin",2,"SE",2,0,2,0,0.294,0.294,0,"",0,0,0,0,NA,NA
"ENSMUSG00000021071","Trim9",2,"SE",2,0,2,0,0.1625,0.1625,3,"A3SS,SE",2,1,3,0,0.2827,0.2827
"ENSMUSG00000021103","Mnat1",2,"SE",2,0,1,1,0.171,0.486,0,"",0,0,0,0,NA,NA
"ENSMUSG00000021820","Camk2g",3,"MXE,SE",2,0,2,1,0.0587,0.13,1,"SE",1,0,1,0,0.192,0.192
"ENSMUSG00000022139","Mbnl2",2,"SE",2,0,2,0,0.129,0.129,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022607","Ptk2",2,"SE",2,0,0,2,-0.219,0.219,2,"SE",2,0,0,2,-0.1335,0.1335
"ENSMUSG00000022770","Dlg1",2,"SE",2,1,1,1,0.0175,0.1215,1,"A5SS",0,0,1,0,0.153,0.153
"ENSMUSG00000022838","Eaf2",2,"SE",2,0,0,2,-0.2205,0.2205,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022948","Setd4",4,"A5SS,SE",3,0,2,2,-0.013,0.1885,2,"A5SS,SE",1,0,1,1,-0.0345,0.1545
"ENSMUSG00000022973","Synj1",3,"SE",3,0,3,0,0.2253,0.2253,3,"MXE,SE",2,0,3,0,0.2457,0.2457
"ENSMUSG00000022983","Scaf4",2,"RI",0,0,0,2,-0.1395,0.1395,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024044","Epb41l3",3,"MXE,SE",2,0,2,1,0.064,0.178,3,"SE",3,0,2,1,0.0167,0.1313
"ENSMUSG00000024163","Mapk8ip3",2,"MXE,SE",1,2,1,1,-0.021,0.17,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024293","Esco1",2,"SE",2,0,0,2,-0.1155,0.1155,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024381","Bin1",2,"SE",2,2,2,0,0.149,0.149,1,"SE",1,0,0,1,-0.168,0.168
"ENSMUSG00000024485","Slc4a9",2,"RI,SE",1,0,1,1,-0.0695,0.3335,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024726","Carnmt1",2,"SE",2,0,1,1,0.016,0.203,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024887","Asah2",2,"SE",2,0,0,2,-0.18,0.18,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024908","Ppp6r3",2,"A3SS,SE",1,1,1,1,0.03,0.181,0,"",0,0,0,0,NA,NA
"ENSMUSG00000025816","Sec61a2",2,"SE",2,0,1,1,-0.019,0.12,1,"MXE",0,0,0,1,-0.102,0.102
"ENSMUSG00000026388","3110009E18Rik",3,"MXE,SE",1,0,1,2,-0.0387,0.1633,3,"MXE,SE",2,0,2,1,0.042,0.1273
"ENSMUSG00000026490","Cdc42bpa",2,"MXE,SE",1,0,2,0,0.1435,0.1435,1,"SE",1,0,0,1,-0.227,0.227
"ENSMUSG00000026767","Mindy3",2,"MXE,SE",1,0,0,2,-0.2395,0.2395,1,"SE",1,0,1,0,0.101,0.101
"ENSMUSG00000027478","Dnmt3b",2,"MXE,SE",1,0,1,1,0.056,0.183,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028524","Sgip1",3,"SE",3,2,3,0,0.2543,0.2543,1,"SE",1,0,1,0,0.128,0.128
"ENSMUSG00000028886","Eya3",2,"MXE,SE",1,0,2,0,0.2055,0.2055,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029095","Ablim2",2,"SE",2,0,2,0,0.202,0.202,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029462","Vps29",2,"SE",2,2,2,0,0.1375,0.1375,0,"",0,0,0,0,NA,NA
"ENSMUSG00000030089","Slc41a3",3,"MXE,SE",2,0,2,1,0.0393,0.222,1,"SE",1,0,1,0,0.139,0.139
"ENSMUSG00000030172","Erc1",2,"SE",2,1,2,0,0.1455,0.1455,0,"",0,0,0,0,NA,NA
"ENSMUSG00000031561","Tenm3",2,"SE",2,2,2,0,0.1975,0.1975,1,"SE",1,1,0,1,-0.107,0.107
