"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR","significant","direction"
"chrX:150586751:150586798:150586565:150587441:SE","SE","ENSMUSG00000025261","Huwe1",47,"Small (30-50bp)",0.183,0.00141797295325857,TRUE,"Inclusion (dPSI > 0)"
"chrX:150587441:150587536:150586565:150589267:SE","SE","ENSMUSG00000025261","Huwe1",95,"Regular (>50bp)",-0.103,0.0032201028538228,TRUE,"Exclusion (dPSI < 0)"
"chrX:150587441:150587536:150586565:150589271:SE","SE","ENSMUSG00000025261","Huwe1",95,"Regular (>50bp)",-0.111,0.0180475924478087,TRUE,"Exclusion (dPSI < 0)"
"chrX:132973426:132973513:132973223:132973884:SE","SE","ENSMUSG00000031256","Cstf2",87,"Regular (>50bp)",-0.291,4.17755326674286e-09,TRUE,"Exclusion (dPSI < 0)"
"chrX:132973426:132973513:132973223:132973962:SE","SE","ENSMUSG00000031256","Cstf2",87,"Regular (>50bp)",-0.167,3.0090896213522e-09,TRUE,"Exclusion (dPSI < 0)"
"chrX:84637257:84637360:84619216:84652998:SE","SE","ENSMUSG00000035476","Tab3",103,"Regular (>50bp)",0.119,0.00223357259034471,TRUE,"Inclusion (dPSI > 0)"
"chrX:13418611:13418680:13417221:13421116:SE","SE","ENSMUSG00000031012","Cask",69,"Regular (>50bp)",0.134,0.000352031808409297,TRUE,"Inclusion (dPSI > 0)"
"chr19:41516999:41517079:41472039:41540887:SE","SE","ENSMUSG00000025019","Lcor",80,"Regular (>50bp)",0.187,0.00443076990762749,TRUE,"Inclusion (dPSI > 0)"
"chr19:4317774:4318002:4316665:4318572:SE","SE","ENSMUSG00000034616","Ssh3",228,"Regular (>50bp)",-0.213,0.000151679272847905,TRUE,"Exclusion (dPSI < 0)"
"chr19:4317774:4318006:4316665:4318572:SE","SE","ENSMUSG00000034616","Ssh3",232,"Regular (>50bp)",-0.136,0.000226511019656802,TRUE,"Exclusion (dPSI < 0)"
"chr18:61938707:61938715:61938217:61939457:SE","SE","ENSMUSG00000032735","Ablim3",8,"Microexon (0-30bp)",-0.145,0.00680940737724422,TRUE,"Exclusion (dPSI < 0)"
"chr18:35733097:35733170:35731812:35741790:SE","SE","ENSMUSG00000037058","Paip2",73,"Regular (>50bp)",0.46,4.65296209505786e-08,TRUE,"Inclusion (dPSI > 0)"
"chr18:35733097:35733170:35731812:35746375:SE","SE","ENSMUSG00000037058","Paip2",73,"Regular (>50bp)",0.236,0.00308228547105595,TRUE,"Inclusion (dPSI > 0)"
"chr18:35741790:35741872:35731812:35742645:SE","SE","ENSMUSG00000037058","Paip2",82,"Regular (>50bp)",-0.244,0.00201137869817928,TRUE,"Exclusion (dPSI < 0)"
"chr18:35741790:35741872:35733170:35743923:SE","SE","ENSMUSG00000037058","Paip2",82,"Regular (>50bp)",-0.291,0.000109251624230532,TRUE,"Exclusion (dPSI < 0)"
"chr18:35742645:35742726:35733170:35743923:SE","SE","ENSMUSG00000037058","Paip2",81,"Regular (>50bp)",-0.154,0.0143406848407775,TRUE,"Exclusion (dPSI < 0)"
"chr18:35625911:35626019:35571433:35626197:SE","SE","ENSMUSG00000024357","Sil1",108,"Regular (>50bp)",-0.203,0.0235341333076469,TRUE,"Exclusion (dPSI < 0)"
"chr18:32563802:32563910:32562776:32565035:SE","SE","ENSMUSG00000024381","Bin1",108,"Regular (>50bp)",-0.168,5.60443015233383e-05,TRUE,"Exclusion (dPSI < 0)"
"chr18:6115813:6115850:6070091:6135803:SE","SE","ENSMUSG00000041225","Arhgap12",37,"Small (30-50bp)",0.116,0.0490154190451444,TRUE,"Inclusion (dPSI > 0)"
"chr17:34819324:34819351:34819111:34819468:SE","SE","ENSMUSG00000015452","Ager",27,"Microexon (0-30bp)",-0.122,0.0171914712868452,TRUE,"Exclusion (dPSI < 0)"
"chr17:21789310:21789389:21787507:21794118:SE","SE","ENSMUSG00000067931","Zfp948",79,"Regular (>50bp)",0.128,9.00811004318081e-08,TRUE,"Inclusion (dPSI > 0)"
"chr17:6172102:6172619:6156857:6187485:SE","SE","ENSMUSG00000034377","Tulp4",517,"Regular (>50bp)",-0.497,0.000230168188191636,TRUE,"Exclusion (dPSI < 0)"
"chr17:5851473:5851616:5849035:5852987:SE","SE","ENSMUSG00000096965","3300005D01Rik",143,"Regular (>50bp)",-0.189,4.52761380502343e-07,TRUE,"Exclusion (dPSI < 0)"
"chr17:5851473:5851616:5850268:5852987:SE","SE","ENSMUSG00000096965","3300005D01Rik",143,"Regular (>50bp)",-0.116,8.64525148203521e-05,TRUE,"Exclusion (dPSI < 0)"
"chr16:93390134:93390220:93388191:93393185:SE","SE","ENSMUSG00000022948","Setd4",86,"Regular (>50bp)",0.12,0.00628067002954597,TRUE,"Inclusion (dPSI > 0)"
"chr15:73236889:73237044:73215208:73294857:SE","SE","ENSMUSG00000022607","Ptk2",155,"Regular (>50bp)",-0.124,0.00293072824508913,TRUE,"Exclusion (dPSI < 0)"
"chr15:73263607:73263729:73202864:73266496:SE","SE","ENSMUSG00000022607","Ptk2",122,"Regular (>50bp)",-0.143,0.0468979104394288,TRUE,"Exclusion (dPSI < 0)"
"chr15:66495609:66495732:66494666:66495840:SE","SE","ENSMUSG00000072501","Phf20l1",123,"Regular (>50bp)",-0.277,3.44219544020406e-08,TRUE,"Exclusion (dPSI < 0)"
"chr15:61978972:61979314:61910050:62114022:SE","SE","ENSMUSG00000097039","Pvt1",342,"Regular (>50bp)",-0.123,0.0306070663023369,TRUE,"Exclusion (dPSI < 0)"
"chr15:62031845:62031977:61910050:62047315:SE","SE","ENSMUSG00000097039","Pvt1",132,"Regular (>50bp)",-0.118,0.0334578316845123,TRUE,"Exclusion (dPSI < 0)"
"chr15:62031845:62031977:62021201:62047315:SE","SE","ENSMUSG00000097039","Pvt1",132,"Regular (>50bp)",-0.138,0.00304070441608889,TRUE,"Exclusion (dPSI < 0)"
"chr15:62047612:62047775:62047397:62094585:SE","SE","ENSMUSG00000097039","Pvt1",163,"Regular (>50bp)",-0.193,0.00173356617197294,TRUE,"Exclusion (dPSI < 0)"
"chr15:5061368:5061615:5052181:5063667:SE","SE","ENSMUSG00000079105","C7",247,"Regular (>50bp)",-0.153,0.00420360995311163,TRUE,"Exclusion (dPSI < 0)"
"chr14:61861881:61861931:61841255:61862668:SE","SE","ENSMUSG00000097589","Dleu2",50,"Small (30-50bp)",-0.206,0.0181912535502611,TRUE,"Exclusion (dPSI < 0)"
"chr14:57048196:57048316:57048053:57049048:SE","SE","ENSMUSG00000040123","Zmym5",120,"Regular (>50bp)",-0.257,2.72650929155964e-05,TRUE,"Exclusion (dPSI < 0)"
"chrX:72949762:72949825:72949469:72950034:SE","SE","ENSMUSG00000031389","Arhgap4",63,"Regular (>50bp)",-0.256,0.00549118627373868,TRUE,"Exclusion (dPSI < 0)"
"chr14:52126603:52126854:52126293:52126984:SE","SE","ENSMUSG00000004561","Mettl17",251,"Regular (>50bp)",-0.164,0.0101770932992758,TRUE,"Exclusion (dPSI < 0)"
"chr14:45860297:45860399:45858297:45866310:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.202,9.08505595997864e-08,TRUE,"Inclusion (dPSI > 0)"
"chr14:45860297:45860399:45858297:45867036:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.229,1.00094948310059e-07,TRUE,"Inclusion (dPSI > 0)"
"chr19:44514654:44514754:44514093:44515043:SE","SE","ENSMUSG00000051984","Sec31b",100,"Regular (>50bp)",-0.138,0.0177730572840249,TRUE,"Exclusion (dPSI < 0)"
"chr13:74731765:74731992:74729359:74739390:SE","SE","ENSMUSG00000113204","Gm46430",227,"Regular (>50bp)",-0.324,0.0498277729635883,TRUE,"Exclusion (dPSI < 0)"
