"comparison","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","IncLevelDifference","FDR"
"KO_vs_Neg","ENSMUSG00000031012","Cask","chrX",13462924,13462942,18,-0.208,0
"KO_vs_Neg","ENSMUSG00000024163","Mapk8ip3","chr17",25127384,25127402,18,-0.255,0
"KO_vs_Neg","ENSMUSG00000045983","Eif4g1","chr16",20493535,20493556,21,-0.224,0
"KO_vs_Neg","ENSMUSG00000009035","Tmem184b","chr15",79247857,79247878,21,-0.216,0
"KO_vs_Neg","ENSMUSG00000021427","Ssr1","chr13",38167070,38167085,15,-0.264,0
"KO_vs_Neg","ENSMUSG00000035954","Dock4","chr12",40844595,40844622,27,-0.155,0
"KO_vs_Neg","ENSMUSG00000049807","Arhgap23","chr11",97382469,97382492,23,-0.278,0
"KO_vs_Neg","ENSMUSG00000057541","Pus7","chr5",23968331,23968349,18,-0.351,0
"KO_vs_Neg","ENSMUSG00000003810","Mast2","chr4",116190609,116190630,21,-0.282,0
"KO_vs_Neg","ENSMUSG00000061306","Slc38a10","chr11",119999292,119999316,24,-0.207,0
"KO_vs_Neg","ENSMUSG00000028218","Cibar1","chr4",12169957,12169978,21,-0.147,0
"KO_vs_Neg","ENSMUSG00000028184","Adgrl2","chr3",148566062,148566074,12,-0.342,0
"KO_vs_Neg","ENSMUSG00000032826","Ank2","chr3",126772904,126772916,12,-0.322,0
"KO_vs_Neg","ENSMUSG00000039671","Zmynd8","chr2",165694787,165694799,12,-0.309,0
"KO_vs_Neg","ENSMUSG00000033392","Clasp2","chr9",113687648,113687672,24,-0.337,0
"KO_vs_Neg","ENSMUSG00000033392","Clasp2","chr9",113707817,113707841,24,-0.174,0
"KO_vs_Neg","ENSMUSG00000038365","Fbxo25","chr8",13988921,13988948,27,-0.2,0
"KO_vs_Neg","ENSMUSG00000037062","Sh3glb1","chr3",144405614,144405638,24,-0.181,0
"KO_vs_Neg","ENSMUSG00000045482","Trrap","chr5",144747141,144747162,21,-0.331,0
"KO_vs_Neg","ENSMUSG00000020231","Dip2a","chr10",76107209,76107239,30,-0.293,0
"KO_vs_Neg","ENSMUSG00000026782","Abi2","chr1",60478100,60478118,18,-0.283,0
"KO_vs_Neg","ENSMUSG00000016664","Pacsin2","chr15",83267823,83267829,6,-0.259,0
"KO_vs_Neg","ENSMUSG00000027523","Gnas","chr2",174169900,174169924,24,-0.192,0
"KO_vs_Neg","ENSMUSG00000024908","Ppp6r3","chr19",3509746,3509764,18,-0.23,0
"KO_vs_Neg","ENSMUSG00000027506","Tpd52","chr3",9008610,9008637,27,-0.48,0
"KO_vs_Neg","ENSMUSG00000036104","Rab3gap1","chr1",127869330,127869351,21,-0.286,0
"KO_vs_Neg","ENSMUSG00000028863","Meaf6","chr4",125001309,125001339,30,-0.124,0
"KO_vs_Neg","ENSMUSG00000028863","Meaf6","chr4",125001309,125001339,30,-0.202,0
"KO_vs_Neg","ENSMUSG00000001248","Gramd1a","chr7",30832644,30832656,12,-0.209,0
"KO_vs_Neg","ENSMUSG00000022329","Stk3","chr15",35115083,35115104,21,-0.16,0
"KO_vs_Neg","ENSMUSG00000027575","Arfgap1","chr2",180620204,180620234,30,-0.199,0
"KO_vs_Neg","ENSMUSG00000027799","Nbea","chr3",55901468,55901477,9,-0.284,0
"KO_vs_Neg","ENSMUSG00000040687","Madd","chr2",90971153,90971162,9,-0.262,0
"KO_vs_Neg","ENSMUSG00000045962","Wnk1","chr6",119905083,119905110,27,-0.108,0
"KO_vs_Neg","ENSMUSG00000031865","Dctn1","chr6",83160917,83160938,21,-0.255,0
"KO_vs_Neg","ENSMUSG00000031865","Dctn1","chr6",83174300,83174315,15,-0.196,0
"KO_vs_Neg","ENSMUSG00000005881","Ergic3","chr2",155857296,155857311,15,-0.292,0
"KO_vs_Neg","ENSMUSG00000031391","L1cam","chrX",72899257,72899269,12,-0.148,0
"KO_vs_Neg","ENSMUSG00000031391","L1cam","chrX",72910627,72910642,15,-0.105,0
"KO_vs_Neg","ENSMUSG00000029462","Vps29","chr5",122494856,122494868,12,-0.196,0
"KO_vs_Neg","ENSMUSG00000039361","Picalm","chr7",89843480,89843504,24,-0.187,0
"KO_vs_Neg","ENSMUSG00000004207","Psap","chr10",60133316,60133325,9,-0.238,0
"KO_vs_Neg","ENSMUSG00000037519","Ppfia1","chr7",144056603,144056633,30,-0.289,0
