"VastDB.ID","gene","length","chrom","start","end","strand","neural.trend","ASD.trend","Ptbp1.dPSI","Ptbp1.signif","Srrm4.dPSI","Srrm4.signif","Srrm3.Srrm4.dPSI","Srrm3.Srrm4.signif","Srsf11.dPSI","Srsf11.signif","Rbfox2.dPSI","Rbfox2.signif","Srrm3.dPSI","Srrm3.signif","Rnps1.dPSI","Rnps1.signif","srrm3_srrm4_dPSI","srrm3_dPSI","srrm4_dPSI","srrm3_srrm4_signif","srrm3_signif","srrm4_signif","match_type","n_rmats_candidates","rmats_id","rmats_gene","rmats_chr","rmats_start","rmats_end","rmats_exon_size","rmats_dPSI","rmats_FDR","rmats_PValue"
"MmuEX0000084","1110007C09Rik",15,"chr13",49305573,49311305,"-",NA,NA,NA,"n.s.",1.6,"n.s.",-1,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",NA,"n.s.",-0.01,0,0.016,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000148","1110034B05Rik",25,"chr1",57450332,57450890,"-",NA,NA,8,"n.s.",-2.9,"n.s.",4,"n.s.",2,"n.s.",2,"n.s.",-3,"n.s.",19,"higher",0.04,-0.03,-0.029,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000509","1700029F09Rik",30,"chr1",44145373,44148205,"-",NA,NA,2,"n.s.",-0.4,"n.s.",-2,"n.s.",-2,"n.s.",-1,"n.s.",-2,"n.s.",-1,"n.s.",-0.02,-0.02,-0.004,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000612","1700106N22Rik",3,"chr17",85794006,85801765,"+",NA,NA,0,"n.s.",1.6,"n.s.",2,"n.s.",-2,"n.s.",-2,"n.s.",0,"n.s.",0,"n.s.",0.02,0,0.016,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000678","1810043G02Rik",19,"chr10",77441527,77443245,"+",NA,NA,0,"n.s.",-0.2,"n.s.",2,"n.s.",3,"n.s.",0,"n.s.",0,"n.s.",-6,"n.s.",0.02,0,-0.002,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000738","2010111I01Rik",13,"chr13",63383567,63398165,"+",NA,NA,0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,0,0,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000772","2210016L21Rik",9,"chr5",115396374,115397171,"+",NA,NA,3,"n.s.",-2.5,"n.s.",0,"n.s.",3,"n.s.",5,"n.s.",-2,"n.s.",-2,"n.s.",0,-0.02,-0.025,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000885","2310021P13Rik",7,"chr14",21537215,21537648,"+",NA,NA,1,"n.s.",0.3,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",3,"n.s.",0,0,0.003,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0000992","2410002O22Rik",18,"chr13",104940264,104944375,"-","Neural-low","inconsistent",2,"n.s.",3.8,"n.s.",3,"n.s.",-6,"n.s.",-3,"n.s.",-4,"n.s.",-43,"lower",0.03,-0.04,0.038,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0001025","2410089E03Rik",4,"chr15",8214442,8219618,"+",NA,NA,1,"n.s.",-0.2,"n.s.",-1,"n.s.",-2,"n.s.",0,"n.s.",-1,"n.s.",0,"n.s.",-0.01,-0.01,-0.002,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0001668","4930534B04Rik",24,"chr12",92260918,92322113,"-",NA,NA,0,"n.s.",0.1,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",0,0,0.001,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0001861","4933424B01Rik",24,"chr6",146508733,146510250,"-","Neural-high",NA,NA,"n.s.",-0.5,"n.s.",0,"n.s.",1,"n.s.",NA,"n.s.",NA,"n.s.",NA,"n.s.",0,NA,-0.005,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0001871","4933427D14Rik",3,"chr11",71973023,71979018,"-",NA,NA,1,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",-2,"n.s.",0,-0.01,0,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0002065","5830417I10Rik",24,"chr3",88593321,88603536,"+",NA,NA,5,"n.s.",5.6,"n.s.",8,"n.s.",-5,"n.s.",-2,"n.s.",-2,"n.s.",-8,"n.s.",0.08,-0.02,0.056,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0002361","9430015G10Rik",7,"chr4",155488111,155491118,"+",NA,NA,-1,"n.s.",-0.6,"n.s.",-2,"n.s.",1,"n.s.",2,"n.s.",-3,"n.s.",-2,"n.s.",-0.02,-0.03,-0.006,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0002493","A430033K04Rik",14,"chr5",139077519,139080643,"+",NA,NA,0,"n.s.",-1,"n.s.",0,"n.s.",0,"n.s.",3,"n.s.",-2,"n.s.",-2,"n.s.",0,-0.02,-0.01,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0002512","A430110N23Rik",27,"chr7",4877582,4878575,"+",NA,NA,0,"n.s.",-3.4,"n.s.",0,"n.s.",0,"n.s.",5,"n.s.",-3,"n.s.",NA,"n.s.",0,-0.03,-0.034,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MmuEX0002733","AI413582",26,"chr17",27701285,27701506,"-",NA,"n.s.",NA,"n.s.",0.1,"n.s.",-2,"n.s.",1,"n.s.",-2,"n.s.",2,"n.s.",-4,"n.s.",-0.02,0.02,0.001,"n.s.","n.s.","n.s.","unmatched",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
