"VastDB.ID","paper_gene","paper_length","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","exon_size","strand","IncLevelDifference","FDR"
"MmuEX0000269","1500009L16Rik",25,"gene_size",3,TRUE,24445,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.011,0.0688346842703509
"MmuEX0000269","1500009L16Rik",25,"gene_size",3,FALSE,24446,"1500009L16Rik","chr10",83573772,83573797,25,"+",-0.011,1
"MmuEX0000269","1500009L16Rik",25,"gene_size",3,FALSE,24447,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.005,1
"MmuEX0000800","2210408F21Rik",29,"gene_size",2,TRUE,47479,"2210408F21Rik","chr6",31305266,31305295,29,"+",0.139,1
"MmuEX0000800","2210408F21Rik",29,"gene_size",2,FALSE,47480,"2210408F21Rik","chr6",31305266,31305295,29,"+",-0.123,0.429083680886107
"MmuEX0001195","2700062C07Rik",23,"gene_size",2,FALSE,2840,"2700062C07Rik","chr18",24604118,24604141,23,"+",-0.05,1.36249541240055e-05
"MmuEX0001195","2700062C07Rik",23,"gene_size",2,TRUE,2841,"2700062C07Rik","chr18",24604118,24604141,23,"+",-0.097,0.0135345334226067
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,FALSE,18782,"9430015G10Rik","chr4",156208432,156208458,26,"+",0.006,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,TRUE,18783,"9430015G10Rik","chr4",156208432,156208458,26,"+",0.025,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,FALSE,18785,"9430015G10Rik","chr4",156208548,156208579,31,"+",0.009,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,FALSE,18786,"9430015G10Rik","chr4",156208548,156208579,31,"+",-0.004,1
"MmuEX0003242","Abi1",15,"gene_size",2,TRUE,25099,"Abi1","chr2",22853225,22853240,15,"-",-0.066,0
"MmuEX0003242","Abi1",15,"gene_size",2,FALSE,25100,"Abi1","chr2",22853225,22853240,15,"-",-0.026,0.951966252961231
"MmuEX0004297","Agrn",12,"gene_size",2,FALSE,29014,"Agrn","chr4",156254002,156254014,12,"-",-0.011,1
"MmuEX0004297","Agrn",12,"gene_size",2,TRUE,29015,"Agrn","chr4",156254002,156254014,12,"-",-0.097,1.98614129469539e-08
"MmuEX0004311","Agrn",24,"gene_size",2,TRUE,29010,"Agrn","chr4",156253002,156253026,24,"-",0.029,5.42898844939e-07
"MmuEX0004311","Agrn",24,"gene_size",2,FALSE,29011,"Agrn","chr4",156253002,156253026,24,"-",0.042,1
"MmuEX0004470","Akap1",13,"gene_size",2,FALSE,31355,"Akap1","chr11",88734637,88734650,13,"-",0.002,1
"MmuEX0004470","Akap1",13,"gene_size",2,TRUE,31356,"Akap1","chr11",88734637,88734650,13,"-",-0.445,0.477586324369771
"MmuEX0004898","Ank2",12,"gene_size",2,TRUE,24693,"Ank2","chr3",126772904,126772916,12,"-",-0.038,0.000700039680362132
"MmuEX0004898","Ank2",12,"gene_size",2,FALSE,24694,"Ank2","chr3",126772904,126772916,12,"-",-0.141,0.104918297515448
"MmuEX0004910","Ank3",12,"gene_size",2,TRUE,59804,"Ank3","chr10",69765276,69765288,12,"+",0.019,1
"MmuEX0004910","Ank3",12,"gene_size",2,FALSE,59805,"Ank3","chr10",69765276,69765288,12,"+",-0.011,1
"MmuEX0004931","Ank3",27,"gene_size_contained",2,FALSE,59798,"Ank3","chr10",69658907,69658931,24,"+",0.009,1
"MmuEX0004931","Ank3",27,"gene_size_contained",2,TRUE,59807,"Ank3","chr10",69816653,69816680,27,"+",-0.016,1
"MmuEX0005383","Ap1ar",26,"gene_size",2,FALSE,41604,"Ap1ar","chr3",127614408,127614434,26,"-",0.007,1
"MmuEX0005383","Ap1ar",26,"gene_size",2,TRUE,41605,"Ap1ar","chr3",127614408,127614434,26,"-",0.08,5.83337387088028e-10
"MmuEX0005816","Arhgap21",25,"gene_size",2,FALSE,26598,"Arhgap21","chr2",20858768,20858789,21,"-",0.003,1
"MmuEX0005816","Arhgap21",25,"gene_size",2,TRUE,26606,"Arhgap21","chr2",20888010,20888040,30,"-",0.037,1
"MmuEX0005966","Arhgef11",30,"gene_size_contained",2,FALSE,56439,"Arhgef11","chr3",87589166,87589199,33,"+",0.067,0.00024910576506058
