event,gene,VastDB.ID,chrom,strand,start,end
Acap2.E1,Acap2,MmuEX0003401,chr16,-,31129700,31129711
Acbd5.E1,Acbd5,MmuEX0003422,chr2,+,22936188,22936220
Ank2.E1,Ank2,MmuEX0004898,chr3,-,126682174,126682185
Csnk1g3.E1,Csnk1g3,MmuEX0012941,chr18,+,54108299,54108322
Dennd5a.E1,Dennd5a,MmuEX0014295,chr7,-,117078996,117079067
Dock7.E1,Dock7,MmuEX0015458,chr4,-,98660338,98660427
Ergic3.E1,Ergic3,MmuEX0017296,chr2,+,155841113,155841127
Herc4.E1,Herc4,MmuEX0022805,chr10,+,62766593,62766616
Kif1b.E1,Kif1b,MmuEX0025502,chr4,-,148639454,148639471
Kifap3.E1,Kifap3,MmuEX0025623,chr1,+,165842203,165842268
Kifc3.E1,Kifc3,MmuEX0025635,chr8,-,97624547,97624573
Madd.E1,Madd,MmuEX0027516,chr2,-,91000474,91000527
Med24.E1,Med24,MmuEX0028537,chr11,-,98579023,98579079
Mef2d.E1,Mef2d,MmuEX0028570,chr3,+,87965703,87965723
Numa1.E1,Numa1,MmuEX0032644,chr7,+,109150809,109150850
Pacsin2.E1,Pacsin2,MmuEX0033442,chr15,-,83210114,83210236
Pbrm1.E2,Pbrm1,MmuEX0033844,chr14,+,31836253,31836365
Ptbp2.E1,Ptbp2,MmuEX0037640,chr3,-,119427530,119427563
Rnf114.E4,Rnf114,MmuEX0039988,chr2,+,167332569,167332697
Senp6.E1,Senp6,MmuEX0041679,chr9,+,79946693,79946713
Sgce.E1,Sgce,MmuEX0042031,chr6,-,4640469,4640495
Trappc9.E1,Trappc9,MmuEX0048796,chr15,-,72872607,72872633
