Supplementary Table 11:,"Table related to the selection of the events from MaPSy T0 to T1,2,3,4",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,"The calculations in the different columns correspond to:
dPSI_H_G =  |(HIGH-GFP)MaPSy - (HIGH -GFP)endogenous|
dPSI_H_G+PSI_G = dPSI_H_G + GFPMaPsy 
Response = HIGHMaPsy - GFPMaPsy 
lack_of_L = LOWMaPsy - GFPMaPsy
double_res = Response + lack_of_L
doble+2G = double_res - 2 * GFPMaPsy
dob+2G+dP = (doble+2G)-|(HIGH -GFP)endogenous - (HIGH-GFP)MaPSy|",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENE,EVENT,LENGTH,TIER,CL_HEK293_GFP_CONT,CL_HEK293_SRRM4_CONT,CL_HEK293_SRRM4_LOW,CL_HEK293_SRRM4_MID,CL_HEK293_SRRM4_HIGH,,GFP,LOW,MID,HIGH,Subselection,,dPSI_H_G,dPSI_H_G+PSI_G,Response,lack_of_L,double_res,doble+2G,dob+2G+dP,,CL_HeLa_GFP_CONT,CL_HeLa_SRRM3_CONT,CL_HeLa_SRRM3_MID,CL_HeLa_SRRM3_HIGH
PHF21A,HsaEX0047035,23,HS,3.08,59.85,73.97,89.54,95.14,,0.51,38.95,91.74,96.49,T1_4,,3.9199999999999875,6.489999999999988,95.97999999999999,38.440000000000005,134.42,133.39999999999998,129.48,,0,6.52,68.98,96.51
MEF2C,HsaEX0038702,24,HS,0,11.17,61.82,98.77,96.05,,1.44,30.17,90.32,96.38,T1_4,,1.1099999999999994,2.5499999999999994,94.94,28.73,123.67,120.79,119.68,,0,29.29,88.98,84.01
MFSD6,HsaEX0039034,25,HS,0,5.5,44.92,85.66,97.9,,1.76,25.93,91.18,97.08,T1_4,,2.5800000000000125,4.340000000000012,95.32,24.169999999999998,119.49,115.97,113.38999999999999,,0,23.92,81.82,100
CERS6,HsaEX0035450,24,HS,0.13,2.39,28.87,85.35,91.55,,5.61,36.09,90.06,96.13,T1_4,,0.9000000000000057,6.380000000000006,90.52,30.480000000000004,121,109.78,108.88,,0,2.53,49.96,93.46
ANK2,HsaEX0004128,24,HS,0,49.79,67.31,100,95.59,,0.96,17.28,87.79,95.09,not_selected,,1.4599999999999937,2.4199999999999937,94.13000000000001,16.32,110.45000000000002,108.53000000000002,107.07000000000002,,0,46,88.63,100
PUS7,HsaEX0051317,18,HS,0,5.02,34.19,84.24,94.31,,0.26,12.91,83.62,93.92,T1_4,,0.6500000000000057,0.9100000000000057,93.66,12.65,106.31,105.79,105.14,,0,41.72,78.5,92.6
EMC1,HsaEX0022280,9,HS,0.49,23.83,66.56,94,97.6,,0.06,14.03,83.69,93.31,not_selected,,3.8599999999999994,4.289999999999999,93.25,13.969999999999999,107.22,107.1,103.24,,0,46.44,94.73,97.22
SFT2D1,HsaEX0057701,23,HS,1.39,9.92,22.87,60.01,65.95,,1.84,41.3,90.39,97.75,T1_4,,31.349999999999994,31.799999999999994,95.91,39.459999999999994,135.37,131.69,100.34,,0,6.62,12.26,30.2
EVI5,HsaEX0023360,10,HS,0,24.2,64.92,93,89.12,,0,14.35,83.23,87.12,not_selected,,2,2,87.12,14.35,101.47,101.47,99.47,,0,26.27,54.56,94.62
TRIM9,HsaEX0067208,24,HS,0,3.48,25.12,83.04,84.53,,1.17,18.06,87.13,94.76,T1_4,,9.060000000000002,10.230000000000002,93.59,16.89,110.48,108.14,99.08,,0,54.78,81.56,92.34
MPP7,HsaEX0039996,12,HS,0,4.35,75,89.35,94.2,,0.26,8.89,83.93,92.11,not_selected,,2.3500000000000085,2.6100000000000083,91.85,8.63,100.47999999999999,99.96,97.60999999999999,,0,20.39,73.5,96.94
GIT2,HsaEX0027514,6,HS,0,7.11,58.29,95.77,99,,0.12,8.6,86.42,94.2,not_selected,,4.920000000000002,5.040000000000002,94.08,8.48,102.56,102.32000000000001,97.4,,0,11.04,66.04,96.52
ABI1,HsaEX0000641,15,HS,2.06,33.73,61.57,95.18,95.91,,1.18,8.6,83.17,93.68,T1_4,,1.3499999999999943,2.229999999999994,92.5,7.42,99.92,97.56,96.21000000000001,,,,,
VTI1A,HsaEX0070740,21,HS,6.67,15.92,54.57,91.55,94.25,,5.98,25.86,89.53,96.58,not_selected,,3.019999999999996,3.7099999999999955,90.6,19.88,110.47999999999999,98.51999999999998,95.49999999999999,,0,83.41,96.67,98.17
CPEB4,HsaEX0016976,24,HS,5.99,11.38,63.63,88.85,86.64,,0.91,14.12,82.64,93.17,T1_4,,11.61,16.689999999999998,92.26,13.209999999999999,105.47,103.65,92.04,,0,17.13,48.15,79.76
MYO5A,HsaEX0041193,9,HS,60.26,93.33,98.87,100,100,,2.5,57.96,96.19,97.21,not_selected,,54.96999999999999,112.72999999999999,94.71,55.46,150.17,145.17,90.19999999999999,,0,84.04,100,100
FMN2,HsaEX0026020,12,HS,0,11.67,55.87,91.56,97.61,,0,5.98,77.06,89.81,not_selected,,7.799999999999997,7.799999999999997,89.81,5.98,95.79,95.79,87.99000000000001,,0,50.1,82.05,94.08
CASK,HsaEX0012545,18,HS,0,3.14,28.83,84.72,92.49,,0.17,3.73,76.86,87.95,T1_4,,4.709999999999994,4.879999999999994,87.78,3.56,91.34,91,86.29,,0,40.14,67.87,95
DCTN4,HsaEX0018777,21,HS,0,3.95,39.07,85.86,92.25,,1.9,8.34,80.81,89.81,T1_4,,4.340000000000003,6.240000000000004,87.91,6.4399999999999995,94.35,90.55,86.21,,7.9,30.02,59.29,77.78
SNX2,HsaEX0060835,12,HS,0,17.73,61.3,92.68,96.34,,0,7.94,72.75,86.54,not_selected,,9.799999999999997,9.799999999999997,86.54,7.94,94.48,94.48,84.68,,0,32.88,81.33,90.69
FRYL,HsaEX0026467,9,HS,0,5.03,36.84,89.25,91.96,,5.75,20.27,83,92.33,T1_4,,5.3799999999999955,11.129999999999995,86.58,14.52,101.1,89.6,84.22,,0,0,63.52,98.8
