Supplementary Table 18:,"Enrichment score (ES) of A complex formation performed under control condition (CTR).for variants in libraries T1, T2. Missing values are reported as NA. ",Unnamed: 2
,,
VARIANT,ES (CTR),Library
ABI1-HsaEX0000641-add_0-12,1.25,T1
ABI1-HsaEX0000641-add_0-15,1.11,T1
ABI1-HsaEX0000641-add_0-18,1.49,T1
ABI1-HsaEX0000641-add_0-21,0.9,T1
ABI1-HsaEX0000641-add_0-24,0.66,T1
ABI1-HsaEX0000641-add_0-27,0.6,T1
ABI1-HsaEX0000641-add_0-3,0.55,T1
ABI1-HsaEX0000641-add_0-6,1.03,T1
ABI1-HsaEX0000641-add_0-9,1.14,T1
ABI1-HsaEX0000641-add_1-12,0.75,T1
ABI1-HsaEX0000641-add_1-15,0.75,T1
ABI1-HsaEX0000641-add_1-18,0.98,T1
ABI1-HsaEX0000641-add_1-21,0.53,T1
ABI1-HsaEX0000641-add_1-24,0.18,T1
ABI1-HsaEX0000641-add_1-27,0.44,T1
ABI1-HsaEX0000641-add_1-3,0.82,T1
ABI1-HsaEX0000641-add_1-6,0.89,T1
ABI1-HsaEX0000641-add_1-9,0.95,T1
ABI1-HsaEX0000641-add_10-12,1.17,T1
ABI1-HsaEX0000641-add_10-15,0.57,T1
ABI1-HsaEX0000641-add_10-18,1.13,T1
ABI1-HsaEX0000641-add_10-21,0.73,T1
ABI1-HsaEX0000641-add_10-24,0.84,T1
ABI1-HsaEX0000641-add_10-27,0.49,T1
ABI1-HsaEX0000641-add_10-3,0.73,T1
ABI1-HsaEX0000641-add_10-6,0.73,T1
ABI1-HsaEX0000641-add_10-9,1.01,T1
ABI1-HsaEX0000641-add_11-12,1.03,T1
ABI1-HsaEX0000641-add_11-15,1.32,T1
ABI1-HsaEX0000641-add_11-18,0.72,T1
ABI1-HsaEX0000641-add_11-21,0.71,T1
ABI1-HsaEX0000641-add_11-24,1.17,T1
ABI1-HsaEX0000641-add_11-27,1,T1
ABI1-HsaEX0000641-add_11-3,0.37,T1
ABI1-HsaEX0000641-add_11-6,0.7,T1
ABI1-HsaEX0000641-add_11-9,0.65,T1
ABI1-HsaEX0000641-add_12-12,0.87,T1
ABI1-HsaEX0000641-add_12-15,0.53,T1
ABI1-HsaEX0000641-add_12-18,1.21,T1
ABI1-HsaEX0000641-add_12-21,1,T1
ABI1-HsaEX0000641-add_12-24,0.74,T1
ABI1-HsaEX0000641-add_12-27,0.79,T1
ABI1-HsaEX0000641-add_12-3,0.39,T1
ABI1-HsaEX0000641-add_12-6,1.11,T1
ABI1-HsaEX0000641-add_12-9,1.08,T1
ABI1-HsaEX0000641-add_13-12,1.07,T1
ABI1-HsaEX0000641-add_13-15,1.01,T1
ABI1-HsaEX0000641-add_13-18,0.82,T1
ABI1-HsaEX0000641-add_13-21,1.1,T1
ABI1-HsaEX0000641-add_13-24,0.81,T1
ABI1-HsaEX0000641-add_13-27,0.58,T1
ABI1-HsaEX0000641-add_13-3,1.14,T1
ABI1-HsaEX0000641-add_13-6,0.63,T1
ABI1-HsaEX0000641-add_13-9,0.92,T1
ABI1-HsaEX0000641-add_14-12,0.9,T1
ABI1-HsaEX0000641-add_14-15,0.5,T1
ABI1-HsaEX0000641-add_14-18,0.45,T1
ABI1-HsaEX0000641-add_14-21,0.74,T1
ABI1-HsaEX0000641-add_14-24,0.88,T1
ABI1-HsaEX0000641-add_14-27,0.91,T1
ABI1-HsaEX0000641-add_14-3,0.42,T1
ABI1-HsaEX0000641-add_14-6,0.55,T1
ABI1-HsaEX0000641-add_14-9,1.01,T1
ABI1-HsaEX0000641-add_2-12,0.36,T1
ABI1-HsaEX0000641-add_2-15,0.86,T1
ABI1-HsaEX0000641-add_2-18,0.88,T1
ABI1-HsaEX0000641-add_2-21,0.59,T1
ABI1-HsaEX0000641-add_2-24,1.07,T1
ABI1-HsaEX0000641-add_2-27,0.7,T1
ABI1-HsaEX0000641-add_2-3,0.3,T1
ABI1-HsaEX0000641-add_2-6,0.28,T1
ABI1-HsaEX0000641-add_2-9,0.35,T1
ABI1-HsaEX0000641-add_3-12,0.89,T1
ABI1-HsaEX0000641-add_3-15,0.38,T1
ABI1-HsaEX0000641-add_3-18,0.76,T1
ABI1-HsaEX0000641-add_3-21,0.99,T1
ABI1-HsaEX0000641-add_3-24,0.74,T1
ABI1-HsaEX0000641-add_3-27,0.78,T1
ABI1-HsaEX0000641-add_3-3,0.33,T1
ABI1-HsaEX0000641-add_3-6,0.82,T1
ABI1-HsaEX0000641-add_3-9,0.81,T1
ABI1-HsaEX0000641-add_4-12,0.73,T1
ABI1-HsaEX0000641-add_4-15,1.12,T1
ABI1-HsaEX0000641-add_4-18,1.16,T1
ABI1-HsaEX0000641-add_4-21,0.84,T1
ABI1-HsaEX0000641-add_4-24,1.15,T1
ABI1-HsaEX0000641-add_4-27,0.69,T1
ABI1-HsaEX0000641-add_4-3,0.78,T1
ABI1-HsaEX0000641-add_4-6,0.37,T1
ABI1-HsaEX0000641-add_4-9,0.6,T1
ABI1-HsaEX0000641-add_5-12,0.57,T1
ABI1-HsaEX0000641-add_5-15,0.23,T1
ABI1-HsaEX0000641-add_5-18,0.6,T1
ABI1-HsaEX0000641-add_5-21,0.44,T1
ABI1-HsaEX0000641-add_5-24,0.21,T1
ABI1-HsaEX0000641-add_5-27,0.33,T1
ABI1-HsaEX0000641-add_5-3,0.78,T1
ABI1-HsaEX0000641-add_5-6,0.4,T1
ABI1-HsaEX0000641-add_5-9,0.5,T1
ABI1-HsaEX0000641-add_6-12,0.68,T1
ABI1-HsaEX0000641-add_6-15,0.63,T1
ABI1-HsaEX0000641-add_6-18,0.7,T1
ABI1-HsaEX0000641-add_6-21,0.99,T1
ABI1-HsaEX0000641-add_6-24,0.93,T1
ABI1-HsaEX0000641-add_6-27,0.68,T1
ABI1-HsaEX0000641-add_6-3,0.63,T1
ABI1-HsaEX0000641-add_6-6,0.8,T1
ABI1-HsaEX0000641-add_6-9,1.03,T1
ABI1-HsaEX0000641-add_7-12,1.15,T1
ABI1-HsaEX0000641-add_7-15,0.77,T1
ABI1-HsaEX0000641-add_7-18,1,T1
ABI1-HsaEX0000641-add_7-21,0.73,T1
ABI1-HsaEX0000641-add_7-24,0.52,T1
ABI1-HsaEX0000641-add_7-27,0.32,T1
ABI1-HsaEX0000641-add_7-3,0.41,T1
ABI1-HsaEX0000641-add_7-6,0.89,T1
ABI1-HsaEX0000641-add_7-9,0.64,T1
ABI1-HsaEX0000641-add_8-12,1.37,T1
ABI1-HsaEX0000641-add_8-15,1,T1
ABI1-HsaEX0000641-add_8-18,1.07,T1
ABI1-HsaEX0000641-add_8-21,0.63,T1
ABI1-HsaEX0000641-add_8-24,0.69,T1
ABI1-HsaEX0000641-add_8-27,0.39,T1
ABI1-HsaEX0000641-add_8-6,1.07,T1
ABI1-HsaEX0000641-add_8-9,1.11,T1
ABI1-HsaEX0000641-add_9-12,1,T1
ABI1-HsaEX0000641-add_9-15,1.45,T1
ABI1-HsaEX0000641-add_9-18,0.37,T1
ABI1-HsaEX0000641-add_9-21,0.31,T1
ABI1-HsaEX0000641-add_9-24,0.31,T1
ABI1-HsaEX0000641-add_9-27,0.06,T1
ABI1-HsaEX0000641-add_9-6,0.4,T1
ABI1-HsaEX0000641-add_9-9,0.76,T1
ABI1-HsaEX0000641-addTCTC,0.33,T1
ABI1-HsaEX0000641-AdML,,T1
