Supplementary Table 8:,PSI of endogenous events under 9 experimental conditions,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GENE,EVENT,COORD,LENGTH,FullCO,COMPLEX,TIER,CL_HEK293_GFP_CONT,CL_HEK293_GFP_CONT-Q,CL_HEK293_SRRM4_CONT,CL_HEK293_SRRM4_CONT-Q,CL_HEK293_SRRM4_HIGH,CL_HEK293_SRRM4_HIGH-Q,CL_HEK293_SRRM4_LOW,CL_HEK293_SRRM4_LOW-Q,CL_HEK293_SRRM4_MID,CL_HEK293_SRRM4_MID-Q,CL_HeLa_GFP_CONT,CL_HeLa_GFP_CONT-Q,CL_HeLa_SRRM3_CONT,CL_HeLa_SRRM3_CONT-Q,CL_HeLa_SRRM3_HIGH,CL_HeLa_SRRM3_HIGH-Q,CL_HeLa_SRRM3_MID,CL_HeLa_SRRM3_MID-Q
RAPGEF6,HsaEX0052286,chr5:131511293-131511301,9,"chr5:131521390,131511293-131511301,131510491",S,CR,0,"SOK,SOK,0=0=156,Bn,S@0.00,156.00",0,"OK,OK,0=0=88,Bn,S@0.00,88.00",18.32,"SOK,SOK,3=0=117,B3,S@21.98,98.02",0,"OK,OK,0=0=68,Bn,S@0.00,68.00",0,"SOK,SOK,0=0=107,Bn,S@0.00,107.00",0,"OK,OK,0=0=79,Bn,S@0.00,79.00",0,"OK,OK,0=0=83,Bn,S@0.00,83.00",0,"OK,OK,0=0=86,Bn,S@0.00,86.00",0,"OK,OK,0=0=86,Bn,S@0.00,86.00"
BTAF1,HsaEX1005916,chr10:91943826-91943843,18,"chr10:91942568,91943826-91943843,91945464",C3,CR,0,"SOK,SOK,0=0=175,Bn,C3@0.00,175.00",0,"SOK,SOK,0=0=114,Bn,C3@0.00,114.00",0,"OK,SOK,0=0=98,Bn,C3@0.00,98.00",0.37,"SOK,SOK,1=0=124,Bn,C3@0.46,124.54",0,"SOK,SOK,0=0=104,Bn,C3@0.00,104.00",0.4,"SOK,SOK,1=0=113,Bn,C3@0.46,113.54",0.34,"SOK,SOK,1=0=135,Bn,C3@0.46,135.54",0,"OK,OK,0=0=76,Bn,C3@0.00,76.00",0.77,"SOK,SOK,2=0=117,Bn,C3@0.92,118.08"
PTGER2,HsaEX1029902,chr14:52325884-52325901,18,"chr14:52315391,52325884-52325901,52327221",S,CR,5.26,"N,N,1=0=9,Bn,S@0.53,9.47",0,"N,N,0=0=6,Bn,S@0.00,6.00",0,"N,N,0=0=4,Bn,S@0.00,4.00",0,"N,N,0=0=4,Bn,S@0.00,4.00",0,"N,N,0=0=5,Bn,S@0.00,5.00",0,"N,N,0=0=2,Bn,S@0.00,2.00",0,"N,N,0=0=3,Bn,S@0.00,3.00",0,"N,N,0=0=3,Bn,S@0.00,3.00",,"N,N,0=0=0,Bn,S@0,0"
LMO7,HsaEX1021947,chr13:75842527-75842546,20,"chr13:75841983,75842527-75842546,75842851",S,CR,0,"OK,OK,0=0=57,Bn,S@0.00,57.00",0,"OK,OK,0=0=30,Bn,S@0.00,30.00",0,"OK,OK,0=0=45,Bn,S@0.00,45.00",0,"OK,OK,0=0=35,Bn,S@0.00,35.00",0,"OK,OK,0=0=26,Bn,S@0.00,26.00",0,"SOK,SOK,0=0=136,Bn,S@0.00,136.00",0,"SOK,SOK,0=0=210,Bn,S@0.00,210.00",0,"SOK,SOK,0=0=205,Bn,S@0.00,205.00",0,"SOK,SOK,0=0=188,Bn,S@0.00,188.00"
STAC2,HsaEX1039182,chr17:39214411-39214418,8,"chr17:39214791,39214411-39214418,39214330",S,CR,,"N,N,0=0=0,Bn,S@0,0",0,"N,N,0=0=1,Bn,S@0.00,1.00",0,"N,N,0=0=1,Bn,S@0.00,1.00",0,"N,N,0=0=2,Bn,S@0.00,2.00",0,"N,N,0=0=1,Bn,S@0.00,1.00",0,"N,N,0=0=2,Bn,S@0.00,2.00",0,"N,N,0=0=6,Bn,S@0.00,6.00",0,"N,N,0=0=3,Bn,S@0.00,3.00",0,"N,N,0=0=7,Bn,S@0.00,7.00"
DST,HsaEX1012413,chr6:56609465-56609479,15,"chr6:56610427,56609465-56609479,56609344",C2,CR,0,"OK,SOK,0=0=87,Bn,C3@0.00,87.00",0.9,"OK,OK,0=1=44,Bn,C3@0.41,44.59",0,"OK,OK,0=0=36,Bn,C3@0.00,36.00",0,"OK,OK,0=0=54,Bn,C3@0.00,54.00",1.07,"OK,OK,0=1=37,Bn,C3@0.41,37.59",1.46,"OK,OK,0=1=27,Bn,C3@0.41,27.59",3.85,"OK,OK,0=3=30,Bn,C3@1.27,31.73",2.3,"LOW,OK,0=1=17,Bn,C3@0.41,17.59",0,"OK,OK,0=0=22,Bn,C3@0.00,22.00"
DEPTOR,HsaEX1011407,chr8:120004286-120004306,21,"chr8:120003111,120004286-120004306,120006805",C1,CR,0,"OK,OK,0=0=24,Bn,S@0.00,24.00",0,"N,N,0=0=5,Bn,S@0.00,5.00",58.62,"N,N,1=6=3,B1,C1@5.86,4.14",5.79,"N,N,0=1=8,Bn,C1@0.52,8.48",50,"N,N,0=6=3,Bn,S@4.50,4.50",0,"N,N,0=0=5,Bn,S@0.00,5.00",0,"N,N,0=0=3,Bn,S@0.00,3.00",0,"N,N,0=0=1,Bn,S@0.00,1.00",0,"N,N,0=0=1,Bn,S@0.00,1.00"
