"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000121504","Ppp4r1l-ps",13,"A3SS; A5SS; MXE; SE","Regular (>50bp)","chr2:173431580-173431741; chr2:173431580-173432589; chr2:173437890-173438337; chr2:173437890-173438345; chr2:173442558-173442835; chr2:173446298-173446390; chr2:173446298-173446390; chr2:173446298-173446390; chr2:173448934-173449122; chr2:173456906-173457369; chr2:173457275-173458216; chr2:173490962-173491160; chr2:173490962-173491160",-0.062
"ENSMUSG00000009995","Tafazzin",9,"A5SS; MXE; RI; SE","Regular (>50bp); Small (30-50bp)","chrX:73331783-73332119; chrX:73331783-73332119; chrX:73332056-73332625; chrX:73332267-73332320; chrX:73332267-73332320; chrX:73332534-73332625; chrX:73332534-73332625; chrX:73332589-73332625; chrX:73332589-73332625",-0.154
"ENSMUSG00000041757","Plekha6",9,"MXE; SE","Regular (>50bp)","chr1:133202530-133202617; chr1:133202530-133202617; chr1:133202530-133202617; chr1:133203549-133203603; chr1:133203549-133203603; chr1:133203549-133203603; chr1:133207110-133207191; chr1:133208076-133208145; chr1:133213984-133214134",0.179
"ENSMUSG00000045411","2410002F23Rik",8,"MXE; RI; SE","Regular (>50bp)","chr7:43896661-43896840; chr7:43896661-43896840; chr7:43896661-43896840; chr7:43896674-43896840; chr7:43896674-43896840; chr7:43896674-43896840; chr7:43896674-43897719; chr7:43897333-43897483",0.061
"ENSMUSG00000018411","Mapt",7,"A3SS; MXE; SE","Regular (>50bp)","chr11:104185684-104185750; chr11:104185684-104185750; chr11:104185684-104185750; chr11:104189323-104190082; chr11:104189323-104190082; chr11:104189371-104190082; chr11:104196037-104196235",0.01
"ENSMUSG00000025006","Sorbs1",7,"A3SS; MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr19:40287906-40288097; chr19:40288686-40288746; chr19:40329128-40329194; chr19:40329128-40329194; chr19:40332799-40332883; chr19:40365088-40365247; chr19:40371199-40371226",0.038
"ENSMUSG00000097039","Pvt1",7,"A5SS; MXE; SE","Regular (>50bp)","chr15:61978972-61979314; chr15:62021087-62021201; chr15:62021087-62021201; chr15:62031845-62031977; chr15:62047680-62047775; chr15:62085660-62085748; chr15:62116567-62116706",-0.073
"ENSMUSG00000057858","Fam204a",6,"SE","Regular (>50bp); Small (30-50bp)","chr19:60208761-60208792; chr19:60208761-60208792; chr19:60208921-60209009; chr19:60208921-60209009; chr19:60209485-60209736; chr19:60209485-60209736",-0.144
"ENSMUSG00000087177","E130307A14Rik",6,"SE","Regular (>50bp)","chr10:39498898-39499087; chr10:39508945-39509012; chr10:39516271-39516507; chr10:39521551-39521804; chr10:39521551-39521804; chr10:39530517-39530684",-0.219
"ENSMUSG00000020166","Cnot2",5,"SE","Regular (>50bp)","chr10:116342945-116343093; chr10:116342945-116343093; chr10:116353221-116353288; chr10:116363731-116363854; chr10:116363731-116363854",-0.224
