"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_selection_events","selection_mean_dPSI"
"ENSMUSG00000121504","Ppp4r1l-ps",121,13,5,"A3SS,A5SS,MXE,RI,SE",0,0.056,13,-0.062
"ENSMUSG00000009995","Tafazzin",37,12,5,"A3SS,A5SS,MXE,RI,SE",0,0.121,9,-0.154
"ENSMUSG00000041757","Plekha6",34,9,3,"A3SS,MXE,SE",0,0.083,9,0.179
"ENSMUSG00000045411","2410002F23Rik",26,7,5,"A3SS,A5SS,MXE,RI,SE",0,0.067,8,0.061
"ENSMUSG00000018411","Mapt",30,8,3,"A3SS,MXE,SE",0,0.06,7,0.01
"ENSMUSG00000025006","Sorbs1",41,4,5,"A3SS,A5SS,MXE,RI,SE",2,0.055,7,0.038
"ENSMUSG00000097039","Pvt1",129,7,5,"A3SS,A5SS,MXE,RI,SE",0,0.052,7,-0.073
"ENSMUSG00000057858","Fam204a",29,6,3,"A5SS,MXE,SE",0,0.06,6,-0.144
"ENSMUSG00000087177","E130307A14Rik",48,6,3,"A5SS,MXE,SE",0,0.084,6,-0.219
"ENSMUSG00000020166","Cnot2",57,1,3,"A3SS,MXE,SE",0,0.02,5,-0.224
"ENSMUSG00000021268","Meg3",11,1,4,"A3SS,A5SS,MXE,SE",0,0.13,5,0.027
"ENSMUSG00000031736","Crnde",43,8,5,"A3SS,A5SS,MXE,RI,SE",0,0.058,5,0.078
"ENSMUSG00000037058","Paip2",20,5,2,"MXE,SE",0,0.101,5,-0.146
"ENSMUSG00000039844","Rapgef1",24,1,3,"A3SS,MXE,SE",0,0.049,5,0.152
"ENSMUSG00000050565","Tor1aip2",7,5,1,"SE",0,0.135,5,0.197
"ENSMUSG00000069601","Ank3",32,3,4,"A3SS,A5SS,MXE,SE",4,0.044,5,0.075
"ENSMUSG00000086035","Gm12610",41,12,3,"A5SS,MXE,SE",0,0.101,5,0.123
"ENSMUSG00000086968","4933431E20Rik",24,5,4,"A3SS,MXE,RI,SE",0,0.093,5,-0.17
"ENSMUSG00000087380","2210408F21Rik",108,17,5,"A3SS,A5SS,MXE,RI,SE",4,0.061,5,-0.227
"ENSMUSG00000021709","Erbin",34,4,3,"A3SS,MXE,SE",0,0.046,4,-0.209
"ENSMUSG00000022558","Mroh1",46,5,5,"A3SS,A5SS,MXE,RI,SE",1,0.032,4,-0.05
"ENSMUSG00000022708","Zbtb20",31,1,2,"MXE,SE",0,0.107,4,0.158
"ENSMUSG00000022948","Setd4",22,2,5,"A3SS,A5SS,MXE,RI,SE",0,0.06,4,-0.013
"ENSMUSG00000025138","Sirt7",8,3,2,"RI,SE",0,0.126,4,-0.199
"ENSMUSG00000028184","Adgrl2",45,3,4,"A3SS,A5SS,MXE,SE",7,0.051,4,-0.086
"ENSMUSG00000029673","Auts2",22,1,4,"A3SS,A5SS,MXE,SE",2,0.037,4,0.047
"ENSMUSG00000031256","Cstf2",13,4,3,"A3SS,RI,SE",0,0.075,4,0.148
"ENSMUSG00000031865","Dctn1",22,1,2,"MXE,SE",10,0.043,4,0.129
"ENSMUSG00000034211","Mrps17",20,6,3,"A5SS,RI,SE",0,0.064,4,-0.118
"ENSMUSG00000038831","Ralgps1",35,0,3,"A3SS,MXE,SE",0,0.037,4,0.082
"ENSMUSG00000041936","Agrn",33,1,5,"A3SS,A5SS,MXE,RI,SE",4,0.024,4,-0.022
"ENSMUSG00000044229","Nxpe4",12,6,3,"A5SS,MXE,SE",0,0.117,4,0.17
