"event_key","event_type","GeneID","geneSymbol","chr","strand","exon_start","exon_end","exon_length","size_category","dPSI","FDR"
"chr5:107693553:107693722:107694066:107694145:107691879:107695982:MXE","MXE","ENSMUSG00000089798","1700028K03Rik","chr5","+",107693553,107693722,169,"Regular (>50bp)",-0.298,0.0254624762953179
"chr18:38372625:38372804:38372242:38382766:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38372625,38372804,179,"Regular (>50bp)",0.228,0.0218652210658998
"chr18:38372625:38372804:38372238:38383230:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38372625,38372804,179,"Regular (>50bp)",0.731,1.78365023538485e-10
"chr18:38373891:38374006:38372238:38383230:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38373891,38374006,115,"Regular (>50bp)",0.361,2.17287888029556e-06
"chr18:38373891:38374006:38372804:38383105:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38373891,38374006,115,"Regular (>50bp)",0.127,0.0396136153852968
"chr4:11976443:11977102:11966683:11980141:SE","SE","ENSMUSG00000085614","1700123M08Rik","chr4","+",11976443,11977102,659,"Regular (>50bp)",0.39,0.0132504950684443
"chr19:8866487:8867091:8866612:8867000:RI","RI","ENSMUSG00000071653","1810009A15Rik","chr19","+",8866487,8867091,604,"Regular (>50bp)",-0.229,0.0118356210140162
"chr11:57687137:57687223:57686620:57692059:SE","SE","ENSMUSG00000087165","2010001A14Rik","chr11","-",57687137,57687223,86,"Regular (>50bp)",0.105,0.0428140432341417
"chr18:34887728:34889445:34887833:34889342:RI","RI","ENSMUSG00000097755","2010110K18Rik","chr18","+",34887728,34889445,1717,"Regular (>50bp)",-0.181,0.000391571270179137
"chr18:34889051:34889204:34887833:34889342:SE","SE","ENSMUSG00000097755","2010110K18Rik","chr18","+",34889051,34889204,153,"Regular (>50bp)",-0.122,0.0100847040124153
"chr18:34889051:34889234:34887833:34889342:SE","SE","ENSMUSG00000097755","2010110K18Rik","chr18","+",34889051,34889234,183,"Regular (>50bp)",-0.23,0.00172429520205324
"chr6:31254782:31254890:31261937:31262055:31221293:31312925:MXE","MXE","ENSMUSG00000087380","2210408F21Rik","chr6","+",31254782,31254890,108,"Regular (>50bp)",-0.133,0.0254624762953179
"chr6:31298324:31298411:31262055:31305266:SE","SE","ENSMUSG00000087380","2210408F21Rik","chr6","+",31298324,31298411,87,"Regular (>50bp)",-0.599,0.000314333001827109
"chr6:31305225:31305295:31305266:31305295:31261937:31262055:A3SS","A3SS","ENSMUSG00000087380","2210408F21Rik","chr6","+",31305225,31305295,70,"Regular (>50bp)",-0.145,2.54995459858457e-08
"chr6:31305266:31305324:31298411:31312925:SE","SE","ENSMUSG00000087380","2210408F21Rik","chr6","+",31305266,31305324,58,"Regular (>50bp)",-0.138,0.000676932671146962
"chr6:31312925:31314326:31312997:31314164:RI","RI","ENSMUSG00000087380","2210408F21Rik","chr6","+",31312925,31314326,1401,"Regular (>50bp)",-0.118,0.0227793212156955
"chr12:80171606:80171900:80171699:80171900:80167319:80167444:A5SS","A5SS","ENSMUSG00000097729","2310015A10Rik","chr12","-",80171606,80171900,294,"Regular (>50bp)",0.192,0.000407925582054645
"chr5:149174048:149174237:149172216:149174346:SE","SE","ENSMUSG00000100783","2310047D07Rik","chr5","+",149174048,149174237,189,"Regular (>50bp)",-0.307,0.0225966095920782
"chr7:43896661:43896840:43896232:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896661,43896840,179,"Regular (>50bp)",0.149,1.27058896427239e-07
"chr7:43896661:43896840:43896247:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896661,43896840,179,"Regular (>50bp)",0.186,1.83302648422216e-13
"chr7:43896661:43896840:43897333:43897483:43896247:43897675:MXE","MXE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896661,43896840,179,"Regular (>50bp)",0.189,1.33129618440465e-12
"chr7:43896674:43896840:43896232:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896674,43896840,166,"Regular (>50bp)",0.173,1.94081444465673e-08
