ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984	2	56,61,63	6,13,17	103,113,80	13,38,37	298	149	0.24528295346	0.4983897056593509	0.824,0.701,0.649	0.798,0.598,0.519	0.086
4	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150250794	150250852	4	90,157,86	154,159,174	100,156,98	169,263,264	298	149	0.0817532298405	0.22269015570206713	0.226,0.331,0.198	0.228,0.229,0.157	0.047
5	"ENSMUSG00000025268"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148	5	54,83,56	338,301,319	57,51,66	395,390,493	298	149	0.00541077997472	0.027986527191179944	0.074,0.121,0.081	0.067,0.061,0.063	0.028
6	"ENSMUSG00000025268"	"Maged2"	chrX	-	149594818	149595310	149594818	149594944	149595151	149595310	6	947,1164,1122	0,2,0	1520,1495,1774	0,0,0	298	149	1	1.0	1.0,0.997,1.0	1.0,1.0,1.0	-0.001
8	"ENSMUSG00000000223"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135	8	28,12,11	2,7,0	11,19,21	4,7,2	298	149	0.332069711043	0.6143475781465925	0.875,0.462,1.0	0.579,0.576,0.84	0.114
9	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026	9	101,153,123	75,83,88	195,154,196	78,129,147	298	149	0.870186463175	1.0	0.402,0.48,0.411	0.556,0.374,0.4	-0.012
10	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026	10	225,282,251	84,64,66	367,380,436	58,53,59	298	149	1.1052465629e-05	0.0001824159213586318	0.573,0.688,0.655	0.76,0.782,0.787	-0.138
12	"ENSMUSG00000046032"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470	12	748,717,751	79,80,98	1037,1117,1142	86,114,103	298	149	0.0563353414635	0.16711897455389582	0.826,0.818,0.793	0.858,0.83,0.847	-0.033
13	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100123706	100123873	100124313	100124477	13	66,50,76	382,298,376	260,205,198	455,610,492	298	149	1.39455114123e-12	1.332530314159508e-10	0.08,0.077,0.092	0.222,0.144,0.168	-0.095
15	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580479	93580962	93580479	93580594	93580899	93580962	15	446,430,335	4831,5106,5117	229,261,248	4368,4172,5379	298	149	1.84350207476e-05	0.0002885239669592052	0.044,0.04,0.032	0.026,0.03,0.023	0.012
16	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580899	93581190	93580899	93580962	93581147	93581190	16	58,67,79	4682,4906,5097	52,63,124	4192,4041,5093	298	149	0.74074360158	1.0	0.006,0.007,0.008	0.006,0.008,0.012	-0.002
17	"ENSMUSG00000025151"	"Maged1"	chrX	-	93581281	93581671	93581281	93581361	93581579	93581671	17	1708,1746,1705	3861,4094,4359	1203,1294,1369	3722,3700,4667	298	149	0.00180472567138	0.01202377782161611	0.181,0.176,0.164	0.139,0.149,0.128	0.035
20	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73351735	73351867	20	1411,1520,1644	1725,1806,1737	1049,1208,1249	1578,1868,1882	298	149	0.0015360964712	0.010746755851497496	0.29,0.296,0.321	0.249,0.244,0.249	0.055
21	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353568	73353740	21	260,332,290	3723,4042,4072	189,206,207	2994,3684,3847	298	149	0.00903641175411	0.04244510305669494	0.034,0.039,0.034	0.031,0.027,0.026	0.008
22	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344183	73344964	73344183	73344377	73344929	73344964	22	107,100,146	1126,1118,1262	109,128,101	942,1448,1312	298	149	0.472354049768	0.7806634295437451	0.045,0.043,0.055	0.055,0.042,0.037	0.003
23	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73326355	73327006	73326355	73326722	73326877	73327006	23	37,33,47	720,701,786	34,22,23	612,746,737	298	149	0.0442884772845	0.13887000088084586	0.025,0.023,0.029	0.027,0.015,0.015	0.007
24	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332053	73332119	24	779,880,821	46,33,55	551,547,583	36,36,64	298	149	0.00847503682697	0.04033208893176311	0.894,0.93,0.882	0.884,0.884,0.82	0.039
25	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331945	73332053	73332119	25	553,641,573	0,0,0	410,375,435	0,0,2	257	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.992	0.003
26	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332056	73332119	26	783,880,821	176,231,273	550,556,583	192,297,266	298	149	5.37232473985e-05	0.000714805768477862	0.69,0.656,0.601	0.589,0.483,0.523	0.117
27	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332534	73332625	27	586,709,610	14,2,8	424,480,459	2,2,3	298	149	0.0149924613028	0.06186093976189409	0.954,0.994,0.974	0.991,0.992,0.987	-0.016
28	"ENSMUSG00000031387"	"Renbp"	chrX	-	72972721	72974123	72972721	72973868	72974013	72974123	28	60,77,64	432,537,510	37,24,40	422,428,534	294	149	2.49211949825e-05	0.00036934228155696935	0.066,0.068,0.06	0.043,0.028,0.037	0.029
29	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72830789	72832559	72830789	72830912	72832440	72832559	29	102,93,93	2700,2920,2648	63,91,91	3661,4193,3640	298	149	5.7050344214e-05	0.0007451431648958058	0.019,0.016,0.017	0.009,0.011,0.012	0.007
30	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030	30	309,290,327	42,33,24	296,363,375	61,38,52	298	149	0.0681981011436	0.1935305348011132	0.786,0.815,0.872	0.708,0.827,0.783	0.052
32	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258833	72258961	32	390,455,485	79,70,86	463,544,493	128,142,159	298	149	6.23524038491e-05	0.0007932752031994108	0.712,0.765,0.738	0.644,0.657,0.608	0.102
33	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258833	72258961	33	104,174,193	191,286,271	187,222,166	271,310,272	298	149	0.517556065237	0.8260422298354053	0.214,0.233,0.263	0.257,0.264,0.234	-0.015
34	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258846	72258961	34	406,479,489	11,9,5	476,556,510	2,19,9	298	149	0.763920124996	1.0	0.949,0.964,0.98	0.992,0.936,0.966	-0.0
35	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258846	72258961	35	120,198,197	19,20,19	200,234,183	21,24,25	298	149	0.978148563147	1.0	0.759,0.832,0.838	0.826,0.83,0.785	-0.004
37	"ENSMUSG00000035967"	"Ints6l"	chrX	+	55538398	55542094	55538398	55538493	55541875	55542094	37	47,46,57	8,5,2	37,46,44	0,14,0	298	149	0.448163908213	0.7545908300486486	0.746,0.821,0.934	1.0,0.622,1.0	-0.04
39	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52143453	52145041	52143453	52144367	52145018	52145041	39	247,280,248	4,0,12	162,153,184	11,6,11	298	149	0.00162342640522	0.011096174018496429	0.969,1.0,0.912	0.88,0.927,0.893	0.06
