ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	4172,4483,4486	20937,20542,20111	2660,3624,3502	15241,19001,17269	296	1093	0.147194393085	0.5482129361438449	0.424,0.446,0.452	0.392,0.413,0.428	0.03
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	6705,6801,7178	3917,4194,4254	4883,6400,5131	2473,3664,2954	421	315	0.329870447439	0.7571249979635281	0.562,0.548,0.558	0.596,0.567,0.565	-0.02
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239	7	309,335,297	364,351,360	569,668,742	545,698,734	241	275	0.165946502655	0.5772851949443001	0.492,0.521,0.485	0.544,0.522,0.536	-0.035
8	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	8	264,281,307	5,7,4	399,440,408	4,12,13	269	296	0.405906511526	0.8170621005459522	0.983,0.978,0.988	0.991,0.976,0.972	0.003
9	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163211535	163211668	163205579	163205982	163211806	163212013	9	26,41,22	68,82,111	23,22,38	92,99,181	282	282	0.0576892810634	0.349116677773932	0.277,0.333,0.165	0.2,0.182,0.174	0.073
10	"ENSMUSG00000031380"	"Vegfd"	chrX	+	163168799	163169025	163174597	163174788	163156373	163156915	163177428	163177577	10	14,13,13	31,39,32	22,6,16	33,21,33	375	340	0.449833342556	0.8437951109645518	0.291,0.232,0.269	0.377,0.206,0.305	-0.032
11	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052366	163052471	163078910	163078994	11	3,1,2	382,406,387	1,4,16	485,544,685	278	242	0.799733656695	1.0	0.007,0.002,0.004	0.002,0.006,0.02	-0.005
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994	12	381,430,456	393,429,409	757,747,804	498,567,713	278	242	0.0121363989642	0.14119328104329934	0.458,0.466,0.493	0.57,0.534,0.495	-0.061
13	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426	13	171,189,144	303,255,290	292,350,332	336,417,445	242	233	0.0059275414475	0.08921784232546819	0.352,0.416,0.323	0.456,0.447,0.418	-0.077
14	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163125469	163125514	163083219	163083426	163141143	163141226	14	371,424,382	79,89,98	534,552,646	103,99,107	234	194	0.0585049565076	0.3520406297213432	0.796,0.798,0.764	0.811,0.822,0.833	-0.036
15	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163141143	163141226	163113010	163113095	163152041	163152108	15	32,37,41	91,104,126	54,72,57	184,149,238	194	232	0.795590162264	1.0	0.296,0.298,0.28	0.26,0.366,0.223	0.008
