ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867	0	2342,2482,2475	1,0,0	1638,1987,1839	1,0,2	298	149	1	1.0	0.999,1.0,1.0	0.999,1.0,0.998	0.001
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701	1	6299,6697,6711	7,4,11	4153,5467,5183	7,12,15	296	149	1	1.0	0.998,0.999,0.997	0.997,0.996,0.994	0.002
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	55111	55701	53535	54479	59591	59667	2	663,763,859	0,0,0	901,986,1031	0,5,1	298	149	1	1.0	1.0,1.0,1.0	1.0,0.99,0.998	0.004
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835	3	6899,7070,7073	751,753,855	4245,6261,4858	592,609,606	298	149	0.490552766575	1.0	0.821,0.824,0.805	0.782,0.837,0.8	0.01
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667	4	3463,3690,3702	656,759,848	2179,3313,2646	894,975,1016	298	149	2.03991545877e-09	5.000577998413603e-07	0.725,0.709,0.686	0.549,0.629,0.566	0.125
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667	5	5788,5859,6237	656,759,848	4176,5524,4388	894,975,1016	298	149	1.70386101894e-08	3.1884759214147067e-06	0.815,0.794,0.786	0.7,0.739,0.683	0.091
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667	6	8643,8654,8913	162,168,160	5826,8125,6228	176,263,234	298	149	1.27883142964e-08	2.506056918402492e-06	0.964,0.963,0.965	0.943,0.939,0.93	0.027
167	"ENSMUSG00000031358"	"Msl3"	chrX	-	167439958	167440043	167437112	167437964	167441610	167441710	167	328,343,367	0,0,1	506,590,696	0,0,0	234	149	1	1.0	1.0,1.0,0.996	1.0,1.0,1.0	-0.001
168	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167453215	167453307	168	1059,1091,1056	0,0,1	1684,2043,2191	0,0,0	275	149	1	1.0	1.0,1.0,0.998	1.0,1.0,1.0	-0.001
169	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167454138	167454239	169	364,351,360	3,0,0	545,698,734	0,0,0	275	149	1	1.0	0.985,1.0,1.0	1.0,1.0,1.0	-0.005
