ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2342,2482,2475	1,0,0	1638,1987,1839	1,0,2	298	149
1	6299,6697,6711	7,4,11	4153,5467,5183	7,12,15	296	149
2	663,763,859	0,0,0	901,986,1031	0,5,1	298	149
3	6899,7070,7073	751,753,855	4245,6261,4858	592,609,606	298	149
4	3463,3690,3702	656,759,848	2179,3313,2646	894,975,1016	298	149
5	5788,5859,6237	656,759,848	4176,5524,4388	894,975,1016	298	149
6	8643,8654,8913	162,168,160	5826,8125,6228	176,263,234	298	149
167	328,343,367	0,0,1	506,590,696	0,0,0	234	149
168	1059,1091,1056	0,0,1	1684,2043,2191	0,0,0	275	149
169	364,351,360	3,0,0	545,698,734	0,0,0	275	149
170	309,335,297	3,0,0	569,668,742	0,0,0	241	149
171	957,1020,933	0,2,1	1635,1920,2085	0,0,0	241	149
172	211,187,160	259,316,269	330,308,360	564,732,714	232	149
174	480,494,553	0,1,1	609,728,782	0,1,2	298	149
175	535,629,677	2,0,2	667,730,918	0,1,0	274	149
180	152,160,194	2,4,2	248,266,234	2,10,6	269	149
181	264,281,307	529,510,567	399,440,408	681,808,779	269	149
182	5,7,4	529,510,567	4,12,13	681,808,779	296	149
183	3,3,3	112,121,114	2,2,10	152,175,178	296	149
184	1100,1000,1116	1,0,0	1264,1421,1536	0,0,0	298	149
185	834,1058,961	4,0,0	1084,1272,1378	0,0,0	298	149
186	0,1,0	0,0,0	0,0,0	0,0,1	223	149
187	573,681,559	0,1,0	688,810,855	0,0,0	215	149
188	17,20,32	318,371,314	31,76,58	388,441,440	240	149
190	330,332,266	11,22,21	449,465,439	7,13,9	298	149
191	78,54,58	11,22,21	67,60,76	7,13,9	258	149
192	180,140,150	126,110,109	161,197,200	257,235,267	258	149
193	517,514,478	8,0,1	705,733,793	5,0,0	298	149
194	229,253,246	8,0,1	314,365,383	5,0,0	298	149
201	38,53,36	0,0,3	39,59,59	0,0,0	282	149
202	172,206,227	0,2,0	236,213,370	0,0,0	282	149
203	31,38,29	0,0,2	41,6,44	0,0,0	298	149
204	54,66,46	0,0,0	66,23,74	1,0,0	298	149
205	374,451,395	0,2,0	642,714,727	0,0,0	278	149
206	777,921,879	11,26,22	1483,1558,1606	13,23,28	278	149
207	778,892,810	0,0,0	1212,1351,1492	0,0,2	242	149
208	171,189,144	0,1,0	292,350,332	0,0,0	242	149
209	303,255,290	0,1,0	336,417,445	0,0,0	233	149
210	918,969,964	5,7,0	1262,1431,1607	3,5,2	233	149
211	9,2,0	424,479,456	0,9,15	626,647,748	267	149
212	637,700,716	2,1,0	921,930,1042	0,0,0	234	149
213	371,424,382	0,5,0	534,552,646	0,0,0	234	149
214	79,89,98	0,5,0	103,99,107	0,0,0	194	149
215	360,377,442	18,13,10	505,494,538	15,17,38	194	149
216	401,431,513	2,0,0	618,551,679	0,0,0	232	149
218	194,196,209	1,2,0	240,270,246	0,2,1	259	149
219	116,81,104	2,0,3	124,120,142	0,5,0	259	149
220	92,93,87	2,0,3	106,106,121	0,5,0	205	149
221	171,206,194	0,0,2	225,257,225	0,0,0	205	149
222	1552,1397,1428	0,0,0	1735,1939,2058	0,0,4	231	149
223	705,723,745	0,0,0	676,825,829	0,0,3	297	149
224	167,186,155	1,0,1	157,191,173	5,0,3	208	149
225	1,2,0	0,1,0	1,0,0	1,0,0	208	149
226	279,338,348	0,1,0	364,396,348	1,0,0	298	149
227	624,690,703	4,2,0	693,780,743	1,4,0	298	149
228	429,491,433	0,0,1	448,473,507	0,0,0	289	149
229	744,833,790	0,0,4	746,780,921	0,0,0	223	149
