ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	4172,4483,4486	221,272,261	2660,3624,3502	151,156,171	296	298	0.130999756302	0.5057810373064813	0.95,0.943,0.945	0.947,0.959,0.954	-0.007
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	5788,5859,6237	3463,3690,3702	4176,5524,4388	2179,3313,2646	298	298	0.505016526407	0.8733363151462746	0.626,0.614,0.628	0.657,0.625,0.624	-0.013
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239	7	309,335,297	364,351,360	569,668,742	545,698,734	241	275	0.165946502655	0.5606251864744065	0.492,0.521,0.485	0.544,0.522,0.536	-0.035
8	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	8	264,281,307	5,7,4	399,440,408	4,12,13	269	296	0.405906511526	0.8059683895742756	0.983,0.978,0.988	0.991,0.976,0.972	0.003
9	"ENSMUSG00000031381"	"Piga"	chrX	+	163210927	163211060	163211535	163211668	163205579	163205982	163211806	163212013	9	26,41,22	68,82,111	23,22,38	92,99,181	282	282	0.0576892810634	0.3337531521426539	0.277,0.333,0.165	0.2,0.182,0.174	0.073
10	"ENSMUSG00000031380"	"Vegfd"	chrX	+	163168799	163169025	163174597	163174788	163156373	163156915	163177428	163177577	10	4,7,4	27,35,23	7,0,1	31,17,31	298	298	0.138773676968	0.5184399672831421	0.129,0.167,0.148	0.184,0.0,0.031	0.076
11	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052366	163052471	163078910	163078994	11	3,1,2	382,406,387	1,4,16	485,544,685	278	242	0.799733656695	1.0	0.007,0.002,0.004	0.002,0.006,0.02	-0.005
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994	12	381,430,456	393,429,409	757,747,804	498,567,713	278	242	0.0121363989642	0.13394786374786566	0.458,0.466,0.493	0.57,0.534,0.495	-0.061
13	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426	13	171,189,144	303,255,290	292,350,332	336,417,445	242	233	0.0059275414475	0.08528571651250587	0.352,0.416,0.323	0.456,0.447,0.418	-0.077
14	"ENSMUSG00000031379"	"Pir"	chrX	+	163113010	163113095	163125469	163125514	163083219	163083426	163141143	163141226	14	371,424,382	79,89,98	534,552,646	103,99,107	234	194	0.0585049565076	0.33622034810404	0.796,0.798,0.764	0.811,0.822,0.833	-0.036
15	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163141143	163141226	163113010	163113095	163152041	163152108	15	32,37,41	91,104,126	54,72,57	184,149,238	194	232	0.795590162264	1.0	0.296,0.298,0.28	0.26,0.366,0.223	0.008
16	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162723114	162723170	162718438	162719961	162726095	162726309	16	92,93,87	116,81,104	106,106,121	124,120,142	205	259	0.727741518979	0.9789955320487044	0.501,0.592,0.514	0.519,0.527,0.518	0.014
17	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665675	161665742	161655510	161655650	161665963	161666082	17	214,274,307	310,312,268	225,256,253	290,310,345	216	223	0.308076189266	0.723917111020796	0.416,0.476,0.542	0.445,0.46,0.431	0.033
18	"ENSMUSG00000031357"	"Syap1"	chrX	-	161661326	161661400	161665963	161666082	161655510	161655650	161671064	161671443	18	544,612,528	311,310,268	586,616,640	298,309,345	268	223	0.829347220542	1.0	0.593,0.622,0.621	0.621,0.624,0.607	-0.005
19	"ENSMUSG00000031295"	"Phka2"	chrX	+	159285742	159285900	159306267	159306426	159285161	159285288	159310725	159310773	19	17,8,6	79,86,119	33,14,8	117,155,145	298	298	0.511706113053	0.8774862547854504	0.177,0.085,0.048	0.22,0.083,0.052	-0.015
20	"ENSMUSG00000031295"	"Phka2"	chrX	+	159285748	159285900	159306267	159306426	159285167	159285288	159310725	159310772	20	9,14,21	79,86,119	24,31,33	117,155,145	298	298	0.115020446312	0.47334401379243685	0.102,0.14,0.15	0.17,0.167,0.185	-0.043
21	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369945	159371960	159372014	159367459	159367513	159373163	159373364	21	65,74,79	14,28,26	78,116,115	24,38,29	298	203	0.847402714744	1.0	0.76,0.643,0.674	0.689,0.675,0.73	-0.006
22	"ENSMUSG00000031295"	"Phka2"	chrX	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374137	22	35,16,30	51,71,58	20,53,38	43,81,94	203	298	0.620209977683	0.9359982581993035	0.502,0.249,0.432	0.406,0.49,0.372	-0.028
23	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158331234	158331311	158334746	158335370	158315663	158315831	158336239	158336890	23	378,500,489	212,195,311	555,730,624	304,413,315	226	298	0.749940737038	0.9890780760553263	0.702,0.772,0.675	0.707,0.7,0.723	0.006
24	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156341880	156342061	156344378	156344497	156338592	156338687	156355854	156355982	24	324,410,395	711,569,598	257,355,324	427,506,505	268	298	0.524207705154	0.8839759257991952	0.336,0.445,0.423	0.401,0.438,0.416	-0.017
25	"ENSMUSG00000071708"	"Sms"	chrX	-	156248819	156248884	156249393	156249487	156244956	156245132	156252983	156253104	25	310,324,302	232,205,285	702,829,684	294,398,433	243	214	0.000547882149269	0.017137671118857015	0.541,0.582,0.483	0.678,0.647,0.582	-0.1
26	"ENSMUSG00000025283"	"Sat1"	chrX	-	153996892	153996933	153997028	153997130	153996127	153996663	153998596	153998680	26	573,522,459	103,162,120	463,551,614	99,158,128	251	190	0.718741515106	0.9759453134910864	0.808,0.709,0.743	0.78,0.725,0.784	-0.01
27	"ENSMUSG00000041115"	"Iqsec2"	chrX	+	150963992	150964088	150986927	150987329	150961959	150962086	150991765	150992661	27	119,112,111	80,73,82	150,134,166	95,125,128	245	298	0.40560001569	0.8056259465191077	0.644,0.651,0.622	0.658,0.566,0.612	0.027
