"VastDB.ID","gene","length","chrom","start","end","strand","neural.trend","ASD.trend","Ptbp1.dPSI","Ptbp1.signif","Srrm4.dPSI","Srrm4.signif","Srrm3.Srrm4.dPSI","Srrm3.Srrm4.signif","Srsf11.dPSI","Srsf11.signif","Rbfox2.dPSI","Rbfox2.signif","Srrm3.dPSI","Srrm3.signif","Rnps1.dPSI","Rnps1.signif","srrm3_srrm4_dPSI","srrm3_dPSI","srrm4_dPSI","srrm3_srrm4_signif","srrm3_signif","srrm4_signif","match_type","n_rmats_candidates","rmats_id","rmats_gene","rmats_chr","rmats_start","rmats_end","rmats_exon_size","rmats_dPSI","rmats_FDR","rmats_PValue"
"MmuEX0000269","1500009L16Rik",25,"chr10",83185780,83220189,"+",NA,NA,-1,"n.s.",0.5,"n.s.",0,"n.s.",-3,"n.s.",-1,"n.s.",0,"n.s.",-8,"n.s.",0,0,0.005,"n.s.","n.s.","n.s.","gene_size",2,23776,"1500009L16Rik","chr10",83573773,83573797,25,0.005,1,1
"MmuEX0000800","2210408F21Rik",29,"chr6",31235121,31285990,"+",NA,NA,3,"n.s.",9.6,"n.s.",4,"n.s.",5,"n.s.",5,"n.s.",-6,"n.s.",-7,"n.s.",0.04,-0.06,0.096,"n.s.","n.s.","n.s.","gene_size",2,46167,"2210408F21Rik","chr6",31305267,31305295,29,0.173,0.380694405482486,0.0420186746593
"MmuEX0001195","2700062C07Rik",23,"chr18",24629482,24631450,"+",NA,NA,NA,"n.s.",NA,"n.s.",0,"n.s.",-3,"n.s.",-6,"n.s.",NA,"n.s.",NA,"n.s.",0,NA,NA,"n.s.","n.s.","n.s.","gene_size",2,2741,"2700062C07Rik","chr18",24604119,24604141,23,-0.102,0.0216985677542389,0.00094623340343
"MmuEX0002176","6430548M08Rik",30,"chr8",122680275,122683858,"+","Neural-high","n.s.",17,"higher",-13.2,"lower",-27,"lower",-16,"n.s.",-7,"n.s.",-9,"n.s.",-13,"n.s.",-0.27,-0.09,-0.132,"lower","n.s.","lower","gene_size",1,59383,"6430548M08Rik","chr8",120884207,120884236,30,0.102,0.0638693963204221,0.00385971989989
"MmuEX0002364","9430015G10Rik",26,"chr4",155497779,155498200,"+",NA,NA,-2,"n.s.",-0.3,"n.s.",NA,"n.s.",NA,"n.s.",NA,"n.s.",NA,"n.s.",-6,"n.s.",NA,NA,-0.003,"n.s.","n.s.","n.s.","gene_size_contained",2,18269,"9430015G10Rik","chr4",156208433,156208458,26,0.006,1,1
"MmuEX0003242","Abi1",15,"chr2",22818022,22826602,"-","Neural-high","n.s.",2,"n.s.",-20,"lower",-39,"lower",-4,"n.s.",-2,"n.s.",-6,"n.s.",-29,"lower",-0.39,-0.06,-0.2,"lower","n.s.","lower","gene_size",2,24408,"Abi1","chr2",22853226,22853240,15,0.008,1,1
"MmuEX0003403","Acap2",21,"chr16",31119534,31127406,"-",NA,NA,NA,"n.s.",-2.3,"n.s.",NA,"n.s.",NA,"n.s.",-4,"n.s.",NA,"n.s.",NA,"n.s.",NA,NA,-0.023,"n.s.","n.s.","n.s.","gene_size",1,5397,"Acap2","chr16",30941439,30941459,21,0.013,0.730855649252844,0.105122809191
"MmuEX0003484","Acly",30,"chr11",100360077,100365516,"-",NA,"n.s.",9,"n.s.",-1.5,"n.s.",-3,"n.s.",-19,"lower",-16,"lower",5,"n.s.",-20,"lower",-0.03,0.05,-0.015,"n.s.","n.s.","n.s.","gene_size",2,13868,"Acly","chr11",100393986,100394015,30,0.011,1,0.412905095096
"MmuEX0003686","Acyp2",17,"chr11",30532318,30549300,"-",NA,NA,1,"n.s.",0.4,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,0,0.004,"n.s.","n.s.","n.s.","gene_size",1,25678,"Acyp2","chr11",30583686,30583702,17,-0.004,1,1
"MmuEX0004187","Agap1",12,"chr1",91506159,91524335,"+","Neural-high",NA,50,"higher",-3.4,"n.s.",-6,"n.s.",-4,"n.s.",6,"n.s.",-5,"n.s.",-8,"n.s.",-0.06,-0.05,-0.034,"n.s.","n.s.","n.s.","gene_size",1,57515,"Agap1","chr1",89538006,89538017,12,0.095,0.0137805505520126,0.000535148221082
"MmuEX0004297","Agrn",12,"chr4",155543446,155543878,"-","Neural-high",NA,18,"higher",-10.4,"n.s.",-7,"n.s.",-18,"lower",-1,"n.s.",-16,"n.s.",-12,"n.s.",-0.07,-0.16,-0.104,"n.s.","n.s.","n.s.","gene_size",1,28241,"Agrn","chr4",156254003,156254014,12,-0.045,0.0272165974734341,0.00126715500956
"MmuEX0004311","Agrn",24,"chr4",155541616,155542841,"-","Neural-high","ASD-low",4,"n.s.",-5.7,"n.s.",-5,"n.s.",-2,"n.s.",-3,"n.s.",-2,"n.s.",NA,"n.s.",-0.05,-0.02,-0.057,"n.s.","n.s.","n.s.","gene_size",3,28237,"Agrn","chr4",156253003,156253026,24,0.323,0.00409956888691432,0.000119616641036
"MmuEX0004381","Ahi1",27,"chr10",20720512,20737718,"+",NA,NA,-2,"n.s.",1.1,"n.s.",2,"n.s.",-4,"n.s.",5,"n.s.",0,"n.s.",1,"n.s.",0.02,0,0.011,"n.s.","n.s.","n.s.","gene_size",1,20179,"Ahi1","chr10",20883651,20883677,27,-0.013,1,0.197461033913
"MmuEX0004470","Akap1",13,"chr11",88702617,88705572,"-",NA,NA,2,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",-1,"n.s.",0,-0.01,0,"n.s.","n.s.","n.s.","gene_size",2,30533,"Akap1","chr11",88734638,88734650,13,0.014,1,0.198081287939
"MmuEX0004898","Ank2",12,"chr3",126679866,126684717,"-","Neural-high","ASD-low",20,"higher",-17.9,"n.s.",-25,"lower",10,"n.s.",-17,"lower",-21,"lower",-24,"lower",-0.25,-0.21,-0.179,"lower","lower","n.s.","gene_size",2,24013,"Ank2","chr3",126772905,126772916,12,0.138,0.00303344410374097,8.01484063856e-05
