"metric","value"
"group_name","group3b_negonly_all_sizes"
"group_label","Neg-Only All SE Sizes"
"total_genes","482"
"genes_with_sig_pos_events","187"
"genes_without_sig_pos_events","295"
"pct_genes_with_sig_pos","38.8"
"pos_total_sig_events","396"
"pos_sig_SE","290"
"pos_sig_A3SS","24"
"pos_sig_A5SS","17"
"pos_sig_MXE","43"
"pos_sig_RI","22"
"pos_sig_microexon","24"
"pos_sig_small","27"
"pos_sig_regular","239"
"pos_sig_inclusion","171"
"pos_sig_exclusion","225"
"neg_total_sig_events","798"
"neg_sig_SE","697"
"neg_sig_A3SS","20"
"neg_sig_A5SS","15"
"neg_sig_MXE","50"
"neg_sig_RI","16"
"neg_sig_microexon","91"
"neg_sig_small","84"
"neg_sig_regular","522"
"neg_sig_inclusion","476"
"neg_sig_exclusion","322"
